time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates
1,11.0,11,-0.776697,0,59,,,,,,
2,12.5,25,0.20039249999999997,0,124,,,,,,
3,14.333333333333334,43,0.501274,0,193,,,,,,
4,16.0,64,2.35870225,0,259,,,,,,
5,18.0,90,3.300511,0,326,,,,,,
6,19.666666666666668,118,2.4303043333333334,4,27,-11.401025772094727,0.003,0.9551345109939575,-0.2924424707889557,0.7959662586450577,340
7,29.857142857142858,209,-2.6115825714285714,15,13,-35.406246185302734,0.003,0.7266659736633301,-1.9496103525161743,1.1603849112987519,2160
8,36.5,292,-6.01989125,25,11,-47.1856689453125,0.003,0.5765799283981323,-2.8614206314086914,1.366571831703186,3820
9,54.111111111111114,487,1.434473,49,9,-73.88163757324219,0.003,0.3580259382724762,-4.154869556427002,0.9878167569637298,7720
10,75.6,756,40.2387952,81,9,-101.47029113769531,0.003,0.19366709887981415,-6.0045671463012695,0.3788470968604088,13100
11,107.18181818181819,1179,82.02196272727272,131,8,-149.06277465820312,0.003,0.1372952163219452,0.03319384157657623,0.8535044163465499,21560
12,108.58333333333333,1303,95.61711166666667,145,8,-170.0081024169922,0.003,0.1435975730419159,0.6384791135787964,4.726464796066284,24040
13,113.53846153846153,1476,110.70315446153846,165,8,-182.22686767578125,0.003,0.14707055687904358,1.2630407810211182,1.1714418619871139,27500
14,109.64285714285714,1535,103.27584814285714,172,8,-184.4598846435547,0.003,0.14607398211956024,-0.36762088537216187,2.380323588848114,28680
15,110.93333333333334,1664,112.37987226666665,188,8,-193.74026489257812,0.003,0.1511715203523636,0.48740214109420776,1.764995092153549,31260
16,110.3125,1765,117.8479880625,201,8,-203.0545654296875,0.003,0.15911079943180084,1.6933083534240723,1.5312519311904906,33280
17,116.47058823529412,1980,130.6100434117647,227,8,-216.27252197265625,0.003,0.16372014582157135,-0.21023604273796082,2.52410649061203,37580
18,118.88888888888889,2140,139.73799366666668,246,8,-218.73497009277344,0.003,0.1606711745262146,-0.4126582443714142,50.14291715621948,40780
19,119.84210526315789,2277,145.13916510526317,262,8,-226.04800415039062,0.003,0.1510647088289261,-0.004737041890621185,12.635915637016296,43520
20,120.5,2410,150.96828385,278,8,-229.10848999023438,0.003,0.1431371420621872,-0.3418610692024231,2.304258269071579,46180
21,120.52380952380952,2531,154.75728647619047,293,8,-229.636474609375,0.003,0.1409921944141388,-0.7386679649353027,3.632512605190277,48600
22,121.18181818181819,2666,159.97497654545455,308,8,-233.87301635742188,0.003,0.1375516951084137,-0.13494080305099487,1.7190392196178437,51300
23,123.21739130434783,2834,165.09236317391304,329,8,-237.2116241455078,0.003,0.13137777149677277,0.6219626665115356,1.8342214047908783,54660
24,124.25,2982,169.82229925,346,8,-239.983154296875,0.003,0.13385486602783203,0.03694744408130646,1.912018930912018,57620
25,125.76,3144,174.77104264,364,8,-242.81829833984375,0.003,0.1375029981136322,0.6440407633781433,13.367979151010513,60860
26,129.84615384615384,3376,182.21519557692304,390,8,-242.60472106933594,0.003,0.15461471676826477,0.3141857385635376,3.133909583091736,65500
27,132.11111111111111,3567,187.12136407407402,413,8,-246.38409423828125,0.003,0.14934571087360382,-0.48939475417137146,3.321091818809509,69320
