time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
29,29.0,1,166,1.028764,0,,,,,,
42,21.0,2,227,1.940861,0,,,,,,
78,26.0,3,367,4.086837666666667,0,,,,,,
94,23.5,4,417,3.63603625,0,,,,,,
111,22.2,5,21,2.4074400000000002,5,-0.17230767011642456,0.9739599227905273,0.9599357903003692,-10.710653305053711,200,0.003
192,32.0,6,6,11.096515166666668,29,-1.6006124019622803,0.7600183486938477,0.8435153752565384,-34.030517578125,1820,0.003
290,41.42857142857143,7,4,6.415297285714287,58,-3.0946497917175293,0.5763046741485596,1.9903439640998841,-57.044288635253906,3780,0.003
394,49.25,8,4,3.3467969999999996,89,-3.7717652320861816,0.4384971261024475,1.067085427045822,-72.06585693359375,5860,0.003
514,57.111111111111114,9,4,25.838458666666664,124,-4.230230808258057,0.335274875164032,0.5273607149720192,-91.40216064453125,8260,0.003
674,67.4,10,3,52.4934528,168,-4.013158798217773,0.24064946174621582,0.6797113820910454,-116.20931243896484,11460,0.003
878,79.81818181818181,11,3,77.77575718181818,227,-3.3520400524139404,0.1696748584508896,0.6061410322785378,-143.63392639160156,15540,0.003
993,82.75,12,3,76.33701649999999,260,-0.19837835431098938,0.15564970672130585,1.5725322604179381,-156.87022399902344,17840,0.003
1122,86.3076923076923,13,3,87.55073784615385,297,0.5996731519699097,0.15442609786987305,1.335067242383957,-176.0601043701172,20420,0.003
1358,97.0,14,3,89.227128,361,1.4650307893753052,0.16024023294448853,1.9790609359741211,-199.45314025878906,25140,0.003
