time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
1,21.0,682,7.464144,0,21,,,,,,
2,25.5,1189,7.534472,0,51,,,,,,
3,28.0,1500,3.7414583333333336,0,84,,,,,,
4,26.0,175,3.5333740000000002,0,104,0.9901980757713318,0.13092157244682312,60,238.70054359436034,37.64910888671875,0.03
5,23.0,61,2.9433772,1,115,1.2234405279159546,-0.9892723560333252,280,72.38055591583252,35.70000457763672,0.03
6,21.0,38,2.173065,3,126,1.4304155111312866,-1.297408103942871,500,84.18312644958496,42.78327178955078,0.03
7,21.0,25,1.2747574285714285,5,147,1.8313394784927368,-2.339928150177002,920,144.09607315063477,67.95945739746094,0.03
8,20.375,21,-0.3594879999999998,7,163,2.2548818588256836,-4.127596855163574,1240,230.05835647583007,82.93258666992188,0.03
9,19.0,20,-0.6603029999999998,8,171,2.4076898097991943,5.951653480529785,1400,12.849200344085693,30.478683471679688,0.03
10,17.9,18,-1.0481623999999998,9,179,2.2564966678619385,4.960779666900635,1560,15.263972949981689,23.141250610351562,0.03
11,16.90909090909091,17,-1.3971503636363636,10,186,2.0230746269226074,3.8558499813079834,1700,15.829402780532837,13.224274635314941,0.03
12,16.25,17,-1.7332873333333332,11,195,1.7141315937042236,2.8469934463500977,1880,13.98712968826294,2.8495142459869385,0.03
13,15.76923076923077,16,-1.876604,12,205,1.4115180969238281,1.8578362464904785,2080,11.111967515945434,-5.43900203704834,0.03
14,15.285714285714286,15,-2.0133089285714285,13,214,1.1688679456710815,0.9374186992645264,2260,7.919651651382447,-7.734491348266602,0.03
15,14.866666666666667,15,-2.2002626666666667,14,223,0.9525741338729858,-0.31461626291275024,2440,4.7820041418075565,-8.581323623657227,0.03
16,14.6875,14,-2.1534741875,15,235,0.7086395621299744,-2.2317233085632324,2680,2.2511850237846374,-9.319446563720703,0.03
17,15.0,13,-2.751426294117647,18,255,0.4200384318828583,-5.457640171051025,3080,1.091776305437088,-8.567096710205078,0.03
18,20.833333333333332,11,-2.5674446111111116,32,375,0.08203082531690598,-1.6189308166503906,5480,0.5037326470017434,-14.504532814025879,0.03
19,24.05263157894737,10,-2.9146824736842105,41,457,0.06972549855709076,7.873318672180176,7120,0.4707172840833664,-16.360227584838867,0.03
20,41.05,9,6.7513182,84,821,0.07356350123882294,1.5155677795410156,14400,0.4795570343732834,-37.330848693847656,0.03
21,50.0,9,10.564220761904762,110,1050,0.08630434423685074,2.86979603767395,18980,0.7703985393047332,-42.59187316894531,0.03
22,56.77272727272727,9,24.636761818181814,133,1249,0.0984707921743393,0.09610825777053833,22960,0.8104193717241287,-55.86261749267578,0.03
23,60.82608695652174,9,35.019816391304346,151,1399,0.10697869956493378,1.6060776710510254,25960,2.2200748026371,-67.28120422363281,0.03
24,66.0,9,45.58438095833333,172,1584,0.14102153480052948,-0.5443778038024902,29660,9.14829648733139,-80.22962951660156,0.03
25,69.32,9,54.42143279999999,190,1733,0.1989671289920807,0.9997096061706543,32640,7.854640340805053,-89.39224243164062,0.03
26,71.61538461538461,9,61.87346526923076,205,1862,0.21167515218257904,0.20764164626598358,35220,6.962215399742126,-100.13423919677734,0.03
27,75.66666666666667,9,71.18625659259258,226,2043,0.24059264361858368,0.22834324836730957,38840,10.173535132408142,-117.6567611694336,0.03
28,78.21428571428571,8,77.97557428571429,243,2190,0.23038870096206665,2.3310115337371826,41780,10.476285338401794,-122.24478149414062,0.03
