time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
484,-1.961502,0,19,1,19.0,,,,,,
807,2.136663,0,43,2,21.5,,,,,,
1044,-0.14440000000000008,0,72,3,24.0,,,,,,
24,2.3367635,4,114,4,28.5,1.2475230693817139,0.03,260,-2.5638484954833984,55.79588317871094,541.6089019775391
12,1.6230381999999999,10,129,5,25.8,1.748508334159851,0.03,560,-5.1756086349487305,86.49049377441406,1010.8111053466797
10,0.8844373333333332,12,136,6,22.666666666666668,2.044306755065918,0.03,700,-6.930020332336426,106.62364196777344,1360.0999450683594
9,0.3124765714285713,15,144,7,20.571428571428573,2.441687822341919,0.03,860,-3.9389257431030273,106.18257141113281,1391.7303283691406
8,0.302733625,19,155,8,19.375,2.653773307800293,0.03,1080,6.416337013244629,36.797889709472656,98.37942543029786
7,0.6614907777777778,23,167,9,18.555555555555557,2.3465089797973633,0.03,1320,5.416529655456543,26.22385025024414,92.1531244277954
6,0.49272499999999997,26,176,10,17.6,2.031541347503662,0.03,1500,4.058246612548828,19.096527099609375,87.06414909362793
6,0.5700030909090908,29,186,11,16.90909090909091,1.7047114372253418,0.03,1700,3.2367465496063232,12.532681465148926,74.25300674438476
5,0.4470268333333333,32,195,12,16.25,1.4481611251831055,0.03,1880,2.2833786010742188,6.087754249572754,67.41552925109863
5,0.17470684615384613,34,202,13,15.538461538461538,1.2732995748519897,0.03,2020,1.2440637350082397,2.27913236618042,58.82607803344727
5,-0.017411642857142886,37,209,14,14.928571428571429,1.12237548828125,0.03,2160,0.6079918146133423,1.0012489557266235,52.86634349822998
5,-0.2976034666666667,40,217,15,14.466666666666667,0.9710726737976074,0.03,2320,-0.17268875241279602,-2.3089873790740967,43.53030652999878
5,-0.4372746249999999,42,225,16,14.0625,0.8340498208999634,0.03,2480,-1.0878405570983887,-3.2792599201202393,29.336056900024413
5,-0.5145975294117646,46,235,17,13.823529411764707,0.6818743348121643,0.03,2680,-2.3761723041534424,-4.097309589385986,17.05799241065979
4,-0.5453898333333332,49,244,18,13.555555555555555,0.5624047517776489,0.03,2860,-3.6041738986968994,-4.6219635009765625,9.804313349723817
4,-0.149158894736842,56,265,19,13.947368421052632,0.34649890661239624,0.03,3280,-7.120448112487793,-3.2586002349853516,3.6796306729316712
4,0.3013432000000001,69,300,20,15.0,0.14602604508399963,0.03,3980,-11.117460250854492,-1.8922487497329712,1.1882106691598893
3,-0.8142315238095237,99,386,21,18.38095238095238,0.051096461713314056,0.03,5700,-2.7638072967529297,-0.7293318510055542,1.948014384508133
3,5.008390772727273,182,628,22,28.545454545454547,0.06958090513944626,0.03,10540,-1.3135735988616943,-12.822901725769043,3.764554035663605
3,17.695200652173913,241,801,23,34.82608695652174,0.0895359143614769,0.03,14000,1.398991346359253,-18.909704208374023,3.0796469330787657
3,22.42483891666667,326,1046,24,43.583333333333336,0.09287578612565994,0.03,18900,0.8622152805328369,-24.202442169189453,7.7679379224777225
3,32.097633560000006,377,1193,25,47.72,0.11614515632390976,0.03,21840,1.065218448638916,-32.27524185180664,21.725154447555543
3,40.34691361538462,424,1326,26,51.0,0.14091505110263824,0.03,24500,0.40911272168159485,-40.204017639160156,51.64258279800415
3,47.61720474074075,465,1446,27,53.55555555555556,0.15359410643577576,0.03,26900,-0.470093697309494,-51.983890533447266,28.146586418151855
3,55.79569835714286,511,1579,28,56.392857142857146,0.1464414894580841,0.03,29560,-0.004412621259689331,-46.90434265136719,19.86809368133545
3,66.60074434482759,574,1764,29,60.827586206896555,0.1881607174873352,0.03,33260,1.3304914236068726,-53.28836441040039,45.42678508758545
3,72.12322366666668,616,1888,30,62.93333333333333,0.1417880356311798,0.03,35740,0.10494325309991837,-51.70883560180664,45.9371841430664
3,79.54094680645161,669,2042,31,65.87096774193549,0.1355050504207611,0.03,38820,-0.013334572315216064,-48.83399963378906,29.536673831939698
3,86.23053865624999,719,2193,32,68.53125,0.15320035815238953,0.03,41840,0.5012478828430176,-42.68716812133789,31.621031475067138
3,93.58300639393939,780,2370,33,71.81818181818181,0.18570858240127563,0.03,45380,0.4052535891532898,-33.181907653808594,36.01494312286377
3,99.97913129411764,837,2540,34,74.70588235294117,0.16978733241558075,0.03,48780,0.3397812247276306,-31.174406051635742,49.318734073638915
3,106.1330275142857,893,2704,35,77.25714285714285,0.0921836569905281,0.03,52060,0.8360892534255981,-19.451107025146484,15.124143314361572
3,114.93078891666667,960,2904,36,80.66666666666667,0.06650059670209885,0.03,56060,0.8534606695175171,-29.2496280670166,16.50079689025879
3,111.86153089189187,963,2914,37,78.75675675675676,0.07402124255895615,0.03,56260,0.8807855248451233,-32.43848419189453,15.68883728981018
3,109.17226765789474,970,2934,38,77.21052631578948,0.07998239248991013,0.03,56660,0.12188893556594849,-31.358993530273438,18.0154070854187
3,106.46271366666667,974,2947,39,75.56410256410257,0.07644422352313995,0.03,56920,-0.24400900304317474,-30.735919952392578,15.834208154678345
3,103.880033075,978,2959,40,73.975,0.07496385276317596,0.03,57160,-0.11464479565620422,-27.560327529907227,14.757201671600342
3,101.39444819512197,981,2970,41,72.4390243902439,0.07543602585792542,0.03,57380,-0.5286288261413574,-28.44546127319336,18.16224455833435
3,99.01820866666668,986,2983,42,71.02380952380952,0.07193663716316223,0.03,57640,1.3836495876312256,-30.71898651123047,20.05281753540039
3,98.97745227906978,1027,3108,43,72.27906976744185,0.08491238951683044,0.03,60140,-0.15081122517585754,-34.943572998046875,35.20205106735229
3,96.72180961363638,1030,3117,44,70.8409090909091,0.08768635243177414,0.03,60320,0.13358646631240845,-32.62440490722656,26.591572189331053
3,94.6158548888889,1034,3128,45,69.5111111111111,0.08889876306056976,0.03,60540,-0.6656681299209595,-30.54654312133789,20.69924545288086
3,92.59799528260872,1038,3139,46,68.23913043478261,0.08164716511964798,0.03,60760,0.03427407145500183,-32.446937561035156,19.067368078231812
3,90.64587829787236,1041,3149,47,67.0,0.07852533459663391,0.03,60960,1.244133472442627,-34.566280364990234,20.96798505783081
3,95.63351522916666,1105,3338,48,69.54166666666667,0.10534325242042542,0.03,64740,-1.4222090244293213,-30.905475616455078,29.781403636932374
3,93.66461330612243,1108,3346,49,68.28571428571429,0.10301554948091507,0.03,64900,-0.49500802159309387,-31.410242080688477,24.97015037536621
3,91.75202698,1110,3353,50,67.06,0.09892746806144714,0.03,65040,-1.3156160116195679,-32.344154357910156,24.944893550872802
3,89.96068758823529,1113,3363,51,65.94117647058823,0.08876526355743408,0.03,65240,-0.6126202344894409,-35.440826416015625,27.757454013824464
