time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate,train/critic_loss
1,22.970509,222,48,0,48.0,,,,,,
2,12.72415,320,81,0,40.5,,,,,,
3,9.359795666666667,351,94,0,31.333333333333332,,,,,,
4,6.64005575,24,107,4,26.75,-1.5057045221328735,120,65.46958923339844,1.060662865638733,0.03,632.1771224975586
5,4.9287028,14,118,8,23.6,-3.4600741863250732,340,63.41161346435547,1.383941650390625,0.03,605.1794342041015
6,4.1627355,9,131,13,21.833333333333332,-6.297572135925293,600,91.88111877441406,1.8225785493850708,0.03,1116.591098022461
7,3.3779601428571433,7,141,18,20.142857142857142,-7.373778820037842,800,124.18255615234375,2.2542080879211426,0.03,1666.5514099121094
8,2.444869375,6,148,21,18.5,-10.14918327331543,940,144.37582397460938,2.6286818981170654,0.03,2274.7505859375
9,1.6302385555555556,6,155,24,17.22222222222222,-10.384666442871094,1080,172.9274444580078,3.0878121852874756,0.03,3035.2607421875
10,0.9905266000000001,5,165,28,16.5,8.453639030456543,1280,67.61852264404297,3.520303964614868,0.03,307.68709564208984
11,0.4760602727272728,5,172,30,15.636363636363637,7.08847713470459,1420,55.063419342041016,3.433961868286133,0.03,350.1464141845703
12,0.23045391666666673,5,179,33,14.916666666666666,5.981456756591797,1560,42.28451919555664,3.2180657386779785,0.03,338.7356674194336
13,0.08517061538461546,5,187,36,14.384615384615385,5.361483573913574,1720,24.9112491607666,2.914220094680786,0.03,292.47079238891604
14,-0.13885314285714281,4,194,39,13.857142857142858,5.054804801940918,1860,19.099655151367188,2.6425065994262695,0.03,276.28242645263674
15,-0.3549473333333333,4,202,42,13.466666666666667,4.420048236846924,2020,6.001386642456055,2.350294351577759,0.03,211.32821044921874
16,-0.4546673750000001,4,209,44,13.0625,4.0318284034729,2160,1.3504631519317627,2.1174893379211426,0.03,184.422021484375
17,-0.5794259411764706,4,216,47,12.705882352941176,3.781543254852295,2300,-5.234009265899658,1.8950339555740356,0.03,123.60974731445313
18,-0.7014717777777778,4,223,49,12.38888888888889,3.1907248497009277,2440,-6.799211502075195,1.680163860321045,0.03,104.21603736877441
19,-0.8303444736842106,4,230,52,12.105263157894736,2.568293333053589,2580,-8.049417495727539,1.4768537282943726,0.03,67.72225093841553
20,-0.92823245,4,237,55,11.85,1.6090275049209595,2720,-9.849010467529297,1.2886455059051514,0.03,37.22269153594971
21,-0.9315941904761905,4,247,58,11.761904761904763,0.31516849994659424,2920,-9.903709411621094,1.0497660636901855,0.03,22.015563774108887
22,-0.3649869090909091,3,286,76,13.0,-4.714543342590332,3700,-8.107193946838379,0.4470091760158539,0.03,5.283224701881409
23,0.06509478260869565,3,325,90,14.130434782608695,-7.743289947509766,4480,-6.784304141998291,0.20307093858718872,0.03,3.616960334777832
24,-0.8073981666666666,3,464,137,19.333333333333332,-3.5216240882873535,7260,-4.648585319519043,0.056238576769828796,0.03,2.5453410863876345
25,9.46116424,3,707,218,28.28,1.5305027961730957,12120,-5.361546516418457,0.06625241041183472,0.03,3.193737471103668
26,21.70204226923077,3,895,280,34.42307692307692,1.0490360260009766,15880,-16.669349670410156,0.10753437876701355,0.03,6.040423512458801
27,31.64400951851852,3,1057,334,39.148148148148145,0.03198222815990448,19120,-23.949905395507812,0.13285009562969208,0.03,9.657372426986694
28,41.45687503571429,3,1231,391,43.964285714285715,0.14870822429656982,22600,-33.48487854003906,0.1567240208387375,0.03,17.545092821121216
29,51.077223137931036,3,1412,450,48.689655172413794,0.09667834639549255,26220,-35.08086395263672,0.18732251226902008,0.03,21.691156816482543
30,58.5556796,3,1565,499,52.166666666666664,-1.0403738021850586,29280,-32.2664680480957,0.19991923868656158,0.03,23.456959438323974
31,66.29497270967742,3,1724,551,55.61290322580645,-0.7177329063415527,32460,-30.53917121887207,0.1705784946680069,0.03,23.7321475982666
32,64.99135662500001,3,1792,573,56.0,-0.36509960889816284,33820,-28.266908645629883,0.14278782904148102,0.03,16.872912788391112
33,71.55799472727274,3,1943,623,58.878787878787875,0.06871618330478668,36840,-34.6048583984375,0.12545309960842133,0.03,18.939238405227663
