rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss
22.0,151,7.277625,0,22,1,,,,,,
27.5,308,4.2416265,0,55,2,,,,,,
27.0,382,5.114578,0,81,3,,,,,,
25.75,24,3.5647172499999997,4,103,4,0.03,40,2918.004664611816,73.69205474853516,0.9704455733299255,1.1670331954956055
26.4,3,4.729882999999999,42,132,5,0.03,620,566.0501831054687,52.49604797363281,1.6380815505981445,-2.221000909805298
23.666666666666668,2,3.684654333333333,55,142,6,0.03,820,744.10048828125,68.04873657226562,1.8787033557891846,-2.5657262802124023
21.428571428571427,2,2.5596,66,150,7,0.03,980,150.80955390930177,34.72934341430664,2.0876729488372803,4.313671588897705
20.0,2,2.1955600000000004,79,160,8,0.03,1180,54.03937206268311,19.963104248046875,2.008452892303467,4.795466423034668
18.88888888888889,1,2.047019444444445,92,170,9,0.03,1380,42.75573034286499,12.91195011138916,1.6928378343582153,3.5149588584899902
18.0,1,1.7455169000000006,104,180,10,0.03,1580,36.067106056213376,9.719233512878418,1.3592952489852905,1.925416111946106
17.181818181818183,1,1.424211272727273,117,189,11,0.03,1760,34.726257133483884,5.802239418029785,1.1029740571975708,0.572036862373352
16.583333333333332,1,1.1228845833333339,130,199,12,0.03,1960,23.074750995635988,4.831360816955566,0.8724638223648071,-0.7980356216430664
16.0,1,0.8525823076923081,142,208,13,0.03,2140,15.711955165863037,0.9021643400192261,0.7066404223442078,-1.8524017333984375
15.357142857142858,1,0.5418499285714289,151,215,14,0.03,2280,10.567751264572143,-0.4722217321395874,0.6004286408424377,-2.778563976287842
14.866666666666667,1,0.39362473333333364,162,223,15,0.03,2440,8.238669919967652,-1.5009945631027222,0.49836692214012146,-3.9638638496398926
