time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates
23,0,130,23.0,1,4.887314,,,,,,
44,0,217,22.0,2,-0.5592644999999998,,,,,,
64,0,281,21.333333333333332,3,0.3837366666666668,,,,,,
80,0,323,20.0,4,1.7589245,,,,,,
95,0,357,19.0,5,1.4988092,,,,,,
114,5,19,19.0,6,0.03571933333333336,649.9236541748047,0.03,1.2671945095062256,68.02490234375,-3.705482006072998,260
130,11,11,18.571428571428573,7,-1.3181417142857141,1663.30703125,0.03,1.9193941354751587,123.55281066894531,-9.761884689331055,580
142,15,9,17.75,8,-2.007615,3044.0791625976562,0.03,2.6370203495025635,180.77403259277344,-15.325464248657227,820
159,21,7,17.666666666666668,9,-2.0785828888888886,7681.455883789063,0.03,4.182956695556641,311.52069091796875,-19.851634979248047,1160
168,24,6,16.8,10,-1.9933545999999995,12778.97109375,0.03,5.377645015716553,358.54071044921875,-16.67642593383789,1340
177,27,6,16.09090909090909,11,-1.936592636363636,993.0645935058594,0.03,6.173603057861328,146.59234619140625,10.482876777648926,1520
184,30,6,15.333333333333334,12,-1.9466786666666664,1151.0695495605469,0.03,6.180665969848633,114.24140930175781,9.040919303894043,1660
193,33,5,14.846153846153847,13,-1.882265846153846,838.9380645751953,0.03,5.831798553466797,93.11355590820312,10.715618133544922,1840
203,36,5,14.5,14,-1.8360549999999998,659.1524200439453,0.03,5.232770919799805,69.00951385498047,9.893170356750488,2040
211,39,5,14.066666666666666,15,-1.9911132666666664,668.5118927001953,0.03,4.740161895751953,55.74274826049805,8.71015739440918,2200
218,41,5,13.625,16,-2.16838075,545.1796020507812,0.03,4.334109783172607,32.90325164794922,6.994690895080566,2340
226,44,5,13.294117647058824,17,-2.283163882352941,478.7329345703125,0.03,3.910898447036743,16.94112205505371,6.68848991394043,2500
234,47,4,13.0,18,-2.402759833333333,410.76797637939455,0.03,3.5235817432403564,6.142430305480957,6.319782733917236,2660
242,50,4,12.736842105263158,19,-2.4342167368421053,314.8102149963379,0.03,3.1562352180480957,-9.817489624023438,6.64855432510376,2820
252,53,4,12.6,20,-2.3838652500000004,204.86147689819336,0.03,2.72316575050354,-17.93617057800293,5.560787677764893,3020
262,56,4,12.476190476190476,21,-2.3476611904761904,137.64308013916016,0.03,2.327058792114258,-21.45478630065918,5.323173522949219,3220
293,67,4,13.318181818181818,22,-1.9874200909090909,40.1976240158081,0.03,1.3503001928329468,-21.26363182067871,1.976674199104309,3840
345,86,4,15.0,23,-0.7462394347826087,14.406631898880004,0.03,0.5084697604179382,-12.303762435913086,-3.642190456390381,4880
464,127,3,19.333333333333332,24,-2.0009063333333335,13.043184661865235,0.03,0.1445568948984146,-3.1461238861083984,0.5043481588363647,7260
602,174,3,24.08,25,-0.28223252000000004,9.404238080978393,0.03,0.07733520120382309,2.101546287536621,-0.803446352481842,10020
716,214,3,27.53846153846154,26,4.055352846153846,2.9546655416488647,0.03,0.059270527213811874,0.6785503625869751,-0.3583568334579468,12300
887,273,3,32.851851851851855,27,14.735591962962962,3.056966757774353,0.03,0.07248137146234512,-6.862259387969971,-0.6524696946144104,15720
1091,344,3,38.964285714285715,28,26.199001892857144,6.869308853149414,0.03,0.09966432303190231,-15.782495498657227,0.6124366521835327,19800
1265,407,3,43.62068965517241,29,29.007929344827588,8.485942792892455,0.03,0.10568130016326904,-17.341999053955078,-0.9714586734771729,23280
1438,470,3,47.93333333333333,30,38.83422136666666,10.061635303497315,0.03,0.11727580428123474,-15.298212051391602,1.2259080410003662,26740
1561,515,3,50.354838709677416,31,39.768799774193546,12.69561333656311,0.03,0.10883288830518723,-18.351964950561523,-0.0784110575914383,29200
1769,591,2,55.28125,32,51.071686,11.37442364692688,0.03,0.10636293143033981,-21.48523712158203,1.2088491916656494,33360
1788,598,2,54.18181818181818,33,49.74172151515151,12.000345945358276,0.03,0.10756932944059372,-21.66596221923828,-1.834285020828247,33740
1817,608,2,53.44117647058823,34,48.77436394117647,12.722050189971924,0.03,0.10584888607263565,-25.442628860473633,-0.34543487429618835,34320
2012,679,2,57.48571428571429,35,57.43936817142857,15.451343393325805,0.03,0.105614073574543,-23.7811336517334,-0.4284968972206116,38220
2266,773,2,62.94444444444444,36,68.54713275,11.691533994674682,0.03,0.11398518085479736,-22.805437088012695,0.38206368684768677,43300
2487,854,2,67.21621621621621,37,78.13669483783784,15.85609073638916,0.03,0.10750487446784973,-24.767505645751953,-2.0153489112854004,47720
2708,936,2,71.26315789473684,38,87.05864457894737,14.074266958236695,0.03,0.11574487388134003,-27.901058197021484,-0.5198420882225037,52140
2721,940,2,69.76923076923077,39,84.93680587179487,23.731650638580323,0.03,0.11173976212739944,-25.606599807739258,-0.10681454837322235,52400
2740,947,2,68.5,40,83.082156475,22.87185969352722,0.03,0.11348655074834824,-28.63622283935547,0.22069701552391052,52780
2962,1027,2,72.2439024390244,41,91.34115107317074,17.319343900680543,0.03,0.13494069874286652,-30.189332962036133,-0.38376638293266296,57220
3193,1111,2,76.02380952380952,42,99.50573997619048,11.132168865203857,0.03,0.12167862802743912,-34.65357208251953,-0.4015103876590729,61840
3311,1153,2,77.0,43,99.33897053488373,14.109732699394225,0.03,0.09974861890077591,-35.02812957763672,-0.008778661489486694,64200
3566,1245,2,81.04545454545455,44,107.50021431818185,13.266263031959534,0.03,0.09012451767921448,-39.86697769165039,0.6675890684127808,69300
3795,1327,2,84.33333333333333,45,114.59512022222225,17.119425201416014,0.03,0.1167604997754097,-45.47220993041992,-0.9422699213027954,73880
