time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
1,0,23,57,7.507917,23.0,,,,,,
2,0,55,125,4.760509,27.5,,,,,,
3,0,64,142,3.475921,21.333333333333332,,,,,,
4,0,78,168,3.8380335,19.5,,,,,,
5,0,95,196,3.5560422000000003,19.0,,,,,,
6,6,118,17,2.556339166666667,19.666666666666668,64.1009521484375,-3.3566384315490723,633.824252319336,0.03,1.3878954648971558,340
7,10,130,12,1.6068537142857144,18.571428571428573,94.21920776367188,-5.157149791717529,1026.229281616211,0.03,1.788968801498413,580
8,19,155,8,1.645264375,19.375,47.764892578125,6.913511276245117,169.81642417907716,0.03,2.6944570541381836,1080
9,22,165,7,1.6102047777777777,18.333333333333332,42.740379333496094,1.9579312801361084,224.7427490234375,0.03,2.5390214920043945,1280
10,24,172,6,1.1631171999999999,17.2,33.001319885253906,5.652669906616211,200.16736373901367,0.03,2.383209228515625,1420
11,28,182,6,1.002170909090909,16.545454545454547,23.443758010864258,4.183075904846191,137.77601737976073,0.03,2.0848991870880127,1620
12,30,189,6,0.77153625,15.75,18.513668060302734,2.8645811080932617,112.50976257324218,0.03,1.8772865533828735,1760
13,32,195,5,0.4717163846153846,15.0,14.13797378540039,3.0839409828186035,120.98877716064453,0.03,1.7182940244674683,1880
14,35,202,5,0.3187205,14.428571428571429,11.18316650390625,2.318650245666504,111.15449256896973,0.03,1.540276050567627,2020
15,37,210,5,0.19669886666666667,14.0,4.7742156982421875,1.624472737312317,68.73206062316895,0.03,1.3542025089263916,2180
16,40,219,5,0.17709925000000004,13.6875,2.209292411804199,0.9215616583824158,50.7011640548706,0.03,1.1637592315673828,2360
17,44,230,5,0.15079905882352945,13.529411764705882,-0.22154268622398376,-0.2896258533000946,33.455810356140134,0.03,0.9541435837745667,2580
18,47,239,4,0.012421555555555575,13.277777777777779,-2.4817748069763184,-1.2939043045043945,16.186913394927977,0.03,0.802670955657959,2760
19,51,249,4,0.07367900000000001,13.105263157894736,-3.2614054679870605,-2.68452787399292,11.776269721984864,0.03,0.6569417119026184,2960
20,58,271,4,0.10953625000000003,13.55,-3.9252471923828125,-5.846164226531982,4.6370215058326725,0.03,0.40949511528015137,3400
21,74,316,4,1.4162446666666666,15.047619047619047,-2.267460346221924,-9.482632637023926,2.6757970690727233,0.03,0.14667190611362457,4300
22,106,407,3,0.37261513636363636,18.5,-1.0547420978546143,-5.1459550857543945,5.191669988632202,0.03,0.08267715573310852,6120
23,168,586,3,4.345534434782609,25.47826086956522,-3.560976028442383,1.170584797859192,1.8085451662540435,0.03,0.06156666949391365,9700
24,213,721,3,6.662147208333333,30.041666666666668,-4.21470832824707,2.798266887664795,2.325816124677658,0.03,0.0651501789689064,12400
25,342,1101,3,24.412320599999997,44.04,-11.056248664855957,1.5795334577560425,1.9766610085964202,0.03,0.08477899432182312,20000
26,400,1270,3,34.910191346153844,48.84615384615385,-18.197246551513672,-1.0890483856201172,4.898344004154206,0.03,0.10087175667285919,23380
27,466,1462,3,46.03495381481481,54.148148148148145,-22.401817321777344,-0.4210163950920105,8.096754932403565,0.03,0.0989505872130394,27220
28,545,1692,3,57.60277428571429,60.42857142857143,-28.018991470336914,0.7025707960128784,8.196091556549073,0.03,0.08809342980384827,31820
29,644,1981,3,71.56837624137931,68.3103448275862,-29.200428009033203,1.8834103345870972,15.082701396942138,0.03,0.09260067343711853,37600
30,743,2268,3,82.82513513333333,75.6,-37.32940673828125,1.1535212993621826,20.190804719924927,0.03,0.13829249143600464,43340
31,755,2301,3,80.83004993548387,74.2258064516129,-36.901824951171875,0.3881886303424835,32.224462795257566,0.03,0.13443656265735626,44000
32,830,2521,3,88.8485275625,78.78125,-42.53258514404297,0.8661834001541138,16.575930690765382,0.03,0.14547623693943024,48400
33,897,2717,3,96.0824746060606,82.33333333333333,-37.87229919433594,0.023380108177661896,27.33288688659668,0.03,0.13725261390209198,52320
34,1004,3035,3,106.62049523529411,89.26470588235294,-39.35543441772461,-1.009004831314087,15.512882900238036,0.03,0.11362985521554947,58680
35,1068,3222,3,112.7061504,92.05714285714286,-42.05905532836914,-0.3860960006713867,12.477904510498046,0.03,0.11142637580633163,62420
36,1134,3418,3,118.76014483333331,94.94444444444444,-42.551788330078125,-0.25174951553344727,11.083619451522827,0.03,0.12131720036268234,66340
37,1203,3617,3,124.46268551351349,97.75675675675676,-45.35408020019531,1.1669373512268066,9.47297978401184,0.03,0.0982099324464798,70320
38,1278,3837,3,130.4992994736842,100.97368421052632,-45.43348693847656,0.8853762149810791,15.051883792877197,0.03,0.1062430813908577,74720
39,1353,4060,2,136.18689028205125,104.1025641025641,-47.31659698486328,-0.9328011274337769,13.145609283447266,0.03,0.10773628950119019,79180
40,1425,4274,2,141.641190925,106.85,-53.38641357421875,1.4941327571868896,22.978496503829955,0.03,0.09988006949424744,83460
41,1496,4486,2,146.6019735609756,109.41463414634147,-54.2169075012207,-0.7128074169158936,19.774174880981445,0.03,0.10597534477710724,87700
42,1574,4717,2,153.69873183333334,112.30952380952381,-61.306678771972656,1.1796159744262695,15.39922308921814,0.03,0.09033144265413284,92320
43,1641,4915,2,158.93604404651163,114.30232558139535,-54.93263244628906,0.23219098150730133,15.066305685043336,0.03,0.10990782827138901,96280
44,1726,5165,2,165.8122129772727,117.38636363636364,-60.528785705566406,0.7829617261886597,19.238974380493165,0.03,0.09191122651100159,101280
45,1802,5388,2,169.9870757111111,119.73333333333333,-61.80535125732422,0.3793383538722992,11.84324345588684,0.03,0.06916003674268723,105740
46,1879,5618,2,175.89055704347825,122.1304347826087,-67.61297607421875,-0.4442169666290283,18.47745523452759,0.03,0.10423853993415833,110340
47,1955,5849,2,181.5538954468085,124.44680851063829,-63.097694396972656,0.04348734766244888,22.878219842910767,0.03,0.10005074739456177,114960
48,2041,6105,2,187.13128268749998,127.1875,-65.13523864746094,0.49235594272613525,16.71986699104309,0.03,0.09259554743766785,120080
49,2122,6347,2,192.30346689795917,129.53061224489795,-69.027099609375,-0.19811226427555084,16.615592288970948,0.03,0.09538084268569946,124920
50,2190,6547,2,195.51768026,130.94,-71.52427673339844,0.021791964769363403,23.025673818588256,0.03,0.08092515915632248,128920
51,2261,6755,2,200.05057831372548,132.45098039215685,-72.05854797363281,-0.4299863278865814,16.79071698188782,0.03,0.09549235552549362,133080
52,2330,6960,2,204.06103423076922,133.84615384615384,-75.72615814208984,-1.3295239210128784,18.743593740463258,0.03,0.10326001793146133,137180
53,2414,7213,2,209.07504473584905,136.0943396226415,-71.94593811035156,2.2460412979125977,15.58756103515625,0.03,0.09482846409082413,142240
54,2501,7472,2,213.97526055555554,138.37037037037038,-73.5267562866211,0.3869710862636566,17.586771392822264,0.03,0.08953990042209625,147420
55,2573,7691,2,217.9937898545454,139.83636363636364,-75.77371215820312,-0.7735491991043091,19.3723895072937,0.03,0.07831888645887375,151800
56,2645,7907,2,221.91643573214287,141.19642857142858,-74.27155303955078,-0.5515923500061035,12.492336106300353,0.03,0.093270443379879,156120
57,2717,8124,2,225.69287810526316,142.52631578947367,-80.63385009765625,0.5618544220924377,12.844981122016907,0.03,0.09311935305595398,160460
58,2792,8352,2,229.66837329310346,144.0,-81.16295623779297,0.7051359415054321,12.775273418426513,0.03,0.08223987370729446,165020
59,2865,8571,2,233.2582521355932,145.27118644067798,-80.93479919433594,0.01277594268321991,12.858085107803344,0.03,0.1017884612083435,169400
60,2936,8783,2,236.61787104999996,146.38333333333333,-85.46456909179688,-0.12188424170017242,15.226442527770995,0.03,0.09193713217973709,173640
61,3010,9000,2,239.99106483606553,147.54098360655738,-84.44970703125,-0.9450958967208862,18.178318119049074,0.03,0.0843634381890297,177980
62,3084,9221,2,243.2887144193548,148.7258064516129,-88.92189025878906,-0.7081021070480347,13.307549667358398,0.03,0.09161894768476486,182400
63,3155,9433,2,246.29772734920633,149.73015873015873,-90.45775604248047,1.4449739456176758,13.017133641242982,0.03,0.07973892241716385,186640
64,3227,9646,2,249.44126459375,150.71875,-89.90850830078125,0.32506951689720154,11.379906129837035,0.03,0.07360552251338959,190900
65,3295,9854,2,252.3245425846154,151.6,-93.83914184570312,0.8608849048614502,12.670219659805298,0.03,0.07423558831214905,195060
66,3366,10066,2,255.1641014090909,152.5151515151515,-93.84353637695312,-1.1599435806274414,20.71827006340027,0.03,0.09134191274642944,199300
67,3437,10283,2,258.14658001492535,153.47761194029852,-93.4319076538086,-0.10701361298561096,12.292368721961974,0.03,0.08198413252830505,203640
68,3507,10496,2,260.9227941176471,154.35294117647058,-88.8193359375,-0.3358680009841919,16.06560320854187,0.03,0.08508419990539551,207900
69,3582,10720,2,263.8607611884058,155.36231884057972,-93.4190902709961,0.3210722804069519,11.209450578689575,0.03,0.08371830731630325,212380
70,3657,10941,2,266.55971104285715,156.3,-100.3324966430664,2.9776744842529297,10.119422221183777,0.03,0.062046997249126434,216800
71,3730,11156,2,269.0616023802817,157.1267605633803,-95.66508483886719,-0.1158076822757721,12.618173336982727,0.03,0.07392580062150955,221100
72,3805,11379,2,271.6627357916666,158.04166666666666,-96.19755554199219,-0.01747100055217743,12.908956956863403,0.03,0.06861644238233566,225560
73,3877,11598,2,274.1461236986301,158.87671232876713,-97.79581451416016,1.2379565238952637,11.808364605903625,0.03,0.07124550640583038,229940
74,3952,11821,2,276.67141068918914,159.74324324324326,-92.83245849609375,-0.5401111841201782,12.703526020050049,0.03,0.08447668701410294,234400
75,4025,12040,2,278.97201599999994,160.53333333333333,-99.43913269042969,0.6007794141769409,14.690543794631958,0.03,0.08868247270584106,238780
76,4096,12253,2,281.0159734078947,161.22368421052633,-100.05622863769531,-1.42214035987854,15.609112071990968,0.03,0.07428337633609772,243040
77,4164,12459,2,283.09037338961036,161.80519480519482,-101.662109375,0.13845181465148926,16.152867460250853,0.03,0.07316319644451141,247160
78,4234,12670,2,285.22056616666663,162.43589743589743,-97.20259857177734,0.0639863833785057,12.68258159160614,0.03,0.08713284134864807,251380
79,4306,12888,2,287.36495926582273,163.13924050632912,-103.4412841796875,-0.3159523010253906,9.321416330337524,0.03,0.07183364033699036,255740
80,4373,13084,2,289.1974251625,163.55,-100.69873046875,0.26117372512817383,11.000607776641846,0.03,0.05910615622997284,259660
81,4444,13298,2,291.1807792962963,164.17283950617283,-96.60980987548828,-1.3261165618896484,16.071240854263305,0.03,0.07979489862918854,263940
82,4517,13515,2,293.15056864634147,164.8170731707317,-100.34231567382812,1.6907514333724976,16.01509666442871,0.03,0.06810425221920013,268280
83,4588,13724,2,295.0338804457831,165.34939759036143,-93.70372009277344,0.20421099662780762,19.91259660720825,0.03,0.057851482182741165,272460
84,4658,13930,2,296.883529297619,165.83333333333334,-102.08345031738281,0.24430084228515625,14.127269291877747,0.03,0.06685923784971237,276580
85,4726,14130,2,298.50767043529413,166.23529411764707,-99.9273681640625,-0.01921573281288147,15.713868713378906,0.03,0.058999817818403244,280580
86,4794,14331,2,299.99565263953485,166.63953488372093,-106.93113708496094,-0.5403088927268982,15.433684682846069,0.03,0.07388398796319962,284600
87,4862,14533,2,301.4935972528736,167.04597701149424,-105.36294555664062,0.7365955114364624,10.870396447181701,0.03,0.05831775814294815,288640
88,4930,14739,2,303.16968373863637,167.48863636363637,-103.92578125,0.45027655363082886,9.02845995426178,0.03,0.0572105348110199,292760
89,4997,14940,2,304.71849762921346,167.86516853932585,-102.26409912109375,0.012964591383934021,9.042850232124328,0.03,0.06610571593046188,296780
90,5065,15147,2,306.2659246333333,168.3,-99.94229125976562,0.9685248732566833,14.840142822265625,0.03,0.06944791972637177,300920
91,5132,15350,2,307.76692696703293,168.6813186813187,-104.58175659179688,2.157529354095459,16.897245931625367,0.03,0.05176234990358353,304980
92,5202,15556,2,309.15267730434783,169.08695652173913,-107.99430847167969,-0.8801988959312439,14.065776109695435,0.03,0.062101464718580246,309100
93,5270,15761,2,310.65393168817207,169.4731182795699,-103.65684509277344,-0.8502353429794312,16.011841702461243,0.03,0.06165618821978569,313200
94,5337,15959,2,311.90845420212764,169.77659574468086,-102.34004974365234,-1.2435598373413086,9.726995277404786,0.03,0.060975730419158936,317160
95,5409,16175,2,313.4504029157895,170.26315789473685,-108.57963562011719,0.04998825490474701,12.610320734977723,0.03,0.06765773892402649,321480
96,5477,16376,2,314.79665047916666,170.58333333333334,-103.53031921386719,-0.625144362449646,9.094661402702332,0.03,0.06609220802783966,325500
97,5546,16580,2,316.1456945360825,170.9278350515464,-105.38899230957031,0.9311132431030273,9.492912435531617,0.03,0.061330489814281464,329580
98,5613,16781,2,317.41479528571426,171.23469387755102,-103.02572631835938,-1.5889893770217896,11.587890648841858,0.03,0.08035365492105484,333600
99,5684,16988,2,318.72465647474746,171.59595959595958,-104.539794921875,0.940335750579834,9.92162070274353,0.03,0.06614013016223907,337740
100,5753,17196,2,320.01781673,171.96,-103.54583740234375,-0.2580080032348633,13.49701817035675,0.03,0.07148502767086029,341900
101,5825,17408,2,324.55355719999994,173.85,-103.76155090332031,-0.19096365571022034,14.434058165550232,0.03,0.0739741101861,346140
102,5893,17612,2,328.9392707399999,175.57,-107.8801040649414,1.1273912191390991,13.458712935447693,0.03,0.0649961605668068,350220
103,5963,17821,2,333.36073882999995,177.57,-101.26091003417969,-0.7045470476150513,14.065085315704346,0.03,0.06396724283695221,354400
104,6031,18023,2,337.78092363999997,179.45,-111.65789794921875,-1.3171464204788208,8.958561062812805,0.03,0.06638824939727783,358440
105,6102,18236,2,342.3207422299999,181.41,-105.12874603271484,0.16344639658927917,11.389793133735656,0.03,0.060455430299043655,362700
106,6170,18438,2,346.79876343,183.2,-112.10763549804688,-0.2201579511165619,7.103664231300354,0.03,0.05878445878624916,366740
107,6238,18641,2,351.19737581000004,185.11,-110.17769622802734,1.0663423538208008,7.051981639862061,0.03,0.055477697402238846,370800
108,6308,18852,2,355.71975931000003,186.97,-105.8091812133789,0.1804581880569458,7.947590684890747,0.03,0.05943167209625244,375020
109,6374,19051,2,360.0598854400001,188.86,-106.66332244873047,-0.8980587720870972,10.385571312904357,0.03,0.06550109386444092,379000
110,6440,19246,2,364.40305221,190.74,-104.90489196777344,-0.6311284303665161,8.405025196075439,0.03,0.055962108075618744,382900
111,6508,19449,2,368.88658085000003,192.67,-108.091796875,-0.0007217526435852051,11.127400755882263,0.03,0.05279502645134926,386960
112,6575,19648,2,373.34033354,194.59,-109.10285186767578,-0.059380367398262024,13.587816953659058,0.03,0.05629497021436691,390940
113,6645,19858,2,377.92657827000005,196.63,-110.80110168457031,-0.5626387000083923,13.923411965370178,0.03,0.059382058680057526,395140
114,6715,20067,2,382.45349207000004,198.65,-111.45304870605469,-0.9451018571853638,9.758675217628479,0.03,0.055941298604011536,399320
115,6784,20273,2,386.94832453000004,200.63,-111.90918731689453,1.2708395719528198,8.39051833152771,0.03,0.06183518469333649,403440
116,6847,20465,2,391.34246642000005,202.46,-108.81749725341797,0.7443555593490601,8.90943489074707,0.03,0.058723632246255875,407280
117,6913,20665,2,395.81443952999996,204.35,-109.57827758789062,-0.18562012910842896,7.037121295928955,0.03,0.046487756073474884,411280
118,6981,20869,2,400.39536180000005,206.3,-109.50807189941406,-1.3259313106536865,8.090988278388977,0.03,0.06413841992616653,415360
119,7049,21074,2,404.8634798399999,208.25,-106.92122650146484,1.475050687789917,11.245287036895752,0.03,0.05804302170872688,419460
120,7113,21266,2,409.21588087,209.95,-109.35144805908203,1.3087475299835205,7.849477505683899,0.03,0.046041734516620636,423300
121,7179,21466,2,413.41713096,211.5,-108.65156555175781,-0.04205027222633362,10.321686291694641,0.03,0.06147699058055878,427300
122,7249,21674,2,418.16769142000004,212.67,-112.54286193847656,-0.06558680534362793,10.819540619850159,0.03,0.05280711129307747,431460
123,7316,21871,2,421.6686176299999,212.85,-108.92069244384766,-0.4654224216938019,14.757950043678283,0.03,0.05369149520993233,435400
124,7382,22068,2,425.43344125000004,213.47,-109.54354095458984,0.47342434525489807,12.005150485038758,0.03,0.0542159266769886,439340
125,7448,22267,2,425.36070346,211.66,-111.80142974853516,1.6221067905426025,10.455395317077636,0.03,0.05443711206316948,443320
126,7515,22468,2,426.80450274000003,211.98,-110.48133850097656,0.12103922665119171,8.525175714492798,0.03,0.06014195829629898,447340
127,7583,22670,2,427.92516624999996,212.08,-109.64227294921875,1.2826288938522339,13.290294337272645,0.03,0.0579863004386425,451380
128,7653,22884,2,428.86674309,211.92,-117.3531494140625,1.452216386795044,12.615931463241576,0.03,0.05806255713105202,455660
129,7721,23090,2,428.72313704,211.09,-117.55792999267578,-1.2561604976654053,10.218381571769715,0.03,0.0654037669301033,459780
130,7789,23294,2,429.0790672500001,210.26,-118.8485107421875,-0.5366883873939514,17.738425040245055,0.03,0.06850089877843857,463860
131,7858,23498,2,433.28269412000003,211.97,-114.57679748535156,-0.6193598508834839,10.943271780014038,0.03,0.06517984718084335,467940
132,7924,23691,2,434.28937208,211.7,-112.40361022949219,-0.045351043343544006,13.560035896301269,0.03,0.05831412971019745,471800
133,7992,23893,2,435.42648700000007,211.76,-109.60345458984375,0.3604044020175934,16.38616623878479,0.03,0.06212808936834335,475840
134,8063,24105,2,435.40915493,210.7,-110.31327056884766,0.10384084284305573,16.158938264846803,0.03,0.059430282562971115,480080
135,8129,24303,2,436.66065785000006,210.81,-106.65058898925781,1.0614275932312012,13.799237585067749,0.03,0.04863138869404793,484040
136,8195,24502,2,437.7908657900001,210.84,-112.46192932128906,-0.42592334747314453,9.543203949928284,0.03,0.0530426949262619,488020
137,8264,24712,2,439.07914497999997,210.95,-113.41926574707031,-0.6391736268997192,7.668434429168701,0.03,0.05053826794028282,492220
138,8331,24913,2,439.9564106,210.76,-116.93342590332031,0.2998744547367096,9.876822566986084,0.03,0.048883046954870224,496240
139,8396,25110,2,440.7385173200001,210.5,-115.52731323242188,2.6270599365234375,10.701643204689026,0.03,0.05272896960377693,500180
140,8463,25309,2,441.58352144,210.35,-118.5004653930664,0.24018311500549316,9.85165867805481,0.03,0.0583045519888401,504160
141,8531,25512,2,442.64024003,210.26,-123.0790023803711,1.0427147150039673,9.45370066165924,0.03,0.06005173549056053,508220
142,8596,25706,2,442.52986731000004,209.89,-108.49713134765625,0.8016144037246704,10.425323843955994,0.03,0.062459465116262436,512100
143,8662,25901,2,443.15276846999996,209.86,-109.41117858886719,0.919985294342041,17.36502742767334,0.03,0.06816018372774124,516000
144,8725,26093,2,442.8920763,209.28,-116.25942993164062,-0.06908085942268372,19.22545928955078,0.03,0.07373683154582977,519840
145,8792,26293,2,443.86079605,209.05,-108.46871948242188,0.0940239429473877,11.219151258468628,0.03,0.052776362746953964,523840
146,8858,26490,2,443.88230253,208.72,-109.88449096679688,2.003476142883301,6.953266739845276,0.03,0.05470599606633186,527780
147,8923,26684,2,443.84124379,208.35,-113.79931640625,0.5135343074798584,8.572079944610596,0.03,0.06078336760401726,531660
148,8987,26875,2,443.68183228000004,207.7,-113.71621704101562,0.3292517066001892,7.8116694688797,0.03,0.04626359045505524,535480
149,9053,27073,2,443.70061797,207.26,-115.64384460449219,-0.6352166533470154,9.65714464187622,0.03,0.06495379656553268,539440
150,9120,27273,2,444.58243280000005,207.26,-115.85870361328125,1.05021071434021,8.160236072540282,0.03,0.05417229235172272,543440
151,9185,27468,2,444.67893161,207.13,-114.38207244873047,-0.3374139964580536,10.310313177108764,0.03,0.05519435182213783,547340
152,9251,27662,2,444.98772514999996,207.02,-111.9537353515625,3.110746383666992,7.724247074127197,0.03,0.04414105787873268,551220
153,9313,27850,2,444.54989367999997,206.37,-115.7677001953125,0.19768095016479492,8.284101998806,0.03,0.05116168037056923,554980
154,9375,28035,2,444.06870003999995,205.63,-117.132568359375,-0.5768029689788818,6.165929555892944,0.03,0.045350439846515656,558680
155,9440,28226,2,444.04237390999987,205.35,-118.78633117675781,-0.05083419382572174,8.96852204799652,0.03,0.051848091185092926,562500
156,9505,28421,2,444.05255843,205.14,-120.0320816040039,0.48976433277130127,7.688686871528626,0.03,0.04595442861318588,566400
157,9568,28610,2,443.95366439000003,204.86,-116.55797576904297,2.152420997619629,6.73290650844574,0.03,0.05228426307439804,570180
158,9632,28799,2,443.6643796800001,204.47,-116.90841674804688,-0.032116055488586426,13.3474871635437,0.03,0.04546230286359787,573960
159,9699,28999,2,443.66821458,204.28,-117.28071594238281,1.030925989151001,9.33941490650177,0.03,0.04694368317723274,577960
160,9763,29186,2,443.56127267000005,204.03,-111.87838745117188,0.25673508644104004,10.76232032775879,0.03,0.05221240967512131,581700
161,9829,29384,2,443.5004671399999,203.84,-113.06380462646484,-0.8626444935798645,7.638260316848755,0.03,0.05541025474667549,585660
162,9894,29576,2,443.47070848999994,203.55,-115.48551940917969,1.7734719514846802,9.00178005695343,0.03,0.038927655667066574,589500
163,9957,29766,2,443.38840330999994,203.33,-114.07806396484375,-1.9529588222503662,9.00051519870758,0.03,0.054467637091875076,593300
164,10023,29961,2,443.35077643,203.15,-113.50274658203125,0.36935603618621826,6.756413674354553,0.03,0.045718759298324585,597200
165,10090,30164,2,443.46470839,203.1,-115.16307830810547,1.083394169807434,7.833373892307281,0.03,0.049034420400857925,601260
166,10152,30352,2,443.37067228,202.86,-111.17383575439453,-0.9249306917190552,8.465308547019958,0.03,0.051572006195783615,605020
167,10217,30545,2,443.13555097999995,202.62,-121.43147277832031,0.6156455874443054,6.712926030158997,0.03,0.04529363662004471,608880
168,10281,30739,2,443.01296659,202.43,-122.02354431152344,1.7376633882522583,9.168637824058532,0.03,0.05161946639418602,612760
169,10343,30922,2,442.59348049,202.02,-113.52302551269531,2.317167282104492,6.413251495361328,0.03,0.04115261510014534,616420
170,10409,31115,2,442.42977952000007,201.74,-116.59390258789062,2.053095817565918,6.567667663097382,0.03,0.044201601296663284,620280
171,10475,31310,2,442.3622044300001,201.54,-120.54974365234375,-1.7663986682891846,9.990273594856262,0.03,0.048619888722896576,624180
172,10538,31499,2,442.12906101,201.2,-116.04191589355469,-1.1393897533416748,10.138305354118348,0.03,0.0543292872607708,627960
173,10603,31691,2,441.95763465,200.93,-120.88029479980469,0.7946633100509644,14.75692265033722,0.03,0.053561147302389145,631800
174,10667,31884,2,441.7077348499999,200.63,-122.61610412597656,-0.014143504202365875,10.462273001670837,0.03,0.06110639125108719,635660
175,10730,32074,2,441.5167033,200.34,-116.7782974243164,-0.45911845564842224,17.75273036956787,0.03,0.04507763683795929,639460
176,10791,32255,2,441.40291953,200.02,-115.04615783691406,-1.0727174282073975,7.458667278289795,0.03,0.05577578395605087,643080
177,10851,32438,2,441.24969946,199.79,-117.630859375,0.12836256623268127,7.037165999412537,0.03,0.04411489516496658,646740
178,10914,32625,2,441.06194007,199.55,-115.2944107055664,-1.4677091836929321,16.23678903579712,0.03,0.0526607520878315,650480
179,10977,32812,2,440.7910027099999,199.24,-120.55335998535156,0.1151464581489563,10.336712431907653,0.03,0.05767609924077988,654220
180,11044,33012,2,440.88712394999993,199.28,-115.64479064941406,1.3607786893844604,8.100974750518798,0.03,0.0482637956738472,658220
181,11107,33198,2,440.6417595999999,199.0,-116.10075378417969,0.3737415075302124,9.227564525604247,0.03,0.047603484243154526,661940
