time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
89,18,-5.729947,18.0,1,0,,,,,,
153,33,-2.6096375,16.5,2,0,,,,,,
245,59,-0.31466866666666665,19.666666666666668,3,0,,,,,,
336,91,4.8564757499999995,22.75,4,0,,,,,,
43,103,2.9268967999999993,20.6,5,2,89.64285278320312,4094.0206558227537,1.4154777526855469,0.9704455733299255,0.03,40
12,124,4.024070166666666,20.666666666666668,6,9,41.895782470703125,424.19951782226565,-1.3709840774536133,1.412287950515747,0.03,460
10,134,2.7114597142857138,19.142857142857142,7,13,53.41571807861328,531.8997283935547,-1.82814359664917,1.6104203462600708,0.03,660
8,145,2.5527365000000004,18.125,8,16,64.38432312011719,697.9541900634765,-2.7059688568115234,1.8456906080245972,0.03,880
7,158,1.3683892222222225,17.555555555555557,9,21,73.00579071044922,1010.2630004882812,-3.5194339752197266,2.1888246536254883,0.03,1140
6,175,0.7145899000000003,17.5,10,27,44.89234924316406,196.39734802246093,6.811733245849609,2.77519154548645,0.03,1480
5,187,0.6314340909090913,17.0,11,31,22.872905731201172,90.3226360321045,5.5070061683654785,2.540062665939331,0.03,1720
5,194,0.32171416666666697,16.166666666666668,12,33,15.91916275024414,77.59642524719239,4.294597625732422,2.229738712310791,0.03,1860
5,202,0.06391669230769258,15.538461538461538,13,36,9.581955909729004,71.64737396240234,3.437009334564209,1.8839786052703857,0.03,2020
5,209,-0.13298957142857118,14.928571428571429,14,38,4.506550312042236,56.540910720825195,2.5935354232788086,1.6124520301818848,0.03,2160
5,216,-0.28739613333333314,14.4,15,40,1.7170872688293457,50.1217716217041,1.8272268772125244,1.374327540397644,0.03,2300
5,224,-0.5477643750000002,14.0,16,43,-1.2444782257080078,39.59540767669678,0.6927970051765442,1.1374975442886353,0.03,2460
5,231,-0.6673840588235296,13.588235294117647,17,45,-3.3704416751861572,28.459175014495848,-0.21443584561347961,0.9624486565589905,0.03,2600
4,239,-0.6982050555555558,13.277777777777779,18,48,-4.561032295227051,20.75531315803528,-1.4017720222473145,0.7906644344329834,0.03,2760
