time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
84,0,1,15,0.641086,15.0,,,,,,
145,0,2,29,2.152514,14.5,,,,,,
203,0,3,46,3.3341243333333335,15.333333333333334,,,,,,
288,0,4,77,2.31053425,19.25,,,,,,
336,0,5,98,1.9507682,19.6,,,,,,
18,6,6,114,2.4255898333333334,19.0,1.2331030368804932,-2.248429775238037,486.7084167480469,0.03,46.63817596435547,260
12,9,7,124,1.0068158571428572,17.714285714285715,1.5463268756866455,-4.297496318817139,763.8571746826171,0.03,71.70504760742188,460
10,11,8,131,0.2925932499999998,16.375,1.818142056465149,-5.813681602478027,1053.4275604248046,0.03,88.54306030273438,600
9,15,9,141,-0.25449166666666684,15.666666666666666,2.3032848834991455,-7.4908576011657715,1635.3373168945313,0.03,119.69285583496094,800
8,17,10,149,-0.5394605000000002,14.9,2.792587995529175,-10.598581314086914,2546.8259765625,0.03,147.97540283203125,960
7,20,11,157,-0.8028857272727276,14.272727272727273,3.409722089767456,-3.5479912757873535,2583.565887451172,0.03,138.68536376953125,1120
6,23,12,167,-0.6705625000000003,13.916666666666666,3.800977945327759,8.556849479675293,204.1590835571289,0.03,50.746864318847656,1320
6,26,13,174,-0.7799863846153848,13.384615384615385,3.6485395431518555,7.85008430480957,250.10339584350587,0.03,41.72771453857422,1460
6,28,14,182,-0.7729812142857145,13.0,3.3031766414642334,7.169035911560059,213.7109375,0.03,27.491348266601562,1620
6,31,15,189,-0.8327409333333337,12.6,2.9588568210601807,6.863799095153809,236.13533248901368,0.03,21.356224060058594,1760
5,34,16,198,-0.9242787499999999,12.375,2.525033473968506,5.664062023162842,169.37232475280763,0.03,10.116205215454102,1940
5,36,17,206,-0.9748017647058823,12.117647058823529,2.177152395248413,3.9954819679260254,142.24881820678712,0.03,2.69465970993042,2100
5,39,18,213,-1.059990611111111,11.833333333333334,1.9144679307937622,3.2999792098999023,133.0507469177246,0.03,-3.6610758304595947,2240
5,42,19,221,-1.0420150526315788,11.631578947368421,1.6586917638778687,2.886565923690796,93.23316764831543,0.03,-7.9903106689453125,2400
5,45,20,230,-1.0403286999999999,11.5,1.40011727809906,1.9613906145095825,70.91636085510254,0.03,-9.793309211730957,2580
4,49,21,242,-1.0344950476190475,11.523809523809524,1.1038556098937988,0.603966236114502,36.59311771392822,0.03,-10.926107406616211,2820
4,55,22,262,-0.7954822727272727,11.909090909090908,0.7144453525543213,-2.1593852043151855,16.023268127441405,0.03,-8.454959869384766,3220
3,92,23,366,6.877003782608695,15.91304347826087,0.10424139350652695,-2.130610227584839,2.551616394519806,0.03,-8.001760482788086,5300
3,160,24,556,19.54712316666667,23.166666666666668,0.08739306777715683,1.94270658493042,4.440279757976532,0.03,-26.02259635925293,9100
3,239,25,778,32.61691768,31.12,0.09879050403833389,1.378260850906372,10.609037232398986,0.03,-46.23682403564453,13540
3,297,26,940,43.022688884615384,36.15384615384615,0.10433993488550186,0.08081376552581787,21.71326322555542,0.03,-55.94731140136719,16780
3,388,27,1197,45.71117277777778,44.333333333333336,0.11002132296562195,-0.734169602394104,12.957391929626464,0.03,-57.40920639038086,21920
3,468,28,1423,48.14373614285715,50.82142857142857,0.15298478305339813,0.5444162487983704,23.768061065673827,0.03,-53.4227180480957,26440
3,544,29,1639,60.09882268965518,56.51724137931034,0.21572189033031464,-0.7505072355270386,35.01932029724121,0.03,-48.81244659423828,30760
2,609,30,1819,70.14619196666668,60.63333333333333,0.21308672428131104,-0.2020234763622284,29.618813514709473,0.03,-55.20967102050781,34360
2,689,31,2044,82.05329606451613,65.93548387096774,0.19458229839801788,-0.9226283431053162,44.17194538116455,0.03,-59.759559631347656,38860
2,765,32,2257,92.4460143125,70.53125,0.18815717101097107,-0.8976322412490845,40.372625732421874,0.03,-57.306907653808594,43120
2,832,33,2446,101.24425945454544,74.12121212121212,0.1800042986869812,-0.3276047110557556,28.63422155380249,0.03,-65.63103485107422,46900
2,936,34,2738,112.57263679411763,80.52941176470588,0.17720885574817657,-1.1996445655822754,32.22067461013794,0.03,-53.805023193359375,52740
2,1032,35,3009,123.30413528571428,85.97142857142858,0.14023041725158691,0.7075498104095459,30.33046531677246,0.03,-39.08195495605469,58160
2,1124,36,3271,133.11895419444443,90.86111111111111,0.1166236400604248,-1.224118947982788,28.97863988876343,0.03,-43.028079986572266,63400
2,1190,37,3459,140.17189024324324,93.48648648648648,0.12322214990854263,-0.3435215950012207,26.759928035736085,0.03,-44.72132873535156,67160
2,1273,38,3694,146.77351631578946,97.21052631578948,0.0925145372748375,-0.36842453479766846,18.09091773033142,0.03,-44.82538604736328,71860
2,1340,39,3883,153.6287376153846,99.56410256410257,0.09592431038618088,0.6702077388763428,19.92902774810791,0.03,-54.4281120300293,75640
2,1423,40,4116,161.504483575,102.9,0.09415198117494583,0.04710494726896286,32.84760665893555,0.03,-56.98777389526367,80300
2,1497,41,4324,168.33663853658535,105.46341463414635,0.11197012662887573,-0.5336431860923767,25.098795795440672,0.03,-61.169342041015625,84460
2,1562,42,4509,174.02149902380953,107.35714285714286,0.11121245473623276,1.0223283767700195,27.339750480651855,0.03,-63.085269927978516,88160
2,1630,43,4702,179.91027341860465,109.34883720930233,0.132419615983963,-0.7256702184677124,38.17716312408447,0.03,-64.9340591430664,92020
2,1693,44,4885,184.65522388636364,111.02272727272727,0.1047048419713974,0.3513098955154419,33.32893018722534,0.03,-67.12467193603516,95680
2,1759,45,5073,189.6318865111111,112.73333333333333,0.11711535602807999,1.0134034156799316,31.48007984161377,0.03,-72.21871948242188,99440
2,1818,46,5241,193.10820732608693,113.93478260869566,0.10583137720823288,1.1599899530410767,26.95893249511719,0.03,-73.97820281982422,102800
2,1877,47,5408,196.31591755319147,115.06382978723404,0.09904991835355759,-0.0783686712384224,34.54871120452881,0.03,-79.20657348632812,106140
2,1943,48,5598,200.68424375000004,116.625,0.08839311450719833,0.6802725791931152,20.470712184906006,0.03,-82.94073486328125,109940
2,2012,49,5793,205.0020060204082,118.22448979591837,0.09831441193819046,1.4240516424179077,23.76900186538696,0.03,-76.80563354492188,113840
