time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
1,10.0,10,269,0.228393,0,,,,,,
2,20.0,40,599,-1.925918,0,,,,,,
3,24.666666666666668,74,797,1.5053659999999998,0,,,,,,
4,25.75,103,35,3.19411275,2,3068.301187133789,0.9704455733299255,40,0.03,76.55393981933594,1.1985200643539429
5,22.6,113,7,1.7399822,15,502.78175659179686,1.2269614934921265,240,0.03,53.835044860839844,-2.3130528926849365
6,20.166666666666668,121,4,1.1167235,25,719.6944061279297,1.4806699752807617,400,0.03,63.3649787902832,-3.954792022705078
7,19.714285714285715,138,2,0.49555357142857137,47,1597.679022216797,2.2092502117156982,740,0.03,104.63057708740234,-9.218790054321289
8,18.0,144,2,-0.017931249999999954,54,2087.911480712891,2.564643621444702,860,0.03,136.76351928710938,-9.693065643310547
9,16.88888888888889,152,2,-0.4194831111111111,65,487.4250244140625,3.0914342403411865,1020,0.03,63.29281234741211,6.537219047546387
10,16.1,161,2,-0.34217519999999996,77,161.70783157348632,3.251896858215332,1200,0.03,35.871612548828125,7.221099853515625
11,15.454545454545455,170,1,-0.33734081818181816,88,166.1321174621582,3.0470774173736572,1380,0.03,21.990121841430664,5.7571001052856445
12,15.0,180,1,-0.33732158333333334,101,150.44833183288574,2.6830689907073975,1580,0.03,8.062338829040527,5.623432159423828
13,14.461538461538462,188,1,-0.4721908461538462,111,129.08787574768067,2.3714799880981445,1740,0.03,1.160391092300415,5.046195030212402
14,14.071428571428571,197,1,-0.6491593571428572,124,91.83598289489746,2.0389816761016846,1920,0.03,-6.063875198364258,4.032767295837402
15,14.133333333333333,212,1,-0.26931760000000005,143,58.50604019165039,1.5549907684326172,2220,0.03,-12.05780029296875,2.6551568508148193
16,17.25,276,1,0.3182904999999999,224,5.971533107757568,0.4151500463485718,3500,0.03,-12.966747283935547,-4.956661224365234
17,17.823529411764707,303,1,0.2926904117647058,261,4.752919292449951,0.2425491362810135,4040,0.03,-11.760622024536133,-7.717089653015137
18,22.61111111111111,407,1,-1.0308275555555557,394,3.27184476852417,0.08241910487413406,6120,0.03,-10.780402183532715,0.6075601577758789
19,25.894736842105264,492,0,-0.5513347368421054,506,3.6957011938095095,0.06539961695671082,7820,0.03,-5.87042236328125,0.29178565740585327
