time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss
0,18.0,80,6.176807,18,1,,,,,,
0,20.0,149,6.742907000000001,40,2,,,,,,
0,22.333333333333332,211,5.1416303333333335,67,3,,,,,,
0,21.0,243,3.786607,84,4,,,,,,
0,19.2,264,2.5570370000000002,96,5,,,,,,
7,19.166666666666668,16,3.4605859999999997,115,6,0.03,-0.9077685475349426,1.2376248836517334,280,32.679649353027344,312.80687484741213
10,18.142857142857142,11,1.7950397142857142,127,7,0.03,-1.729621410369873,1.4963291883468628,520,44.28089904785156,470.6091903686523
15,17.375,9,1.4537875000000002,139,8,0.03,-2.417187452316284,1.7673183679580688,760,57.09361267089844,671.7098663330078
21,17.555555555555557,7,1.372294888888889,158,9,0.03,-3.5887608528137207,2.325157403945923,1140,79.03846740722656,1179.9438110351562
25,16.9,6,1.1608073000000003,169,10,0.03,4.693667411804199,2.776235342025757,1360,55.30133819580078,702.597998046875
28,16.181818181818183,6,0.9082677272727276,178,11,0.03,6.077197074890137,2.7649383544921875,1540,21.25756072998047,80.96733093261719
31,15.416666666666666,5,0.6405027500000003,185,12,0.03,5.531764984130859,2.4897937774658203,1680,15.768369674682617,62.79074993133545
33,14.76923076923077,5,0.37630038461538484,192,13,0.03,4.490352153778076,2.1621601581573486,1820,10.459869384765625,69.687353515625
35,14.214285714285714,5,0.13695257142857167,199,14,0.03,3.6725120544433594,1.846856713294983,1960,3.1463141441345215,55.611323547363284
38,13.733333333333333,5,-0.017522466666666445,206,15,0.03,2.621755599975586,1.562188744544983,2100,-2.564370632171631,56.81242065429687
41,13.4375,5,-0.05004374999999994,215,16,0.03,1.2688379287719727,1.2495124340057373,2280,-5.465747833251953,45.016096115112305
44,13.176470588235293,5,-0.18900811764705877,224,17,0.03,-0.04135444760322571,0.9932728409767151,2460,-7.449995994567871,37.14951782226562
47,13.0,4,-0.20102572222222215,234,18,0.03,-1.6752521991729736,0.7632640600204468,2660,-8.455793380737305,19.150454330444337
55,13.578947368421053,4,-0.2628595263157894,258,19,0.03,-5.646182060241699,0.39446547627449036,3140,-8.190372467041016,5.087811779975891
75,15.85,4,1.61976145,317,20,0.03,-7.568642616271973,0.1030346155166626,4320,-7.318041801452637,1.7978799998760224
97,18.19047619047619,3,1.1725007142857142,382,21,0.03,1.9110373258590698,0.06287616491317749,5620,-6.415263652801514,1.6938167750835418
130,21.954545454545453,3,0.0298761818181818,483,22,0.03,-2.125494956970215,0.06736050546169281,7640,-4.9211931228637695,2.4888221263885497
218,32.21739130434783,3,16.270809260869566,741,23,0.03,0.8499445915222168,0.07586189359426498,12800,-16.63153076171875,1.592921006679535
270,37.291666666666664,3,27.211358083333337,895,24,0.03,0.8739176988601685,0.09998686611652374,15880,-30.19024658203125,3.5269819855690003
328,42.64,3,37.89723712000001,1066,25,0.03,0.5174211263656616,0.11061467230319977,19300,-43.576316833496094,4.821905493736267
373,46.03846153846154,3,46.00334892307693,1197,26,0.03,0.2652764618396759,0.11585158109664917,21920,-49.66636276245117,20.917360734939574
438,51.44444444444444,3,56.924872444444446,1389,27,0.03,-0.6275314688682556,0.14711523056030273,25760,-49.384071350097656,21.74873557090759
499,56.107142857142854,3,66.09889614285714,1571,28,0.03,-0.507656991481781,0.14751389622688293,29400,-47.54582977294922,15.111523389816284
549,59.310344827586206,3,73.322168,1720,29,0.03,-0.43478038907051086,0.13851065933704376,32380,-44.18878936767578,13.548338270187378
612,63.56666666666667,3,81.3131511,1907,30,0.03,0.5501185655593872,0.10602536052465439,36120,-40.54499053955078,18.686655855178834
663,66.38709677419355,3,87.55442006451614,2058,31,0.03,-0.9631404876708984,0.1359703689813614,39140,-40.944091796875,22.700938081741334
716,69.09375,3,93.60861346875001,2211,32,0.03,-0.8285168409347534,0.10940567404031754,42200,-35.073848724365234,12.635072135925293
767,71.63636363636364,3,99.47582987878789,2364,33,0.03,0.008255362510681152,0.0983838438987732,45260,-38.88508605957031,8.280849289894103
820,74.20588235294117,3,105.13464785294119,2523,34,0.03,-0.8002688884735107,0.08468936383724213,48440,-44.40562438964844,7.546886515617371
869,76.28571428571429,3,110.12218580000001,2670,35,0.03,1.6132230758666992,0.07667629420757294,51380,-52.47198486328125,6.519129776954651
921,78.36111111111111,3,114.81882011111114,2821,36,0.03,0.242019385099411,0.08715113997459412,54400,-54.74004364013672,8.265594100952148
973,80.35135135135135,3,119.17198378378382,2973,37,0.03,-0.6249297857284546,0.09759414941072464,57440,-58.80857849121094,9.545353007316589
1043,83.6842105263158,3,127.31999768421055,3180,38,0.03,-1.2371405363082886,0.2685314118862152,61580,-41.11069869995117,61.03545246124268
1111,86.76923076923077,3,132.04728074358977,3384,39,0.03,2.3166346549987793,0.1626662164926529,65660,-21.784626007080078,70.95940055847169
1155,87.975,3,131.51667955,3519,40,0.03,-0.3104957044124603,0.2320999950170517,68360,-3.093148946762085,102.53218727111816
1161,86.1951219512195,3,128.38239978048782,3534,41,0.03,-0.07299824804067612,0.18380708992481232,68660,-4.730585098266602,81.91302165985107
1165,84.47619047619048,3,125.3775807857143,3548,42,0.03,1.4132826328277588,0.16060669720172882,68940,-4.111607074737549,52.506516456604004
1170,82.86046511627907,3,122.51419953488373,3563,43,0.03,-1.4942147731781006,0.16214214265346527,69240,-5.028486728668213,49.934222030639646
1173,81.18181818181819,3,119.6921549318182,3572,44,0.03,0.07273910939693451,0.1437259018421173,69420,-6.499394416809082,37.265585327148436
1176,79.55555555555556,3,117.00862055555558,3580,45,0.03,-0.2283698320388794,0.1344439685344696,69580,-5.084315776824951,38.795163249969484
