time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/n_updates
1,13,-0.961263,75,0,13.0,,,,,,
2,31,0.415771,163,0,15.5,,,,,,
3,47,0.6352233333333334,228,0,15.666666666666666,,,,,,
4,61,0.2531305,278,0,15.25,,,,,,
5,72,0.23666859999999995,312,0,14.4,,,,,,
6,95,-0.29148850000000004,376,0,15.833333333333334,,,,,,
7,115,-1.1426375714285715,18,6,16.428571428571427,1.307726502418518,0.03,727.2273345947266,-3.9519829750061035,71.43333435058594,280
8,126,-2.448442,12,10,15.75,1.7366819381713867,0.03,1320.6120178222657,-8.710677146911621,107.86091613769531,500
9,139,-2.266026777777778,9,14,15.444444444444445,2.4359219074249268,0.03,2555.19677734375,-13.35336971282959,161.56246948242188,760
10,170,-2.4615676,6,25,17.0,3.0537309646606445,0.03,158.31293869018555,7.39702033996582,34.9507942199707,1380
11,181,-2.4869273636363634,6,29,16.454545454545453,2.680882453918457,0.03,150.80570030212402,4.980493545532227,19.521106719970703,1600
12,188,-2.7109508333333334,5,31,15.666666666666666,2.455564260482788,0.03,129.9724967956543,5.146170616149902,12.615178108215332,1740
13,196,-2.718255230769231,5,34,15.076923076923077,2.205876588821411,0.03,109.03777313232422,4.562207221984863,5.305159091949463,1900
14,204,-2.693977928571429,5,37,14.571428571428571,1.971474289894104,0.03,103.38837585449218,3.9470810890197754,0.8147501945495605,2060
15,214,-2.828685066666667,5,40,14.266666666666667,1.7052569389343262,0.03,91.23425483703613,3.081273317337036,-6.901195049285889,2260
16,222,-2.8324275625000004,5,43,13.875,1.514095664024353,0.03,66.62633819580078,2.500962972640991,-9.526315689086914,2420
17,232,-2.6501268823529416,4,46,13.647058823529411,1.2944064140319824,0.03,43.41317377090454,1.5311332941055298,-11.1439847946167,2620
18,246,-2.7573131666666675,4,51,13.666666666666666,1.0216550827026367,0.03,26.59726858139038,0.13699308037757874,-11.390475273132324,2900
19,266,-2.719431789473685,4,58,14.0,0.7041597962379456,0.03,10.06365246772766,-2.2959446907043457,-10.425226211547852,3300
20,287,-2.228560200000001,4,66,14.35,0.4650019109249115,0.03,6.271607899665833,-4.7568488121032715,-8.278610229492188,3720
21,338,-1.2980235238095246,4,83,16.095238095238095,0.17570890486240387,0.03,2.831050705909729,-8.111681938171387,-3.8390772342681885,4740
22,406,-1.509626727272728,3,106,18.454545454545453,0.07498401403427124,0.03,2.5835838496685026,-5.554844379425049,0.6598861813545227,6100
23,487,-3.382799521739131,3,133,21.17391304347826,0.04394710436463356,0.03,2.501206064224243,-2.9181087017059326,4.7266340255737305,7720
24,546,-3.720044250000001,3,153,22.75,0.04160308465361595,0.03,2.8084664344787598,3.9038047790527344,6.4372711181640625,8900
25,571,-3.683542920000001,3,161,22.84,0.04176313802599907,0.03,2.160576719045639,-6.084707260131836,6.115976333618164,9400
26,583,-3.5618883076923087,3,166,22.423076923076923,0.03932315111160278,0.03,1.8018126964569092,0.39120662212371826,5.6751885414123535,9640
27,591,-3.4796669629629635,3,168,21.88888888888889,0.03836456313729286,0.03,1.811531800031662,-0.08799737691879272,5.937632083892822,9800
28,598,-3.4655867142857146,3,171,21.357142857142858,0.03813167288899422,0.03,1.4919208884239197,-1.7241712808609009,5.8403544425964355,9940
29,606,-3.412107620689656,3,174,20.896551724137932,0.0378425158560276,0.03,1.2799634873867034,3.2099175453186035,5.241084098815918,10100
30,612,-3.4207171666666674,3,176,20.4,0.03784776106476784,0.03,1.0830312341451644,-1.44062340259552,5.177611827850342,10220
31,619,-3.4004108064516134,3,178,19.967741935483872,0.037362270057201385,0.03,1.1815731942653656,-3.765900135040283,5.224583148956299,10360
32,626,-3.40567853125,3,181,19.5625,0.03635179251432419,0.03,1.115372657775879,-2.295959949493408,5.11118221282959,10500
33,634,-3.3966526666666668,3,183,19.21212121212121,0.034901052713394165,0.03,1.0397353678941728,-2.853355646133423,5.277906894683838,10660
34,644,-3.313682617647059,3,187,18.941176470588236,0.0327431745827198,0.03,0.945689931511879,-3.6363282203674316,5.302926063537598,10860
35,654,-3.245465342857143,3,190,18.685714285714287,0.03075910359621048,0.03,0.8994257688522339,-3.5884923934936523,4.617713928222656,11060
36,665,-3.1549037500000003,3,194,18.47222222222222,0.028755400329828262,0.03,0.7742272198200226,-2.8874549865722656,4.93182373046875,11280
37,676,-3.099343297297297,3,197,18.27027027027027,0.027278656139969826,0.03,0.7684442937374115,-2.9781036376953125,4.824070453643799,11500
38,687,-3.012698394736842,3,201,18.07894736842105,0.02593059279024601,0.03,0.6843603163957596,-0.6460390090942383,4.404233932495117,11720
39,698,-2.900662641025641,3,205,17.897435897435898,0.025207553058862686,0.03,0.6817116409540176,-0.9045671224594116,4.535077095031738,11940
40,708,-2.82516515,3,208,17.7,0.024771761149168015,0.03,0.6314318269491196,0.4744051694869995,4.8473968505859375,12140
41,722,-2.676298585365854,3,213,17.609756097560975,0.02435625158250332,0.03,0.6166682511568069,-0.24532729387283325,4.526022434234619,12420
42,777,-2.412905642857143,3,232,18.5,0.02638225443661213,0.03,0.7276917368173599,6.593044281005859,3.71189022064209,13520
43,954,4.137218581395349,3,292,22.186046511627907,0.061860207468271255,0.03,1.5969370543956756,3.4269866943359375,-3.1716079711914062,17060
44,1174,7.2175157954545455,3,367,26.681818181818183,0.07196889817714691,0.03,4.91541440486908,1.9206455945968628,-8.570709228515625,21460
45,1329,13.25707877777778,3,420,29.533333333333335,0.09237079322338104,0.03,6.075985217094422,0.022678591310977936,-15.777894020080566,24560
