time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
1,20.0,20,4.453855,98,0,,,,,,
2,19.0,38,4.964859499999999,165,0,,,,,,
3,19.333333333333332,58,5.365914666666666,228,0,,,,,,
4,20.5,82,6.2463299999999995,294,0,,,,,,
5,19.6,98,5.056688199999999,334,0,,,,,,
6,22.666666666666668,136,4.812732333333333,22,5,0.003,0.901526927947998,700,-0.6904529333114624,-18.44068145751953,0.3772709593176842
7,37.714285714285715,264,0.5498289999999996,13,20,0.003,0.6275222301483154,3260,-2.434277057647705,-51.05525207519531,0.8398060649633408
8,53.125,425,5.258958,11,37,0.003,0.40582403540611267,6480,-4.553569793701172,-79.51353454589844,0.6295214295387268
9,63.333333333333336,570,33.231077666666664,10,54,0.003,0.28618717193603516,9380,-4.857518196105957,-98.02650451660156,0.40478322803974154
10,79.3,793,63.4058275,10,79,0.003,0.185647115111351,13840,-3.1590919494628906,-124.45889282226562,0.9532988160848618
11,78.45454545454545,863,60.620475636363636,9,86,0.003,0.16923220455646515,15240,-3.2888457775115967,-131.836181640625,1.1169537603855133
12,85.0,1020,78.65582075,9,104,0.003,0.1556732952594757,18380,-0.07887913286685944,-149.734619140625,0.9562278181314469
13,106.6923076923077,1387,108.3775496923077,9,143,0.003,0.17704828083515167,25720,0.8149082660675049,-198.46005249023438,1.5423270642757416
14,105.14285714285714,1472,99.96025235714285,9,152,0.003,0.1766599863767624,27420,-0.6118564009666443,-200.52987670898438,2.235682785511017
15,106.06666666666666,1591,108.46598913333332,9,165,0.003,0.17217083275318146,29800,1.50741446018219,-206.35882568359375,3.1473713636398317
16,113.5625,1817,122.3077875625,9,189,0.003,0.16257919371128082,34320,1.032961368560791,-217.7685089111328,3.376206910610199
17,115.6470588235294,1966,131.11954176470587,9,205,0.003,0.1648285984992981,37300,-0.07690459489822388,-227.66465759277344,23.89063662290573
18,117.33333333333333,2112,138.4074066111111,9,221,0.003,0.16542086005210876,40220,-0.03650403022766113,-234.08168029785156,8.291452580690384
19,126.84210526315789,2410,153.04235163157892,9,255,0.003,0.14477358758449554,46180,-1.099151372909546,-237.95387268066406,1.987187111377716
20,127.45,2549,158.03817799999996,9,270,0.003,0.14121362566947937,48960,-0.32736292481422424,-238.82861328125,1.541888165473938
21,129.8095238095238,2726,164.6894184285714,9,289,0.003,0.13310176134109497,52500,-1.3714191913604736,-241.28152465820312,1.7591621279716492
22,128.95454545454547,2837,167.17515795454543,9,301,0.003,0.12201739102602005,54720,-0.4412475824356079,-237.72964477539062,3.409856778383255
23,129.04347826086956,2968,170.65963743478258,9,315,0.003,0.11744216829538345,57340,-0.39614441990852356,-235.13136291503906,6.345693242549896
24,129.375,3105,174.42307141666666,9,330,0.003,0.11628056317567825,60080,-1.1401283740997314,-235.55081176757812,3.2293814420700073
25,130.84,3271,179.47663864000003,9,349,0.003,0.10573982447385788,63400,0.5511534214019775,-238.74609375,2.2786752343177796
26,131.96153846153845,3431,184.13447926923078,9,366,0.003,0.10133404284715652,66600,-0.006328802555799484,-237.540283203125,2.0795128107070924
27,132.59259259259258,3580,187.59822859259262,9,383,0.003,0.09234099835157394,69580,-0.7904461026191711,-240.25204467773438,2.072273474931717
28,133.96428571428572,3751,192.07876289285718,9,401,0.003,0.08469139784574509,73000,0.21728335320949554,-235.78152465820312,7.934044271707535
29,134.3793103448276,3897,194.58634451724143,9,416,0.003,0.08661368489265442,75920,0.8396037817001343,-237.04278564453125,17.026172411441802
30,136.36666666666667,4091,198.70530083333338,9,438,0.003,0.09678637981414795,79800,0.16556671261787415,-234.593017578125,3.5960599184036255
31,138.51612903225808,4294,203.68313790322586,9,460,0.003,0.09281489998102188,83860,-0.11380237340927124,-234.53204345703125,1.4880939811468124
32,139.59375,4467,207.87450240624997,9,480,0.003,0.08177776634693146,87320,2.316847085952759,-235.16622924804688,2.4350924849510194
33,139.96969696969697,4619,210.57807087878786,9,497,0.003,0.08379697054624557,90360,-1.7326831817626953,-237.2694091796875,8.901329416036607
34,139.91176470588235,4757,211.88879926470585,9,511,0.003,0.07453341037034988,93120,-0.1323782205581665,-234.12351989746094,5.04481270313263
35,139.88571428571427,4896,213.90168339999997,9,526,0.003,0.08924379199743271,95900,1.4165120124816895,-236.5279998779297,2.146442621946335
36,140.94444444444446,5074,217.21490074999997,9,546,0.003,0.10654798895120621,99460,0.06667451560497284,-241.6812286376953,17.798169946670534
37,142.48648648648648,5272,213.51375437837837,9,568,0.003,0.09713779389858246,103420,-0.9195379614830017,-235.93316650390625,2.1946531534194946
38,143.26315789473685,5444,216.39910781578945,9,588,0.003,0.09343710541725159,106860,1.090274453163147,-241.67288208007812,3.6507771015167236
39,144.2051282051282,5624,219.15553507692306,9,608,0.003,0.10795461386442184,110460,-0.010904721915721893,-246.49014282226562,2.903235638141632
40,145.1,5804,221.95672209999998,9,628,0.003,0.11214212328195572,114060,-0.8561946153640747,-246.64405822753906,2.7153452038764954
41,145.390243902439,5961,223.7407508536585,9,644,0.003,0.1144486516714096,117200,-0.3245403468608856,-246.60858154296875,3.718877947330475
42,146.4047619047619,6149,226.52408954761904,9,665,0.003,0.11121412366628647,120960,0.29252752661705017,-250.96047973632812,7.5727978348731995
43,147.67441860465115,6350,229.51584655813954,9,687,0.003,0.11505363881587982,124980,-0.4057684540748596,-250.68421936035156,3.0802487969398498
44,148.3409090909091,6527,231.50518722727273,9,706,0.003,0.11363819986581802,128520,-0.2347184270620346,-250.70001220703125,5.7780064105987545
45,148.42222222222222,6679,232.75729139999999,9,723,0.003,0.11706036329269409,131560,-0.5253301858901978,-252.06826782226562,4.582394695281982
46,148.54347826086956,6833,233.98452760869563,9,740,0.003,0.12422871589660645,134640,0.21777087450027466,-250.45846557617188,3.3187798142433165
47,148.31914893617022,6971,234.78501910638295,9,755,0.003,0.11792463064193726,137400,0.8827868103981018,-249.07110595703125,3.4761342763900758
48,148.75,7140,236.5164013333333,9,773,0.003,0.10423605144023895,140780,-0.20194756984710693,-250.6592254638672,3.635471773147583
49,149.83673469387756,7342,238.79615859183673,9,794,0.003,0.09103349596261978,144820,-1.6979660987854004,-248.721923828125,3.8483299136161806
50,149.56,7478,239.1335324,9,809,0.003,0.07643452286720276,147540,0.2704527974128723,-247.02182006835938,3.468232995271683
51,149.07843137254903,7603,239.5090123137255,9,822,0.003,0.07001403719186783,150040,1.7836942672729492,-244.3032684326172,5.746925836801529
52,150.6153846153846,7832,241.95223467307693,9,846,0.003,0.0661100372672081,154620,-0.27091896533966064,-242.31060791015625,6.668958407640457
53,150.8490566037736,7995,243.11989741509436,9,864,0.003,0.061205290257930756,157880,1.0705395936965942,-237.2825927734375,5.851626259088516
54,151.1851851851852,8164,244.65426246296298,9,882,0.003,0.05807160958647728,161260,0.16222158074378967,-236.15835571289062,4.002651691436768
55,151.47272727272727,8331,246.15380505454547,9,900,0.003,0.05850524827837944,164600,0.16235992312431335,-233.64773559570312,1.5548942267894745
56,151.10714285714286,8462,246.82260289285713,9,914,0.003,0.06345629692077637,167220,1.848442792892456,-234.86572265625,2.2048385620117186
57,151.5438596491228,8638,248.67511798245613,9,933,0.003,0.05708387494087219,170740,-1.101348638534546,-238.1778564453125,3.5764647722244263
58,151.93103448275863,8812,250.09954065517243,9,952,0.003,0.05660778284072876,174220,0.5062918663024902,-240.44903564453125,1.3689556002616883
59,153.3050847457627,9045,252.8673105084746,9,977,0.003,0.06870558112859726,178880,0.5850608348846436,-241.0896759033203,2.877430111169815
60,153.16666666666666,9190,253.62071965,9,992,0.003,0.06866098940372467,181780,0.6580743789672852,-241.6450653076172,2.748136669397354
61,152.88524590163934,9326,253.89641873770492,9,1007,0.003,0.07258942723274231,184500,-0.04132750630378723,-243.27354431152344,2.7705127239227294
62,152.82258064516128,9475,254.63477527419357,9,1022,0.003,0.07988577336072922,187480,-0.6117644309997559,-246.88238525390625,3.4303118348121644
63,153.14285714285714,9648,255.77443093650794,9,1041,0.003,0.08832325786352158,190940,0.6371177434921265,-248.73031616210938,5.866900241374969
64,153.671875,9835,257.077937046875,9,1060,0.003,0.08640339225530624,194680,-0.8194196224212646,-252.52496337890625,2.7882660031318665
65,153.95384615384614,10007,257.6213174923077,9,1079,0.003,0.08015815168619156,198120,0.6131414175033569,-249.77261352539062,2.403990536928177
66,153.6969696969697,10144,257.5983412272727,9,1093,0.003,0.07490193098783493,200860,-0.8033086061477661,-248.1915283203125,2.359361696243286
67,153.32835820895522,10273,257.4254061044776,9,1107,0.003,0.05776170641183853,203440,-1.9170089960098267,-246.580810546875,3.1899670362472534
68,152.69117647058823,10383,256.7965273088235,9,1119,0.003,0.05766022950410843,205640,1.3926544189453125,-246.39324951171875,4.2708141028881075
69,153.0,10557,258.22486391304346,9,1137,0.003,0.06173969432711601,209120,-0.793375551700592,-243.366943359375,9.434898960590363
70,152.94285714285715,10706,259.2592311428571,9,1153,0.003,0.06003144755959511,212100,0.3343634605407715,-241.27825927734375,11.054701936244964
71,153.09859154929578,10870,260.29359607042255,9,1170,0.003,0.06944476068019867,215380,0.013764053583145142,-236.15505981445312,7.1789592742919925
72,152.55555555555554,10984,259.9023562916666,9,1182,0.003,0.07941197603940964,217660,-1.7993675470352173,-238.995849609375,5.24893434047699
73,151.84931506849315,11085,259.28902461643827,9,1193,0.003,0.08448178321123123,219680,-0.6009891629219055,-232.0013885498047,6.2030651569366455
74,152.82432432432432,11309,261.83958041891884,9,1216,0.003,0.1044529378414154,224160,-0.8223821520805359,-233.8080291748047,9.759912896156312
75,153.88,11541,264.67764786666663,9,1241,0.003,0.08419860899448395,228800,-0.8322311043739319,-235.19757080078125,3.1534285128116606
76,154.23684210526315,11722,265.92819976315786,9,1261,0.003,0.06303472071886063,232420,-1.1498929262161255,-230.52960205078125,4.204425185918808
77,154.7012987012987,11912,267.5707297142857,9,1281,0.003,0.05716334655880928,236220,0.8346348404884338,-230.4312744140625,5.161649256944656
78,154.87179487179486,12080,268.64576097435895,9,1299,0.003,0.05276006832718849,239580,2.8931236267089844,-228.19906616210938,3.4572238087654115
79,155.16455696202533,12258,270.2627352151899,9,1318,0.003,0.0542403869330883,243140,0.12780199944972992,-230.61404418945312,2.5025339245796205
80,155.5625,12445,271.7857553375,9,1338,0.003,0.05896848440170288,246880,1.1972426176071167,-231.76669311523438,4.713285821676254
81,155.45679012345678,12592,272.25075387654323,9,1354,0.003,0.060023292899131775,249820,-0.9093210697174072,-234.3621063232422,2.5775690913200378
82,155.41463414634146,12744,272.96614279268294,9,1370,0.003,0.05628545582294464,252860,-0.9162347316741943,-235.67689514160156,5.226770740747452
83,155.24096385542168,12885,273.03949601204823,9,1385,0.003,0.06648293882608414,255680,1.737565040588379,-238.40664672851562,2.865574651956558
84,154.67857142857142,12993,272.4318303333333,9,1397,0.003,0.06161091476678848,257840,0.38332316279411316,-239.91049194335938,4.337280440330505
