time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/actor_loss
1,-2.137802,12,312,12.0,0,,,,,,
2,-3.1460615,29,598,14.5,0,,,,,,
3,-4.47799,45,780,15.0,0,,,,,,
4,-3.9645645000000003,55,864,13.75,0,,,,,,
5,-3.4709084000000003,64,927,12.8,0,,,,,,
6,-2.3663575000000003,78,1012,13.0,0,,,,,,
7,-2.8447782857142863,101,695,14.428571428571429,0,,,,,,
8,-2.741616,122,15,15.25,8,420,1330.095684814453,-9.346697807312012,1.600875973701477,0.03,117.59935760498047
9,-2.927675,129,12,14.333333333333334,10,560,2072.3202880859376,-14.162513732910156,1.9495892524719238,0.03,158.09039306640625
10,-3.1016633,137,10,13.7,13,720,3552.4982299804688,-19.519542694091797,2.4488933086395264,0.03,195.4175567626953
11,-3.065282272727273,146,8,13.272727272727273,16,900,6180.773706054688,-23.505523681640625,3.1728382110595703,0.03,280.051513671875
12,-3.129186166666667,154,7,12.833333333333334,19,1060,9569.634326171876,-27.33447265625,4.00438928604126,0.03,352.90435791015625
13,-3.361904846153846,160,7,12.307692307692308,22,1180,12318.944287109374,-32.01282501220703,4.77913236618042,0.03,423.3271789550781
14,-3.1159095,170,6,12.142857142857142,25,1380,2898.8799438476562,10.167848587036133,6.304018497467041,0.03,191.6229248046875
15,-3.1785327999999997,176,6,11.733333333333333,28,1500,1731.9878173828124,11.457998275756836,6.802191257476807,0.03,147.533203125
16,-3.1784161875,184,5,11.5,31,1660,1263.7658081054688,10.870512008666992,6.903404712677002,0.03,108.61503601074219
17,-3.0057091176470587,193,5,11.352941176470589,34,1840,945.0066223144531,10.024368286132812,6.614020347595215,0.03,71.13573455810547
18,-2.8621957222222223,201,5,11.166666666666666,37,2000,783.2595733642578,9.8259916305542,6.2190117835998535,0.03,14.497007369995117
19,-2.912065894736842,209,5,11.0,40,2160,709.6271606445313,9.52821159362793,5.786966323852539,0.03,-0.3019305467605591
20,-2.9309030999999997,217,5,10.85,43,2320,756.6943084716797,9.851832389831543,5.342835903167725,0.03,-25.464210510253906
21,-2.8668479047619044,225,4,10.714285714285714,46,2480,648.8924545288086,9.728395462036133,4.895097255706787,0.03,-33.97591018676758
22,-2.5532874545454542,245,4,11.136363636363637,53,2880,247.81936645507812,8.887788772583008,3.831871747970581,0.03,-46.970882415771484
23,-1.9267877391304347,290,4,12.608695652173912,70,3780,86.87029762268067,4.381941318511963,2.016329526901245,0.03,-39.839019775390625
24,-1.759361666666667,313,3,13.041666666666666,78,4240,60.97711868286133,2.1310787200927734,1.4472519159317017,0.03,-33.7632942199707
25,-1.7340789600000002,344,3,13.76,90,4860,44.63585510253906,-0.34593743085861206,0.9381069540977478,0.03,-26.737913131713867
26,-1.8339202692307692,393,3,15.115384615384615,108,5840,21.428514862060545,-3.011486053466797,0.4878067374229431,0.03,-15.19931411743164
27,-2.031120703703704,450,3,16.666666666666668,129,6980,14.28839168548584,-3.7642526626586914,0.26513034105300903,0.03,-7.66642427444458
28,-2.407706214285714,491,3,17.535714285714285,145,7800,15.461225223541259,-4.233891487121582,0.18569724261760712,0.03,-1.9348729848861694
29,-2.702570586206897,522,3,18.0,156,8420,9.492245936393738,-2.0854978561401367,0.14523401856422424,0.03,1.0549023151397705
30,-3.0049178000000003,550,3,18.333333333333332,166,8980,7.330368757247925,-4.453425407409668,0.1238815113902092,0.03,3.9918363094329834
31,-3.1942435161290326,574,3,18.516129032258064,175,9460,5.306508564949036,-4.28310489654541,0.10353702306747437,0.03,4.6212921142578125
32,-3.36451978125,592,3,18.5,182,9820,3.6868946075439455,-3.764650583267212,0.09147504717111588,0.03,6.31138277053833
33,-3.498297242424242,609,3,18.454545454545453,188,10160,2.602140986919403,-6.128110885620117,0.08118817955255508,0.03,5.589430809020996
34,-3.564024176470588,621,3,18.264705882352942,193,10400,2.276052939891815,-2.0641069412231445,0.07329856604337692,0.03,6.67270565032959
35,-3.579089371428571,628,3,17.942857142857143,195,10540,1.7688097774982452,-7.139301300048828,0.06974448263645172,0.03,6.231562614440918
36,-3.5601726666666664,635,3,17.63888888888889,198,10680,1.466109675168991,-7.210643768310547,0.0658188909292221,0.03,5.800307273864746
37,-3.527234432432432,643,3,17.37837837837838,201,10840,1.1985386490821839,-7.3342084884643555,0.06081872060894966,0.03,5.485780239105225
38,-3.533103210526315,650,3,17.105263157894736,203,10980,1.0152925550937653,-8.934558868408203,0.05652688071131706,0.03,5.343265056610107
39,-3.5131589743589737,657,3,16.846153846153847,206,11120,0.9066597163677216,-9.065286636352539,0.05224040523171425,0.03,5.530543804168701
40,-3.508046525,664,3,16.6,208,11260,0.8401200145483017,-8.367456436157227,0.04816904664039612,0.03,5.328237533569336
41,-3.498590804878049,671,3,16.365853658536587,211,11400,0.8027751296758652,-8.326396942138672,0.0445091612637043,0.03,5.093396186828613
42,-3.5298920714285718,677,3,16.11904761904762,213,11520,0.7715730875730514,-9.160664558410645,0.041605427861213684,0.03,4.81242036819458
43,-3.517216441860465,684,3,15.906976744186046,216,11660,0.7216594219207764,-7.141995429992676,0.038522735238075256,0.03,5.2114105224609375
44,-3.4915872272727273,691,3,15.704545454545455,219,11800,0.7206032603979111,-7.134396553039551,0.035884030163288116,0.03,4.78955078125
45,-3.4890844666666667,698,3,15.511111111111111,221,11940,0.6203932374715805,-5.94390344619751,0.03364501893520355,0.03,4.573897838592529
46,-3.4658180652173916,706,3,15.347826086956522,224,12100,0.6165586799383164,-4.070651531219482,0.031515009701251984,0.03,4.661233425140381
47,-3.475746978723405,713,3,15.170212765957446,227,12240,0.5866175696253777,-3.1426401138305664,0.030010143294930458,0.03,4.644340515136719
48,-3.478913125,719,3,14.979166666666666,229,12360,0.5686853989958763,-5.290107727050781,0.028922833502292633,0.03,4.794149875640869
49,-3.4900737959183674,726,3,14.816326530612244,232,12500,0.5918410509824753,-6.010512351989746,0.02761213481426239,0.03,4.672070503234863
50,-3.4899806,733,3,14.66,234,12640,0.5555540338158608,-5.641873359680176,0.026293352246284485,0.03,4.720034122467041
51,-3.45053437254902,741,3,14.529411764705882,237,12800,0.5123143911361694,-3.8982810974121094,0.025007611140608788,0.03,4.3331499099731445
52,-3.4570099230769236,749,3,14.403846153846153,240,12960,0.49704102128744126,-5.2161030769348145,0.023874392732977867,0.03,4.554653644561768
53,-3.458008849056604,756,3,14.264150943396226,243,13100,0.4908552646636963,-6.53149938583374,0.02282695844769478,0.03,4.25959587097168
54,-3.4670287962962965,763,3,14.12962962962963,245,13240,0.4648471474647522,-6.40233039855957,0.02176608331501484,0.03,4.3471174240112305
55,-3.459374272727273,770,3,14.0,248,13380,0.47251499742269515,-4.798831939697266,0.020733298733830452,0.03,4.310848236083984
56,-3.3595731785714285,783,3,13.982142857142858,253,13640,0.4818575710058212,-7.857731342315674,0.019003698602318764,0.03,4.584487438201904
57,-3.3665650526315787,790,3,13.859649122807017,255,13780,0.44084879457950593,-4.690003395080566,0.01811983995139599,0.03,4.452824592590332
58,-3.363207879310345,797,3,13.741379310344827,258,13920,0.44634883999824526,-4.707948207855225,0.01733792945742607,0.03,4.576737403869629
59,-3.3294240677966105,805,3,13.64406779661017,261,14080,0.4192041873931885,-4.9158782958984375,0.016626453027129173,0.03,4.435207366943359
60,-3.3131493833333336,813,3,13.55,264,14240,0.4136630088090897,-2.507935047149658,0.015933897346258163,0.03,4.337518692016602
61,-3.2955939016393447,821,3,13.459016393442623,267,14400,0.4196984156966209,-4.349197864532471,0.015306500717997551,0.03,4.093555927276611
62,-3.2583262096774197,829,3,13.370967741935484,270,14560,0.40144957005977633,-4.190891742706299,0.014788607135415077,0.03,4.322572708129883
63,0.42220892063492027,952,3,15.11111111111111,315,17020,2.066368442773819,2.2228784561157227,0.07125140726566315,0.03,-0.9076782464981079
64,0.350861390625,1056,2,16.5,353,19100,3.919315779209137,1.1113018989562988,0.1072494238615036,0.03,-3.753452777862549
65,1.7975019076923078,1226,2,18.861538461538462,417,22500,4.351881158351898,-0.9028117656707764,0.10324722528457642,0.03,-5.655520915985107
66,3.5297466666666666,1396,2,21.151515151515152,479,25900,4.942716586589813,-0.5292924642562866,0.08674851804971695,0.03,-4.37183952331543
67,7.293707074626865,1698,2,25.34328358208955,591,31940,6.748978114128112,0.010529756546020508,0.09558476507663727,0.03,-7.038961887359619
68,10.133379911764704,1934,2,28.441176470588236,677,36660,42.570103549957274,6.1132073402404785,0.13933034241199493,0.03,-6.231398582458496
69,14.122731521739128,2097,2,30.391304347826086,737,39920,11.318424201011657,0.9108591675758362,0.054270293563604355,0.03,-5.098386287689209
70,13.902837842857142,2105,2,30.071428571428573,740,40080,56.50230703353882,0.6288652420043945,0.05444486439228058,0.03,-5.847609519958496
71,13.684757112676056,2113,2,29.760563380281692,743,40240,30.296578550338744,1.8508790731430054,0.05481693521142006,0.03,-7.393198490142822
72,13.48366440277778,2121,2,29.458333333333332,746,40400,22.94412136077881,1.1052799224853516,0.0557141937315464,0.03,-7.7632575035095215
73,13.277764315068495,2129,2,29.164383561643834,748,40560,24.005477237701417,2.7852723598480225,0.056281160563230515,0.03,-4.793615818023682
74,13.071663391891894,2136,2,28.864864864864863,751,40700,24.77427473068237,0.1408252716064453,0.058442696928977966,0.03,-7.112703323364258
75,12.866987840000002,2143,2,28.573333333333334,753,40840,18.91257300376892,1.818306565284729,0.05968762934207916,0.03,-6.1028876304626465
76,12.665154223684212,2150,2,28.289473684210527,756,40980,15.627631378173827,1.2433617115020752,0.06122785434126854,0.03,-13.627832412719727
77,12.495867545454548,2159,2,28.038961038961038,759,41160,18.386627101898192,1.3482575416564941,0.06271675229072571,0.03,-5.3947224617004395
78,12.29498498717949,2165,2,27.756410256410255,761,41280,21.899231290817262,1.1033039093017578,0.06425175070762634,0.03,-7.786741256713867
79,12.105502531645573,2173,2,27.50632911392405,764,41440,13.104525327682495,0.28557735681533813,0.06551837921142578,0.03,-4.795087814331055
80,11.956055775,2182,2,27.275,768,41620,12.63205907344818,0.8133324384689331,0.06790052354335785,0.03,-6.185740947723389
81,11.795216666666667,2190,2,27.037037037037038,770,41780,11.416929626464844,-0.5542017221450806,0.06860081851482391,0.03,-6.3962836265563965
82,11.622818890243902,2197,2,26.79268292682927,773,41920,12.80820391178131,-1.1227082014083862,0.06808512657880783,0.03,-5.891164779663086
83,11.492495325301205,2207,2,26.59036144578313,777,42120,10.321047496795654,-1.0382277965545654,0.06565690040588379,0.03,-8.664583206176758
84,11.35005155952381,2215,2,26.36904761904762,780,42280,14.670751476287842,1.6081581115722656,0.06421241164207458,0.03,-7.499266624450684
85,11.215403858823528,2224,2,26.16470588235294,783,42460,13.176350092887878,-1.8178906440734863,0.06315355002880096,0.03,-11.19591999053955
86,11.099062046511627,2234,2,25.976744186046513,787,42660,17.78004741668701,0.8101602792739868,0.0608699731528759,0.03,-8.240873336791992
87,10.997740114942529,2246,2,25.816091954022987,791,42900,12.22904052734375,-0.5297725200653076,0.05958055332303047,0.03,-6.535482406616211
88,10.910434136363637,2258,2,25.65909090909091,795,43140,10.872986340522766,1.8988609313964844,0.05799691751599312,0.03,-11.828939437866211
89,10.816932179775282,2270,2,25.50561797752809,800,43380,13.857048058509827,0.8641707301139832,0.05919031798839569,0.03,-10.99465560913086
90,10.72894257777778,2282,2,25.355555555555554,804,43620,15.853943252563477,-0.7429548501968384,0.061638034880161285,0.03,-3.4894232749938965
91,10.595975043956045,2290,2,25.164835164835164,807,43780,18.632854795455934,-0.05291038751602173,0.062283772975206375,0.03,-3.795365810394287
92,10.51855814130435,2303,2,25.032608695652176,812,44040,10.488926696777344,-0.20502132177352905,0.06205790117383003,0.03,-6.616964340209961
93,10.44903082795699,2316,2,24.903225806451612,817,44300,7.425523638725281,0.385669469833374,0.06031036004424095,0.03,-6.617402076721191
94,10.40336135106383,2331,2,24.79787234042553,822,44600,10.880249094963073,-0.3276407718658447,0.058770567178726196,0.03,-9.337100982666016
95,10.329461094736844,2344,2,24.673684210526314,827,44860,11.883999109268188,-1.496143102645874,0.057936426252126694,0.03,-6.985108375549316
96,10.280304135416667,2358,2,24.5625,832,45140,14.53343563079834,2.7050397396087646,0.056577518582344055,0.03,-5.179286956787109
