time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/learning_rate
367,32,1,7.719528,0,32.0,,,,,,
482,45,2,3.9647680000000003,0,22.5,,,,,,
581,57,3,2.419073666666667,0,19.0,,,,,,
784,85,4,6.6968137500000005,0,21.25,,,,,,
5,179,5,1.5419174000000004,31,35.8,-11.19796018600464,0.1029131818562746,1.165704470872879,0.06866258271038532,1560,0.003
3,439,6,47.01332983333333,139,73.16666666666667,-70.55345039367675,0.24555868208408355,0.16735226698219777,0.5331055492162704,6760,0.003
2,605,7,38.58234114285714,206,86.42857142857143,-91.27902946472167,0.3080630272626877,-0.04293722249567509,1.0076929032802582,10080,0.003
2,850,8,85.2095155,303,106.25,-143.4962516784668,0.4058969601988792,-0.018674359284341337,2.547718274593353,14980,0.003
2,1046,9,82.42766944444445,384,116.22222222222223,-170.13372344970702,0.42061727195978166,-0.09627129323780537,2.1188296854496,18900,0.003
2,1103,10,72.8378855,408,110.3,-173.31450958251952,0.41090427041053773,0.007415601797401905,4.263446259498596,20040,0.003
2,1393,11,73.73860590909091,528,126.63636363636364,-211.439054107666,0.5861920684576034,-0.018965854682028292,10.151841974258422,25840,0.003
2,1417,12,68.45006108333332,537,118.08333333333333,-217.05152969360353,0.5790728747844696,-0.030058353580534457,10.669958305358886,26320,0.003
2,1674,13,85.16075638461538,637,128.76923076923077,-315.4832168579102,1.0202945828437806,-0.0005662981406203471,28.919399547576905,31460,0.003
2,1703,14,79.60355542857143,649,121.64285714285714,-326.12960662841795,1.1591041743755341,-0.0033400070387870073,23.368706226348877,32040,0.003
2,1736,15,74.06538213333333,662,115.73333333333333,-339.3081939697266,1.1674194812774659,-0.010686552664265037,36.05038070678711,32700,0.003
2,1761,16,69.954284875,672,110.0625,-350.8932174682617,1.2934636235237122,0.02276127561926842,43.705213737487796,33200,0.003
2,1884,17,65.76644858823529,724,110.82352941176471,-400.8476104736328,1.6774366199970245,0.023947514966130255,59.8477201461792,35660,0.003
2,2032,18,76.94270277777778,782,112.88888888888889,-507.68316345214845,1.9978724777698518,0.03129758592694998,88.91227111816406,38620,0.003
2,2128,19,73.40106889473685,820,112.0,-595.1098510742188,2.8021271228790283,-0.046759411320090295,239.905322265625,40540,0.003
2,2140,20,69.88734725,825,107.0,-610.2998474121093,2.9549233675003053,-0.04267703015357256,288.9664909362793,40780,0.003
2,2439,21,72.5212220952381,942,116.14285714285714,-1639.9527893066406,9.255914163589477,0.2962872363626957,2218.33544921875,46760,0.003
