time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
186,49,24.949885,0,49.0,1,,,,,,
238,67,11.217195499999999,0,33.5,2,,,,,,
289,87,9.661176,0,29.0,3,,,,,,
16,126,12.480674,7,31.5,4,-40.45049839019775,0.0027453872258774935,0.03,0.22741218134760857,500,-0.38512748330831525
11,151,9.1000022,13,30.2,5,17.20104455947876,8.464719576295465e-06,0.03,0.2689986236393452,1000,-0.6059585481882095
8,198,5.899958833333334,23,33.0,6,2.3134175419807432,0.053406461514532565,0.03,0.27342223301529883,1940,-2.5975664496421813
7,244,4.493965285714286,33,34.857142857142854,7,0.12078110910952092,0.19123802781105043,0.03,1.0695200711488724,2860,-8.54512553215027
6,291,4.343760249999999,44,36.375,8,0.06502050030976533,0.279127824306488,0.03,2.816176414489746,3800,-16.87461647987366
6,315,4.858881666666665,50,35.0,9,-0.13785579949617385,0.31283175349235537,0.03,3.0378921747207643,4280,-22.35064277648926
6,341,4.3943297999999995,54,34.1,10,0.03069118447601795,0.3268437385559082,0.03,2.8657374382019043,4800,-26.94107780456543
6,409,4.015086363636363,67,37.18181818181818,11,-0.012045544758439063,0.41730569303035736,0.03,4.356278860569001,6160,-36.82841777801514
5,429,3.0551679999999988,71,35.75,12,0.14986652843654155,0.37488832622766494,0.03,4.762910199165344,6560,-37.5217004776001
5,467,2.043059076923076,80,35.92307692307692,13,-0.0411699628457427,0.397622874379158,0.03,5.406970953941345,7320,-41.39088306427002
5,504,2.335445214285713,89,36.0,14,-0.05682938322424889,0.4005501136183739,0.03,6.395820927619934,8060,-47.69441318511963
5,574,4.280011466666665,105,38.266666666666666,15,0.1746815524995327,0.3129959315061569,0.03,4.838348150253296,9460,-46.966398048400876
5,654,1.2887857500000002,121,40.875,16,-0.3379240246489644,0.2735359475016594,0.03,4.2954987525939945,11060,-49.801838874816895
5,733,4.035443411764707,135,43.11764705882353,17,-0.34696850683540104,0.29551236778497697,0.03,7.925225257873535,12640,-53.586426162719725
5,756,3.654304722222223,139,42.0,18,-0.32614323468878864,0.3711086645722389,0.03,8.165758728981018,13100,-59.593895721435544
5,853,5.21951205263158,152,44.89473684210526,19,0.1825488619506359,0.33260900527238846,0.03,9.36125316619873,15040,-73.63423347473145
5,953,5.083875750000002,167,47.65,20,0.04077803753316402,0.46355062574148176,0.03,12.213360404968261,17040,-81.65566329956054
5,1013,4.441791857142858,175,48.23809523809524,21,0.09264152962714434,0.4915932476520538,0.03,18.72989864349365,18240,-87.42394905090332
5,1076,4.131721363636365,184,48.90909090909091,22,-0.22763558365404607,0.5394180864095688,0.03,18.258019495010377,19500,-93.31353569030762
5,1144,3.3414820434782624,193,49.73913043478261,23,0.34900571405887604,0.5392740353941917,0.03,27.031564712524414,20860,-101.48826065063477
5,1219,2.422511083333333,204,50.791666666666664,24,0.004985494073480368,0.6992784768342972,0.03,82.50503597259521,22360,-129.35905227661132
5,1253,2.3490658399999997,211,50.12,25,-0.03704303307458758,0.7593428939580917,0.03,87.31612663269043,23040,-142.11699371337892
5,1296,2.542387615384615,220,49.84615384615385,26,0.040709355380386114,0.7538350433111191,0.03,118.30270004272461,23900,-165.72524642944336
5,1336,2.9142858888888887,229,49.48148148148148,27,-0.04323645611293614,0.8226288467645645,0.03,147.92658081054688,24700,-183.20634078979492
5,1372,2.383875964285714,237,49.0,28,0.06421006363816559,0.8311600416898728,0.03,141.5349319458008,25420,-191.9079788208008
5,1500,9.997551517241378,254,51.724137931034484,29,0.009499765234068036,1.064088261127472,0.03,290.8870109558105,27980,-240.92558212280272
