time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef
65,13.0,2.549498,0,13,1,,,,,,
132,15.0,3.4534745,0,30,2,,,,,,
185,15.333333333333334,0.20063433333333336,0,46,3,,,,,,
254,17.25,2.6562095,0,69,4,,,,,,
299,17.2,1.9505962000000001,0,86,5,,,,,,
33,17.5,1.4063065000000001,3,105,6,1.5072490632534028,80,0.003,-7.004789638519287,-1.492219465970993,0.8099656224250793
17,17.428571428571427,0.8577932857142858,6,122,7,0.06070587113499641,420,0.003,-5.186443829536438,-7.596160268783569,0.29632696360349653
10,20.25,1.6599658750000001,14,162,8,0.03918456956744194,1220,0.003,-6.739764404296875,0.895144248008728,0.07577837780117988
6,35.44444444444444,3.401642777777778,46,319,9,0.14951867796480656,4360,0.003,-17.507267665863036,-0.31243775635957716,0.14532153978943824
5,49.9,12.948284300000001,84,499,10,0.304369505494833,7960,0.003,-32.7303448677063,-0.049852623231709005,0.19182277619838714
5,47.0,11.99346709090909,89,517,11,0.3579584240913391,8320,0.003,-33.882045078277585,0.09756730310618877,0.18886987566947938
5,54.083333333333336,29.75193625,119,649,12,0.8056335896253586,10960,0.003,-49.826182174682614,0.020385775715112686,0.26251224875450135
5,51.30769230769231,27.449981769230767,122,667,13,2.936344105005264,11320,0.003,-52.91589756011963,0.052355014532804486,0.3148208647966385
5,48.642857142857146,25.473174642857142,125,681,14,2.356983596086502,11600,0.003,-56.32995948791504,-0.06828249674290418,0.37672159522771836
5,64.33333333333333,48.79448,182,965,15,28.686955738067628,17280,0.003,-139.80501251220704,0.012002355232834817,0.867068549990654
5,73.375,64.717682875,218,1174,16,169.28222274780273,21460,0.003,-291.42470092773436,-0.025638052262365818,1.6344345331192016
5,70.82352941176471,60.83839305882352,225,1204,17,75.86929683685302,22060,0.003,-316.85754547119143,0.03295894134789705,1.8634672462940216
5,70.16666666666667,57.05836994444443,240,1263,18,78.54933986663818,23240,0.003,-369.6595184326172,0.0204077759757638,2.0741821765899657
5,73.6842105263158,65.00400842105262,272,1400,19,650.799038696289,25980,0.003,-494.64251098632815,0.14246868081390857,2.5817044734954835
5,78.45,74.24889089999999,303,1569,20,817.3571624755859,29360,0.003,-836.4665557861329,-0.1980649907141924,4.765523314476013
5,79.52380952380952,79.27089947619046,320,1670,21,1804.3063598632812,31380,0.003,-1131.3498840332031,0.14440537989139557,6.924240946769714
5,78.72727272727273,76.18921886363636,330,1732,22,1852.8624572753906,32620,0.003,-1379.292657470703,0.14515172988176345,8.453013706207276
5,87.08695652173913,93.00595469565215,381,2003,23,14899.969921875,38040,0.003,-3880.3105224609376,-0.04767445996403694,24.099960613250733
5,84.70833333333333,89.53281112500001,388,2033,24,19396.548681640626,38640,0.003,-4400.3968505859375,-0.2244556002318859,25.991495418548585
5,82.28,86.1684528,393,2057,25,19426.2150390625,39120,0.003,-4802.51484375,0.04835945963859558,27.34145212173462
5,83.07692307692308,84.37229288461539,412,2160,26,29765.66142578125,41180,0.003,-6602.451928710938,0.18867598101496696,38.1733922958374
5,84.70370370370371,89.02649518518518,438,2287,27,43059.9873046875,43720,0.003,-8907.7736328125,-0.5064353004097939,41.43787803649902
5,88.64285714285714,97.50046367857144,471,2482,28,81858.1109375,47620,0.003,-11837.942578125,-0.27552349790930747,53.1620512008667
5,89.34482758620689,96.61083906896552,491,2591,29,102582.285546875,49800,0.003,-13346.049169921875,-0.44498070776462556,58.20996627807617
5,90.26666666666667,94.38405259999999,518,2708,30,143327.8046875,52140,0.003,-14780.932763671875,-0.37846219539642334,69.39769477844239
5,93.83870967741936,100.46341129032258,562,2909,31,220505.09453125,56160,0.003,-18636.622265625,-0.15371594876050948,83.8892936706543
5,95.625,104.85406828125,588,3060,32,328903.621875,59180,0.003,-20749.367578125,-0.050140085816383365,93.63933143615722
5,94.63636363636364,102.91032648484847,601,3123,33,347614.8953125,60440,0.003,-21873.8142578125,-0.12009655833244323,97.05483741760254
5,96.11764705882354,101.2567215,627,3268,34,472065.578125,63340,0.003,-25068.651171875,-0.6804412767291069,111.62948951721191
5,95.05714285714286,99.30829982857142,635,3327,35,576304.725,64520,0.003,-26721.05966796875,-0.02740328907966614,121.2703369140625
5,94.94444444444444,98.73092438888888,652,3418,36,623154.9640625,66340,0.003,-29220.6470703125,0.4174583613872528,122.26301155090331
5,96.43243243243244,102.23662178378376,681,3568,37,826559.978125,69340,0.003,-32358.496484375,0.40070977807044983,133.41256561279297
5,96.57894736842105,104.03231352631578,705,3670,38,847129.54375,71380,0.003,-33851.28876953125,0.0658183217048645,135.138663482666
5,98.94871794871794,109.17133266666664,742,3859,39,1247199.49375,75160,0.003,-36611.9662109375,0.18220946192741394,162.07531280517577
5,101.225,114.390508475,777,4049,40,1329474.859375,78960,0.003,-39634.3166015625,0.20634326636791228,178.01807403564453
5,107.53658536585365,127.00895997560976,854,4409,41,1888598.325,86160,0.003,-42905.9892578125,0.5008400112390519,175.68742828369142
5,109.76190476190476,126.85620664285713,893,4610,42,2496591.60625,90180,0.003,-49658.58359375,-0.07133384495973587,187.27571868896484
5,110.30232558139535,125.12756360465117,915,4743,43,3862263.2625,92840,0.003,-57730.817578125,0.7903591066598892,211.30323028564453
5,110.86363636363636,126.60499788636365,941,4878,44,3543793.975,95540,0.003,-64896.019140625,0.7872596561908722,229.17851638793945
5,111.8,125.27724675555557,967,5031,45,3512067.775,98600,0.003,-70874.18515625,0.4931398220360279,221.92841567993165
5,114.17391304347827,123.87105073913044,1008,5252,46,4348154.375,103020,0.003,-73564.44140625,0.8698311805725097,245.40015869140626
5,114.61702127659575,119.96291063829787,1032,5387,47,4393100.025,105720,0.003,-76324.6234375,-0.20388117134571077,265.7304122924805
5,115.72916666666667,118.66719154166667,1062,5555,48,5924529.425,109080,0.003,-81892.140625,-0.37053671926259996,291.9484802246094
5,114.10204081632654,116.70253695918367,1071,5591,49,5870755.45,109800,0.003,-83082.615625,-0.052253466099500656,300.3860092163086
5,116.78,121.32379912,1114,5839,50,6771355.4,114760,0.003,-87228.246484375,-0.0865262895822525,324.13158264160154
5,116.80392156862744,119.85603462745098,1139,5957,51,6793044.875,117120,0.003,-88797.377734375,-0.7956099145114421,315.7610626220703
5,118.0576923076923,118.62240873076924,1176,6139,52,7644298.4,120760,0.003,-87604.7734375,0.10159878879785537,321.2228729248047
5,119.26415094339623,117.26868083018869,1210,6321,53,7858243.375,124400,0.003,-91261.797265625,-0.737286276370287,329.22886962890624
5,118.01851851851852,115.46401972222222,1222,6373,54,8516374.75,125440,0.003,-91560.83671875,-0.48056351989507673,330.016015625
5,116.69090909090909,113.90602840000001,1231,6418,55,9083960.275,126340,0.003,-91677.721875,-0.07328343689441681,327.67116088867186
5,118.25,112.23904669642857,1266,6622,56,10362122.8,130420,0.003,-94375.789453125,0.4367673546075821,342.68038787841795
5,117.33333333333333,110.69646333333333,1276,6688,57,12274267.2,131740,0.003,-97484.125,-1.1664187535643578,358.6038650512695
5,119.53448275862068,116.36160910344827,1314,6933,58,17899069.4,136640,0.003,-111123.801953125,0.2713645875453949,403.9240356445313
5,123.05084745762711,123.4546232881356,1379,7260,59,23315775.1,143180,0.003,-132098.3109375,-0.2646910026669502,475.4450988769531
5,122.91666666666667,124.71318295,1401,7375,60,24547400.3,145480,0.003,-137863.920703125,-0.45145912319421766,500.69821014404295
5,124.78688524590164,128.50933244262296,1454,7612,61,56468198.0,150220,0.003,-167050.38046875,-0.6022195689380169,633.2341064453125
5,124.2741935483871,127.03160812903225,1471,7705,62,73994392.4,152080,0.003,-197333.628125,-0.8346782252192497,717.5529388427734
5,123.07936507936508,124.9448013015873,1480,7754,63,74133782.6,153060,0.003,-204753.01171875,0.3884822726249695,671.3017608642579
5,123.546875,123.012826796875,1513,7907,64,58462482.2,156120,0.003,-211290.8453125,0.3045273259282112,603.6817504882813
5,122.56923076923077,121.03603390769231,1524,7967,65,61358713.4,157320,0.003,-215259.4359375,-0.16967886984348296,609.112191772461
5,121.98484848484848,118.74572318181819,1536,8051,66,57593678.2,159000,0.003,-211833.73515625,0.6304592043161392,563.7764312744141
5,121.31343283582089,116.87321088059701,1549,8128,67,60222589.6,160540,0.003,-210380.1625,0.006075730919837952,593.0528747558594
5,121.38235294117646,118.27497489705883,1571,8254,68,56656300.8,163060,0.003,-206442.3046875,0.5417107015848159,604.564077758789
5,124.1304347826087,118.324419,1629,8565,69,61030608.0,169280,0.003,-213721.9796875,0.28467638567090037,658.42490234375
5,126.2,121.67849402857142,1674,8834,70,62374923.2,174660,0.003,-222215.40859375,0.6564009867608547,665.4487884521484
