time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss
0,925,12,1,9.603951,12.0,,,,,,
0,1233,29,2,12.163979000000001,14.5,,,,,,
0,1454,59,3,10.223414333333334,19.666666666666668,,,,,,
0,1486,85,4,10.898664250000001,21.25,,,,,,
11,9,107,5,13.236620000000002,21.4,0.718942391872406,120,-0.998762109875679,-4.742350435256958,0.003,0.056143314205110074
123,1,160,6,21.4396495,26.666666666666668,0.10290365181863308,1180,-0.2440074412152171,-9.719707679748534,0.003,0.03283852767199278
158,1,186,7,24.72347985714286,26.571428571428573,0.0937715746462345,1700,0.06474681086838245,-13.375577545166015,0.003,0.036676667537540196
315,0,248,8,36.711974500000004,31.0,0.14643343165516853,2940,0.07607704792171717,-24.662987804412843,0.003,0.12502461839467288
463,0,317,9,47.19838133333334,35.22222222222222,0.25083698332309723,4320,0.021562651544809342,-41.41458168029785,0.003,0.3291428193449974
476,0,348,10,47.973026000000004,34.8,0.4234155476093292,4940,-0.07045899983495474,-49.815971755981444,0.003,0.8721512138843537
489,0,385,11,49.65787381818182,35.0,0.4327010944485664,5680,0.07821366610005498,-59.2881404876709,0.003,0.9941301107406616
513,0,454,12,57.32215491666667,37.833333333333336,0.7189429759979248,7060,-0.006450005969963968,-84.98314170837402,0.003,3.3988078117370604
542,0,539,13,59.14600469230769,41.46153846153846,1.3396781802177429,8760,0.004186925664544106,-123.66770668029785,0.003,13.91475191116333
556,1,576,14,57.72653578571429,41.142857142857146,1.6011370778083802,9500,-0.01661537028849125,-148.11401824951173,0.003,17.369993257522584
592,1,679,15,68.7239146,45.266666666666666,3.4672312498092652,11560,-0.15199940130114556,-292.3812965393066,0.003,88.47675476074218
605,1,718,16,68.628670375,44.875,3.8139724850654604,12340,0.09674591943621635,-337.224870300293,0.003,245.69939613342285
616,1,750,17,67.71906217647059,44.11764705882353,4.175595498085022,12980,-0.0687825383618474,-371.57774658203124,0.003,127.10795631408692
640,1,823,18,71.99190622222221,45.72222222222222,6.941307854652405,14440,-0.21083160173147916,-488.35177154541014,0.003,273.5234603881836
671,1,911,19,78.87401721052632,47.94736842105263,9.376972913742065,16200,-0.10598195111379027,-616.0206481933594,0.003,419.60762481689454
703,1,1004,20,85.42458595,50.2,10.525864458084106,18060,0.3259351134300232,-740.0262023925782,0.003,525.9572311401367
720,1,1053,21,85.38722252380951,50.142857142857146,10.905537128448486,19040,-0.17814369201660157,-829.8600402832031,0.003,648.856233215332
747,1,1131,22,88.92988872727273,51.40909090909091,10.410321950912476,20600,-0.035951632633805276,-920.7498809814454,0.003,645.1808654785157
780,1,1225,23,92.65726343478259,53.26086956521739,12.346803569793702,22480,0.1948014644905925,-1029.967611694336,0.003,1031.7212768554687
784,1,1236,24,89.08527345833333,51.5,12.118945360183716,22700,0.042622909508645536,-1052.2029174804688,0.003,1058.5593231201171
790,1,1252,25,85.87261536,50.08,13.11463623046875,23020,-0.06407037153840064,-1089.5659912109375,0.003,1362.0430541992187
832,1,1378,26,90.85433942307692,53.0,18.559678745269775,25540,0.06369263492524624,-1421.0664489746093,0.003,2396.644427490234
841,1,1402,27,87.79864418518518,51.925925925925924,21.166176128387452,26020,0.46284944489598273,-1548.9774475097656,0.003,3525.269287109375
850,1,1427,28,85.00129975,50.964285714285715,23.877198505401612,26520,-0.30910760946571825,-1717.3459411621093,0.003,5333.419165039062
859,1,1455,29,82.33933879310344,50.172413793103445,26.25828619003296,27080,0.04296465739607811,-1862.6921691894531,0.003,7307.129223632813
874,1,1495,30,79.98470353333332,49.833333333333336,28.76079339981079,27880,-0.10252917967736722,-2042.6744323730468,0.003,5539.302734375
890,1,1541,31,78.03116277419353,49.70967741935484,35.90053863525391,28800,0.42086797691881656,-2344.271923828125,0.003,8222.48564453125
911,1,1608,32,76.7207573125,50.25,35.15316638946533,30140,0.2916884493082762,-2751.3231811523438,0.003,9630.610473632812
982,1,1832,33,80.30560933333332,55.515151515151516,59.32076511383057,34620,0.26081322208046914,-4185.188464355469,0.003,32172.56455078125
1022,1,1953,34,80.82817197058823,57.44117647058823,78.04078407287598,37040,0.04209509789943695,-5565.145361328125,0.003,72795.225
1060,1,2073,35,84.33552094285714,59.22857142857143,114.8240177154541,39440,-0.22314147409051657,-7933.4384765625,0.003,180312.298828125
1070,1,2104,36,83.24688277777778,58.44444444444444,131.06628646850587,40060,0.5424926333129406,-9044.84072265625,0.003,274160.85859375
1106,1,2208,37,86.50210083783783,59.67567567567568,148.55209045410157,42140,-0.21317828446626663,-12011.336572265625,0.003,268349.1640625
1142,2,2308,38,89.10200802631579,60.73684210526316,200.99928283691406,44140,0.5280697625130415,-15657.587255859375,0.003,524922.4609375
1176,2,2405,39,92.08614725641026,61.666666666666664,231.01636199951173,46080,0.09581207185983658,-19119.28291015625,0.003,615453.1140625
1207,2,2499,40,94.48560275,62.475,257.8915542602539,47960,0.2988789014518261,-21680.11630859375,0.003,730942.471875
1240,2,2602,41,97.09425490243902,63.46341463414634,274.84121856689455,50020,-0.16069900766015052,-24457.89658203125,0.003,895162.615625
1280,2,2715,42,99.56563507142857,64.64285714285714,292.5862243652344,52280,-0.30253573767840863,-27360.0775390625,0.003,984854.334375
1313,2,2809,43,102.27525423255814,65.32558139534883,321.27258148193357,54160,-0.0677342515438795,-29539.455859375,0.003,1278149.73125
1343,2,2901,44,104.68432513636363,65.93181818181819,347.40400848388674,56000,0.8846595019102097,-31597.335546875,0.003,1421499.10625
1373,2,2995,45,106.79983535555554,66.55555555555556,363.91707611083984,57880,0.18167551942169666,-33698.087890625,0.003,1634836.65625
1387,2,3041,46,106.03430473913042,66.1086956521739,396.00001525878906,58800,0.5733261872082949,-35159.194921875,0.003,1895839.9125
1406,2,3092,47,105.54112859574467,65.7872340425532,412.87518615722655,59820,-0.11730468943715096,-37128.119921875,0.003,2151526.55625
1440,2,3197,48,108.055203875,66.60416666666667,462.1815872192383,61920,-0.19998501166701316,-41839.916796875,0.003,2662136.7125
1494,2,3341,49,111.31470365306123,68.18367346938776,488.8208724975586,64800,-0.3887064136564732,-47242.0298828125,0.003,3427383.875
1590,2,3579,50,116.32817172000001,71.58,488.427995300293,69560,-0.426459226757288,-49731.6587890625,0.003,2893343.825
1628,2,3670,51,117.9450397647059,71.96078431372548,465.12523956298827,71380,0.043624472618103025,-47317.30703125,0.003,2869653.325
1667,2,3760,52,119.57436171153846,72.3076923076923,452.08218841552736,73180,-0.6095630213618278,-45699.659375,0.003,2787378.6625
1708,2,3852,53,121.1727403018868,72.67924528301887,415.6488555908203,75020,0.5753812663257122,-42778.94296875,0.003,2317327.475
1754,2,3947,54,122.52581142592592,73.0925925925926,403.2120300292969,76920,-0.24965045973658562,-40231.562109375,0.003,2367258.98125
1814,2,4068,55,123.80223229090909,73.96363636363637,410.59325714111327,79340,0.6564337784424424,-38211.74921875,0.003,2291531.23125
1890,2,4223,56,125.61625541071429,75.41071428571429,387.7985321044922,82440,-0.41928284987807274,-34588.2232421875,0.003,1910557.4375
2023,2,4490,57,130.6474979473684,78.7719298245614,397.1999114990234,87780,0.12890592515468596,-32973.40185546875,0.003,1900285.09375
2237,2,4932,58,138.80974605172415,85.03448275862068,351.9309936523438,96620,-0.5022721339017153,-30436.84462890625,0.003,1258682.321875
2278,2,5021,59,138.63631957627118,85.10169491525424,328.437158203125,98400,0.7514065958559513,-28951.48466796875,0.003,1217834.00625
2356,2,5187,60,141.71040818333333,86.45,272.35218353271483,101720,0.151990207657218,-25167.826953125,0.003,1011543.340625
2547,2,5574,61,147.9267635737705,91.37704918032787,209.36964950561523,109460,-0.2629281483590603,-18907.4916015625,0.003,709810.4625
2561,2,5604,62,146.07529753225808,90.38709677419355,222.2901741027832,110060,-0.020153704285621642,-18441.70849609375,0.003,707132.084375
2665,2,5814,63,147.4308623015873,92.28571428571429,190.1870002746582,114260,-0.76015934497118,-16525.919482421876,0.003,582298.9375
2849,2,6205,64,154.091306296875,96.953125,166.14564590454103,122080,0.16788238994777202,-13485.101171875,0.003,394830.4609375
2971,2,6455,65,157.02405996923073,99.3076923076923,146.56239318847656,127080,-0.1532446749508381,-11693.33994140625,0.003,300471.6953125
3033,2,6573,66,157.2481819090909,99.5909090909091,128.94072036743165,129440,-0.134697562456131,-11020.84892578125,0.003,275788.35625
3092,2,6689,67,156.58628074626867,99.83582089552239,124.60293617248536,131760,-0.133796464279294,-10215.898681640625,0.003,265897.7140625
3172,2,6851,68,156.22941004411766,100.75,104.45633392333984,135000,-0.022947199642658234,-9216.069384765626,0.003,234002.096875
3187,2,6881,69,154.03488317391304,99.72463768115942,105.98866729736328,135600,-0.19820423871278764,-9125.5728515625,0.003,233056.69921875
3204,2,6915,70,151.93732702857145,98.78571428571429,110.1146629333496,136280,0.325467174872756,-8966.213818359374,0.003,240591.69765625
3220,2,6947,71,149.8927172112676,97.84507042253522,109.65075912475587,136920,-0.24930837452411653,-8979.661669921876,0.003,220645.3265625
3238,2,6982,72,147.91127751388888,96.97222222222223,106.56992874145507,137620,-0.4774569286033511,-8681.277587890625,0.003,207274.2609375
3259,2,7025,73,146.0448110958904,96.23287671232876,105.2380271911621,138480,0.039229892566800116,-8514.015014648438,0.003,212890.5421875
3315,2,7132,74,145.12251206756756,96.37837837837837,105.35002517700195,140620,-0.04963356889784336,-8235.059350585938,0.003,193380.36875
3340,2,7179,75,143.5853500133333,95.72,104.9436424255371,141560,0.6563242539763451,-8331.945141601562,0.003,215246.0796875
3369,2,7234,76,142.41329790789473,95.1842105263158,101.30675773620605,142660,0.5570276826620102,-8209.26796875,0.003,209791.14921875
3420,2,7339,77,143.42674290909088,95.31168831168831,100.45063934326171,144760,-0.16296466514468194,-8430.283764648437,0.003,230045.81640625
3426,2,7352,78,141.6909632307692,94.25641025641026,104.98857421875,145020,-0.11582341939210891,-8372.57158203125,0.003,238753.3671875
3431,2,7363,79,139.9832386582278,93.20253164556962,99.47052383422852,145240,0.6284504853188991,-8314.059155273437,0.003,212869.02578125
3477,2,7461,80,140.933369525,93.2625,98.13711929321289,147200,0.23271153857931495,-8249.953173828126,0.003,211773.4640625
3529,2,7561,81,141.79091986419752,93.34567901234568,101.71547012329101,149200,0.6446918927133083,-8109.683374023438,0.003,194354.9125
3597,2,7694,82,143.31783097560975,93.82926829268293,99.13151969909669,151860,0.6295279778540135,-8029.36435546875,0.003,189690.9234375
3682,2,7864,83,145.2347398433735,94.74698795180723,109.4049243927002,155260,-0.4233803480863571,-8505.444946289062,0.003,245598.821875
3778,2,8052,84,147.31624972619048,95.85714285714286,116.57563438415528,159020,-0.6953879551962018,-10101.190234375,0.003,242194.26953125
3828,2,8150,85,147.86008654117649,95.88235294117646,127.3132755279541,160980,0.3870682418346405,-10856.531982421875,0.003,261284.6265625
3854,2,8204,86,147.1890810116279,95.3953488372093,125.62003059387207,162060,0.2946163147687912,-11407.795849609374,0.003,286677.05390625
3884,2,8263,87,146.6819756666667,94.97701149425288,124.74371757507325,163240,0.268535653501749,-11429.173779296874,0.003,290986.29140625
3912,2,8318,88,146.05457601136365,94.52272727272727,118.54187126159668,164340,-0.24863966703414916,-11644.961376953124,0.003,284134.0171875
3941,2,8374,89,145.46804593258426,94.08988764044943,123.60225830078124,165460,0.03183233179152012,-11434.256494140625,0.003,266999.95390625
3974,2,8444,90,145.34031234444444,93.82222222222222,114.88228263854981,166860,0.3535375718027353,-11357.21552734375,0.003,264340.75703125
4021,2,8541,91,146.07656792307694,93.85714285714286,115.21809616088868,168800,0.43045555278658865,-11308.08388671875,0.003,318832.87109375
4068,2,8636,92,146.72014144565216,93.8695652173913,113.94622192382812,170700,0.24620158262550831,-11277.3298828125,0.003,308377.2765625
4182,2,8865,93,148.66894168817205,95.3225806451613,119.67752227783203,175280,-0.06544018983840942,-11915.228515625,0.003,311471.309375
4309,2,9128,94,151.36904179787234,97.1063829787234,137.1640167236328,180540,-0.5315773997455835,-13719.13828125,0.003,426558.753125
4429,2,9369,95,153.4286622631579,98.62105263157895,155.40304718017578,185360,0.021972500160336493,-16094.30634765625,0.003,713210.53125
4502,2,9514,96,153.60843697916667,99.10416666666667,173.49544525146484,188260,0.7742816746234894,-19136.3373046875,0.003,1016965.103125
4573,2,9655,97,154.26672160824742,99.5360824742268,197.21451797485352,191080,-0.26946014873683455,-21658.9767578125,0.003,1422411.403125
4634,2,9787,98,154.80348623469388,99.86734693877551,223.36440734863282,193720,0.12194507513195277,-25075.82431640625,0.003,1596301.35625
4741,2,10006,99,154.97807047474748,101.07070707070707,218.377205657959,198100,-0.3186173990368843,-30123.86669921875,0.003,1513799.70625
4800,2,10129,100,154.37043289000002,101.29,242.08628005981444,200560,0.19015666097402573,-30891.24716796875,0.003,1447145.28125
4922,2,10374,101,156.76413878,103.62,218.69407501220704,205460,-0.5897940993309021,-32864.41025390625,0.003,1303119.51875
5206,2,10940,102,162.60424014,109.11,194.5374969482422,216780,0.3250577297061682,-31534.975,0.003,1020435.515625
5251,2,11035,103,164.51209564,109.76,186.53336715698242,218680,0.3720663011074066,-30726.7181640625,0.003,937093.225
5277,2,11089,104,165.34003277,110.04,174.0799476623535,219760,-0.5357184667140246,-29465.8828125,0.003,886270.56875
5319,2,11181,105,166.88950329000002,110.74,161.70833740234374,221600,0.16827500611543655,-28337.576171875,0.003,863115.81875
5361,2,11269,106,167.9061689,111.09,158.2918472290039,223360,-0.849262484908104,-26743.48056640625,0.003,884143.609375
5414,2,11375,107,168.62181888000003,111.89,169.07647552490235,225480,0.03670927062630654,-25555.0369140625,0.003,906772.021875
5557,2,11669,108,171.70612463999998,114.21,167.88030471801758,231360,-0.26161523908376694,-24150.6330078125,0.003,813836.409375
5577,2,11712,109,170.68394649,113.95,157.31361465454103,232220,-0.4357353962957859,-24377.484375,0.003,875892.7875
5674,2,11913,110,173.06402073,115.65,165.44535293579102,236240,0.5971167672425508,-23415.8509765625,0.003,738041.05
5985,2,12536,111,178.81614149,121.51,157.61430587768555,248700,0.612351106107235,-25476.199609375,0.003,772667.21875
6151,2,12872,112,179.38513926,124.18,145.3661117553711,255420,0.043684208765625954,-24038.79287109375,0.003,636298.790625
6188,2,12948,113,179.08259345000002,124.09,147.36349334716797,256940,0.3040813893079758,-24170.62236328125,0.003,872529.059375
6399,2,13387,114,182.14044312000001,128.11,137.1654182434082,265720,0.0061120852828025814,-20888.7662109375,0.003,655797.8625
6487,2,13564,115,181.56883004000002,128.85,148.5826271057129,269260,-0.2368023492395878,-22988.171484375,0.003,814416.18125
6500,2,13590,116,181.23885616000004,128.72,136.92697830200194,269780,-0.2106098175048828,-22898.21044921875,0.003,717809.290625
6726,2,14042,117,187.14830723000003,132.92,112.62974967956544,278820,-0.9824319109320641,-19822.4482421875,0.003,493252.1453125
6785,2,14170,118,187.36595487,133.47,112.16998291015625,281380,0.11293038502335548,-18607.373046875,0.003,394515.61875
6947,2,14515,119,188.49982515000002,136.04,97.07616081237794,288280,-0.11927966307848692,-16002.2662109375,0.003,341155.85078125
6969,2,14562,120,186.65841195000002,135.58,94.87417221069336,289220,0.4943693321198225,-15722.147705078125,0.003,341880.0328125
6995,2,14619,121,186.16196559000002,135.66,95.64028892517089,290360,-0.09119547754526139,-15747.46806640625,0.003,413923.7875
