time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/ent_coef
108,20,1,20.0,9.425422,0,,,,,,
146,29,2,14.5,3.3945104999999995,0,,,,,,
219,49,3,16.333333333333332,2.786146666666666,0,,,,,,
265,64,4,16.0,3.2105207499999997,0,,,,,,
321,84,5,16.8,2.4532891999999995,0,,,,,,
355,97,6,16.166666666666668,2.158616833333333,0,,,,,,
16,177,7,25.285714285714285,6.549672571428571,10,-27.292808532714844,0.9401443213224411,0.003,-1.3514506816864014,1520,0.8027564883232117
12,296,8,37.0,7.889581374999999,23,-60.66539001464844,1.1217447996139527,0.003,-2.865053415298462,3900,0.5826448202133179
10,485,9,53.888888888888886,38.25445066666666,44,-98.90225982666016,0.45957084000110626,0.003,-4.373090744018555,7680,0.3638589680194855
10,597,10,59.7,35.170388200000005,56,-112.10987091064453,0.916131317615509,0.003,-4.92760705947876,9920,0.2771146297454834
10,754,11,68.54545454545455,37.54098145454546,74,-125.79304504394531,1.6009751200675963,0.003,-3.0943264961242676,13060,0.20768916606903076
9,892,12,74.33333333333333,51.98513533333334,89,-142.8495635986328,1.00126311480999,0.003,-1.663703203201294,15820,0.1776489019393921
9,1108,13,85.23076923076923,71.81198700000002,115,-162.49969482421875,2.793521085381508,0.003,-1.9282634258270264,20140,0.15246766805648804
9,1236,14,88.28571428571429,71.15696550000001,129,-166.65353393554688,1.9406672954559325,0.003,-0.08972988277673721,22700,0.14411035180091858
9,1376,15,91.73333333333333,80.90737220000001,145,-180.4026336669922,1.3690445959568023,0.003,0.045361101627349854,25500,0.1457899957895279
9,1519,16,94.9375,80.28926418750001,162,-192.8624267578125,2.544354784488678,0.003,1.3304334878921509,28360,0.15539893507957458
9,1604,17,94.3529411764706,75.33653976470589,171,-192.96188354492188,2.0363106191158296,0.003,-0.07415751367807388,30060,0.16123221814632416
9,1849,18,102.72222222222223,93.3984103888889,200,-205.59915161132812,1.4953499674797057,0.003,-0.7440545558929443,34960,0.17458517849445343
9,2029,19,106.78947368421052,102.99580736842107,221,-207.16815185546875,1.3970060646533966,0.003,-1.3006980419158936,38560,0.1534963995218277
9,2238,20,111.9,115.57231310000002,245,-215.13006591796875,10.812435460090636,0.003,0.5056413412094116,42740,0.1501052975654602
9,2382,21,113.42857142857143,121.43307204761906,260,-219.24343872070312,5.284483599662781,0.003,-0.18308928608894348,45620,0.15333804488182068
9,2487,22,113.04545454545455,124.15081490909093,272,-221.4662628173828,1.6822966158390045,0.003,-0.3397752046585083,47720,0.14766336977481842
9,2667,23,115.95652173913044,132.89627586956524,292,-225.1722412109375,1.256891143321991,0.003,0.3572971224784851,51320,0.1348821222782135
9,2828,24,117.83333333333333,139.04302316666667,310,-227.35684204101562,1.2251961886882783,0.003,0.41956353187561035,54540,0.1295970231294632
9,2980,25,119.2,144.15213468,327,-227.0634765625,1.547779881954193,0.003,0.48876404762268066,57580,0.13587071001529694
9,3266,26,125.61538461538461,152.24258961538462,360,-228.39834594726562,2.0133758008480074,0.003,0.40615272521972656,63300,0.1545337587594986
