time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss
27,27.0,1,105,0,11.784916,,,,,,
52,26.0,2,178,0,19.015793000000002,,,,,,
65,21.666666666666668,3,210,0,15.525027333333334,,,,,,
78,19.5,4,241,0,14.35765325,,,,,,
95,19.0,5,278,0,14.1903472,,,,,,
110,18.333333333333332,6,20,5,13.692244666666667,180,0.003,-4.792598724365234,0.9913187623023987,-0.021591074764728546,9.88627815246582
134,19.142857142857142,7,8,14,15.508583571428572,660,0.003,-10.386587142944336,0.9237908124923706,-0.23157933354377747,1.0212867081165313
197,24.625,8,4,40,27.129904500000002,1920,0.003,-24.259248733520508,0.7638659477233887,-0.7160028219223022,1.959874302148819
246,27.333333333333332,9,3,61,33.787774222222225,2900,0.003,-35.01169204711914,0.6665661334991455,-0.9835166931152344,2.425842988491058
325,32.5,10,3,92,47.4772376,4480,0.003,-52.29034423828125,0.5428999066352844,-0.9589435458183289,5.100379514694214
359,32.63636363636363,11,3,106,48.341347999999996,5160,0.003,-60.38080596923828,0.5019165277481079,-1.212782859802246,4.802125990390778
394,32.833333333333336,12,3,119,49.25399341666667,5860,0.003,-66.38932037353516,0.4655519723892212,-0.9100131988525391,7.067504811286926
480,36.92307692307692,13,3,153,60.2818063076923,7580,0.003,-84.1974868774414,0.3969968259334564,-1.44124436378479,4.075952267646789
547,39.07142857142857,14,3,179,65.16407464285713,8920,0.003,-96.41722106933594,0.3415866494178772,-1.1296558380126953,2.913483816385269
591,39.4,15,3,196,65.45568873333333,9800,0.003,-101.70208740234375,0.3067227303981781,-1.5170989036560059,9.165133810043335
641,40.0625,16,2,216,66.59333075,10800,0.003,-103.51277160644531,0.2794167399406433,-1.0647263526916504,28.79565544128418
733,43.11764705882353,17,2,253,74.8547553529412,12640,0.003,-111.93196105957031,0.24790112674236298,-2.0187795162200928,68.76842555999755
784,43.55555555555556,18,2,274,75.68804533333335,13660,0.003,-114.68949127197266,0.2280619740486145,-1.4194929599761963,30.620123982429504
874,46.0,19,2,309,82.29107136842106,15460,0.003,-119.12924194335938,0.18908673524856567,-1.9762601852416992,25.610855102539062
970,48.5,20,2,346,89.2948585,17380,0.003,-125.23944091796875,0.15467169880867004,-1.6852154731750488,6.163225483894348
1064,50.666666666666664,21,2,384,95.29433133333335,19260,0.003,-126.14474487304688,0.1478731483221054,-0.23683685064315796,49.93607182502747
1109,50.40909090909091,22,2,401,94.46865118181819,20160,0.003,-127.09994506835938,0.14992357790470123,0.41147559881210327,42.219175052642825
1201,52.21739130434783,23,2,438,99.59450630434785,22000,0.003,-122.64279174804688,0.16195543110370636,0.5822885036468506,75.15464992523194
1277,53.208333333333336,24,2,468,102.13604295833333,23520,0.003,-127.8071517944336,0.18453222513198853,1.1491806507110596,31.820411968231202
1350,54.0,25,2,497,104.08421108,24980,0.003,-115.06208038330078,0.21729488670825958,0.5517783761024475,17.436474990844726
1428,54.92307692307692,26,2,527,106.40101403846155,26540,0.003,-109.55430603027344,0.24728600680828094,1.1523188352584839,18.52470459938049
1496,55.407407407407405,27,2,555,107.5014898888889,27900,0.003,-101.19636535644531,0.25050628185272217,-0.7740322351455688,15.075982093811035
1591,56.82142857142857,28,2,591,111.27047500000002,29800,0.003,-87.15660858154297,0.21239939332008362,-0.3890392780303955,12.128197264671325
1677,57.827586206896555,29,2,626,110.73375317241381,31520,0.003,-92.24847412109375,0.1951846182346344,0.4857539236545563,9.115761733055114
1727,57.56666666666667,30,2,646,108.3892863666667,32520,0.003,-94.2371826171875,0.20490418374538422,-0.11986365914344788,9.1772469997406
1816,58.58064516129032,31,2,681,107.8053959354839,34300,0.003,-94.17340087890625,0.2329249233007431,0.10394320636987686,10.059166193008423
2518,78.6875,32,2,956,127.21724590625,48340,0.003,-124.56661987304688,0.15822316706180573,-0.6844624280929565,7.863724684715271
2662,80.66666666666667,33,2,1011,131.40505900000002,51220,0.003,-124.05413818359375,0.14493417739868164,-0.04087337851524353,8.423029947280884
2791,82.08823529411765,34,2,1061,132.49424158823533,53800,0.003,-129.35179138183594,0.13886608183383942,0.07673913240432739,7.626191449165344
2949,84.25714285714285,35,2,1122,135.66615805714287,56960,0.003,-128.361572265625,0.1369417905807495,-0.024438977241516113,8.63672595024109
3018,83.83333333333333,36,2,1149,134.61985536111112,58340,0.003,-129.41375732421875,0.12997816503047943,-0.2854221761226654,10.395089316368104
3297,89.10810810810811,37,2,1258,141.53076681081083,63920,0.003,-126.57677459716797,0.09946496039628983,0.2086309790611267,6.6288182735443115
3554,93.52631578947368,38,2,1360,147.70710921052634,69060,0.003,-130.23928833007812,0.10108822584152222,0.2377830445766449,10.2315203666687
3646,93.48717948717949,39,2,1396,149.27081164102566,70900,0.003,-130.56259155273438,0.10128723084926605,-0.965077817440033,9.825438761711121
3732,93.3,40,2,1429,150.3358903,72620,0.003,-126.74952697753906,0.10343854874372482,0.7977814674377441,7.610975611209869
3825,93.29268292682927,41,2,1465,151.9123256585366,74480,0.003,-129.7827606201172,0.10125461220741272,0.19060386717319489,14.851706194877625
3929,93.54761904761905,42,2,1506,153.27301195238093,76560,0.003,-124.63273620605469,0.10624006390571594,0.180033341050148,15.356337714195252
4032,93.76744186046511,43,2,1546,153.2311610232558,78620,0.003,-118.34193420410156,0.11955581605434418,0.7958188056945801,10.799120807647705
4206,95.5909090909091,44,2,1615,154.43089538636363,82100,0.003,-108.74142456054688,0.14756272733211517,0.3652777671813965,10.26101644039154
5206,115.68888888888888,45,2,2007,172.9755423111111,102100,0.003,-103.26712036132812,0.09172539412975311,-0.45764195919036865,4.217583310604096
6206,134.91304347826087,46,2,2398,190.57061982608695,122100,0.003,-113.82717895507812,0.06895677745342255,-0.6325875520706177,3.9714680075645448
7206,153.31914893617022,47,2,2786,207.76083544680853,142100,0.003,-114.40956115722656,0.08797807991504669,1.0867376327514648,5.197883522510528
8206,170.95833333333334,48,2,3174,223.79075497916665,162100,0.003,-110.34036254882812,0.048550743609666824,1.4735289812088013,3.476771795749664
8341,170.22448979591837,49,2,3225,224.57725408163265,164800,0.003,-104.09356689453125,0.06026751548051834,0.8240868449211121,4.114449775218963
8431,168.62,50,2,3259,223.25971296,166600,0.003,-106.6807632446289,0.06052751466631889,1.2688868045806885,3.49889931678772
9431,184.92156862745097,51,2,3644,238.3837196862745,186600,0.003,-108.74846649169922,0.05317993089556694,-1.1344736814498901,2.253787189722061
10431,200.59615384615384,52,2,4032,253.16883857692306,206600,0.003,-107.32569885253906,0.04313495382666588,0.12317538261413574,1.600782573223114
11431,215.67924528301887,53,2,4420,267.3975932264151,226600,0.003,-108.97566223144531,0.03491618484258652,-0.005255982279777527,1.1832139372825623
12431,230.2037037037037,54,2,4804,281.04539255555557,246600,0.003,-106.15634155273438,0.04385486990213394,-0.1283486932516098,1.891689658164978
12589,228.8909090909091,55,2,4866,279.42162845454544,249760,0.003,-106.84242248535156,0.041596420109272,-0.20399600267410278,1.2111107856035233
13589,242.66071428571428,56,2,5251,292.39147173214286,269760,0.003,-106.5587158203125,0.041620127856731415,-0.8122280836105347,1.9680959641933442
14589,255.94736842105263,57,2,5637,305.0824072105263,289760,0.003,-103.89617919921875,0.03282621130347252,0.5919326543807983,1.4537473410367965
15485,266.98275862068965,58,2,5981,315.8858153275862,307680,0.003,-103.78748321533203,0.031702566891908646,-0.16021564602851868,1.1844679087400436
16145,273.64406779661016,59,2,6233,323.9995507288136,320880,0.003,-107.04942321777344,0.04478439688682556,-0.16802465915679932,1.4328410774469376
16250,270.8333333333333,60,2,6273,322.49779938333336,322980,0.003,-107.38604736328125,0.041067369282245636,-1.6704556941986084,1.8899648308753967
16344,267.9344262295082,61,2,6310,320.704634147541,324860,0.003,-107.70193481445312,0.027425069361925125,-1.0894417762756348,1.39126296043396
16443,265.2096774193548,62,2,6348,319.27788154838714,326840,0.003,-108.389892578125,0.028180012479424477,0.40979090332984924,1.6010690927505493
16543,262.58730158730157,63,2,6386,317.9339690793651,328840,0.003,-105.474853515625,0.02882079780101776,0.2745554447174072,1.8004455983638763
16639,259.984375,64,2,6423,316.44931795312505,330760,0.003,-107.3082046508789,0.027578895911574364,-0.4769817292690277,2.097555232048035
16743,257.5846153846154,65,2,6463,315.3147777076924,332840,0.003,-106.14503479003906,0.029582904651761055,-0.2782045006752014,1.6043857783079147
17736,268.72727272727275,66,2,6843,327.5602145000001,352700,0.003,-105.6136245727539,0.02686234936118126,-0.07761210203170776,1.0923590928316116
17843,266.3134328358209,67,2,6883,326.2779425373135,354840,0.003,-106.30748748779297,0.02913328818976879,0.874420166015625,1.0826808899641036
17943,263.86764705882354,68,2,6921,324.96797379411765,356840,0.003,-106.73876953125,0.030754175037145615,0.3148999512195587,1.3023330509662627
18043,261.4927536231884,69,2,6960,323.59465220289854,358840,0.003,-103.53240966796875,0.03052934817969799,-0.5016492009162903,1.2063086211681366
18146,259.22857142857146,70,2,7000,322.3627607857143,360900,0.003,-105.27572631835938,0.028237400576472282,-1.7420443296432495,1.3151784121990204
18390,259.01408450704224,71,2,7095,323.0282398450704,365780,0.003,-103.65594482421875,0.027660101652145386,0.17865416407585144,1.0599276006221772
18514,257.1388888888889,72,2,7144,322.0622646527778,368260,0.003,-102.50202178955078,0.026328610256314278,-0.10051888227462769,0.9707844644784928
18656,255.56164383561645,73,2,7198,321.3877896712329,371100,0.003,-103.10559844970703,0.02602679468691349,0.21140775084495544,1.3094466835260392
19149,258.77027027027026,74,2,7388,325.4725856756757,380960,0.003,-105.6054458618164,0.02606208808720112,-0.08302077651023865,1.1893646776676179
19284,257.12,75,2,7440,324.7334423866667,383660,0.003,-103.08076477050781,0.029780158773064613,-0.3239481449127197,1.3441489607095718
19408,255.3684210526316,76,2,7488,324.13902980263157,386140,0.003,-102.35981750488281,0.027956893667578697,0.4555240571498871,2.4605682134628295
19515,253.44155844155844,77,2,7530,323.20241448051945,388280,0.003,-102.01209259033203,0.030954508110880852,0.7545124888420105,1.393026402592659
19631,251.67948717948718,78,2,7575,322.4832661666666,390600,0.003,-100.01611328125,0.030222082510590553,-0.5921330451965332,1.3560082912445068
19772,250.27848101265823,79,2,7630,322.15432826582276,393420,0.003,-99.90055847167969,0.028233826160430908,0.3474854826927185,1.8730177491903306
19911,248.8875,80,2,7683,321.75783335,396200,0.003,-102.3995361328125,0.041706185787916183,-0.16007693111896515,1.5294220715761184
20011,247.0493827160494,81,2,7722,320.6736445061728,398200,0.003,-103.25325775146484,0.03172419220209122,-0.7902976870536804,1.47007357776165
20113,245.28048780487805,82,2,7762,319.6493036707317,400240,0.003,-101.90885162353516,0.029187461361289024,-0.0414426326751709,1.2964338034391403
