time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss
1,11,8.769061,51,11.0,0,,,,,,
2,42,20.658099,157,21.0,0,,,,,,
3,73,20.039274333333335,239,24.333333333333332,0,,,,,,
4,88,17.58205475,273,22.0,0,,,,,,
5,142,21.510432400000003,7,28.4,18,-12.513635635375977,-0.30576232075691223,0.003,0.8977100253105164,820,0.9189388126134872
6,198,25.02399916666667,4,33.0,40,-23.920650482177734,-0.7216048836708069,0.003,0.7593926787376404,1940,2.8355696380138395
7,242,32.48634242857143,4,34.57142857142857,60,-33.26207733154297,-0.9673473238945007,0.003,0.675004243850708,2820,1.815580850839615
8,272,34.64982425,3,34.0,72,-39.27190399169922,-0.969093382358551,0.003,0.6262200474739075,3420,1.591440337896347
9,308,37.80503933333333,3,34.22222222222222,86,-46.250423431396484,-1.1125706434249878,0.003,0.5719432234764099,4140,5.009093999862671
10,361,42.943616500000005,3,36.1,106,-57.08952331542969,-0.9134443998336792,0.003,0.5068405270576477,5200,2.46157820224762
11,463,58.93413318181819,3,42.09090909090909,146,-73.28784942626953,-1.168395757675171,0.003,0.40949663519859314,7240,3.6040867447853087
12,568,69.65942666666668,3,47.333333333333336,187,-87.94331359863281,-1.387553095817566,0.003,0.32697799801826477,9340,3.0658555924892426
13,606,68.88513938461539,2,46.61538461538461,202,-91.31034088134766,-1.2396678924560547,0.003,0.30548134446144104,10100,3.8497202932834624
14,683,74.72281092857143,2,48.785714285714285,234,-99.06441497802734,-1.6772390604019165,0.003,0.2581806480884552,11640,5.426841151714325
15,750,78.49534293333333,2,50.0,260,-102.49453735351562,-1.8766934871673584,0.003,0.22670145332813263,12980,15.829984056949616
16,839,85.1323639375,2,52.4375,295,-106.05906677246094,-1.9976780414581299,0.003,0.18551316857337952,14760,5.763576686382294
17,971,98.29294929411765,2,57.11764705882353,347,-111.24823760986328,-1.3504310846328735,0.003,0.1463232785463333,17400,8.401279056072235
18,999,95.48448627777778,2,55.5,358,-112.99211883544922,-1.8751263618469238,0.003,0.13978233933448792,17960,16.007546615600585
19,1030,93.28526357894737,2,54.21052631578947,371,-115.05960083007812,-0.865816593170166,0.003,0.13282456994056702,18580,4.6685836017131805
20,1114,97.50267475000001,2,55.7,404,-115.60443115234375,-0.4162136912345886,0.003,0.11743192374706268,20260,17.677210450172424
21,1161,96.89368052380954,2,55.285714285714285,423,-117.1504898071289,-0.5259896516799927,0.003,0.11152226477861404,21200,12.017677628993988
22,1201,95.72949240909092,2,54.59090909090909,438,-116.9027099609375,-0.04182659834623337,0.003,0.10702566057443619,22000,7.061186230182647
23,1262,96.08682343478262,2,54.869565217391305,462,-119.38325500488281,-1.0345871448516846,0.003,0.10072968155145645,23220,22.2611567735672
24,1304,95.10655504166668,2,54.333333333333336,479,-119.77840423583984,-0.4875165522098541,0.003,0.09685812890529633,24060,6.472263562679291
25,1359,95.345133,2,54.36,501,-119.09202575683594,1.1762173175811768,0.003,0.09689649939537048,25160,35.62696027755737
26,1388,93.58861776923078,2,53.38461538461539,512,-120.70245361328125,0.7985348701477051,0.003,0.10056845098733902,25740,15.726706981658936
27,1460,95.09471070370371,2,54.074074074074076,541,-119.24853515625,0.7304961681365967,0.003,0.10314521193504333,27180,10.79856605529785
28,1489,93.43904189285715,2,53.17857142857143,552,-119.5008773803711,2.4353621006011963,0.003,0.10631868988275528,27760,34.550782203674316
29,1519,91.94528079310345,2,52.37931034482759,564,-118.94285583496094,2.453981637954712,0.003,0.11563324928283691,28360,22.037234210968016
30,1625,96.0153465,2,54.166666666666664,606,-115.1820068359375,0.6867821216583252,0.003,0.1363145411014557,30480,29.295325565338135
