time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
20,1,20.0,0,11.706912,110,,,,,,
34,2,17.0,0,12.087782,165,,,,,,
64,3,21.333333333333332,0,14.254571333333333,268,,,,,,
74,4,18.5,0,12.4829825,294,,,,,,
98,5,19.6,0,14.507979800000001,346,,,,,,
113,6,18.833333333333332,6,14.131674000000002,17,0.9718690514564514,6.006788516044617,240,-0.07336481660604477,0.003,-6.058285713195801
125,7,17.857142857142858,11,13.582038571428573,11,0.9357107281684875,1.121562096476555,480,-0.18999454379081726,0.003,-8.841853141784668
216,8,27.0,45,35.905752375,4,0.7150532007217407,3.3713997542858123,2300,-0.7876381874084473,0.003,-30.231460571289062
259,9,28.77777777777778,61,40.25426611111111,4,0.6364994645118713,3.653951269388199,3160,-1.0457499027252197,0.003,-41.492652893066406
314,10,31.4,82,46.056022199999994,3,0.5548076033592224,6.769158947467804,4260,-0.7805356979370117,0.003,-53.597869873046875
379,11,34.45454545454545,107,53.009936181818176,3,0.4861971139907837,5.405097103118896,5560,-1.0303969383239746,0.003,-70.77015686035156
430,12,35.833333333333336,126,55.83881758333333,3,0.44350770115852356,8.822535800933839,6580,-1.0040292739868164,0.003,-80.53547668457031
475,13,36.53846153846154,143,57.194775230769224,3,0.4068576395511627,10.41238329410553,7480,-1.039268970489502,0.003,-83.95051574707031
500,14,35.714285714285715,153,56.202528928571425,3,0.38840749859809875,5.6607287406921385,7980,-1.1293623447418213,0.003,-84.07345581054688
538,15,35.86666666666667,167,56.65223633333333,3,0.3678642511367798,12.858465957641602,8740,-1.056419849395752,0.003,-86.64501953125
572,16,35.75,181,56.699051625,3,0.3493673801422119,11.609468078613281,9420,-0.8953894376754761,0.003,-90.3267822265625
629,17,37.0,203,59.430934588235296,3,0.3245218098163605,19.070226764678956,10560,-0.7195322513580322,0.003,-91.50648498535156
662,18,36.77777777777778,216,58.720832388888894,3,0.31367161870002747,8.668503522872925,11220,-0.33080029487609863,0.003,-90.58879089355469
698,19,36.73684210526316,230,58.39573294736842,3,0.30371564626693726,17.12136583328247,11940,-0.8944779634475708,0.003,-89.76422882080078
764,20,38.2,255,61.98679394999999,2,0.29491564631462097,29.355907249450684,13260,0.06070009618997574,0.003,-91.85072326660156
845,21,40.23809523809524,286,67.28952985714284,2,0.3104746639728546,14.218274402618409,14880,0.08989761769771576,0.003,-101.15887451171875
969,22,44.04545454545455,334,74.83171809090908,2,0.32662349939346313,13.250320339202881,17360,-0.1078265830874443,0.003,-106.88687896728516
1089,23,47.34782608695652,382,80.98667743478259,2,0.31924664974212646,17.550539827346803,19760,-0.3058214783668518,0.003,-113.6771240234375
1162,24,48.416666666666664,410,83.99669933333334,2,0.3119165897369385,20.908607387542723,21220,-0.2548079788684845,0.003,-120.09263610839844
1253,25,50.12,446,88.81226572000001,2,0.30500146746635437,16.29501876831055,23040,-0.21593226492404938,0.003,-118.51042175292969
1332,26,51.23076923076923,475,91.90211696153847,2,0.29019784927368164,14.673924875259399,24620,-0.5967346429824829,0.003,-125.56663513183594
1411,27,52.25925925925926,506,92.49606177777778,2,0.27479392290115356,15.810636854171753,26200,-0.05815070867538452,0.003,-125.02253723144531
1710,28,61.07142857142857,620,103.49682121428573,2,0.33074769377708435,20.487315034866334,32180,0.44650888442993164,0.003,-112.14771270751953
1825,29,62.93103448275862,666,107.5055961724138,2,0.3456975221633911,23.648228883743286,34480,-0.1111489087343216,0.003,-113.29902648925781
1968,30,65.6,721,112.9294538,2,0.32729002833366394,18.44501099586487,37340,-0.04376036673784256,0.003,-100.23623657226562
2079,31,67.06451612903226,763,113.89068151612904,2,0.3008456528186798,18.202620697021484,39560,-0.2964007556438446,0.003,-99.11430358886719
2319,32,72.46875,854,121.53592331249999,2,0.28433799743652344,14.18849868774414,44360,-0.32156282663345337,0.003,-85.26600646972656
2454,33,74.36363636363636,907,125.75629239393939,2,0.26692384481430054,12.643110942840575,47060,-0.25544974207878113,0.003,-87.00279998779297
2579,34,75.8529411764706,957,129.40747329411764,2,0.2519477605819702,12.824593830108643,49560,-0.3473435938358307,0.003,-95.95138549804688
2712,35,77.48571428571428,1007,133.5057608,2,0.2632543742656708,12.333878469467162,52220,-0.22813290357589722,0.003,-103.284912109375
2860,36,79.44444444444444,1063,137.7110561111111,2,0.2635006010532379,11.465950298309327,55180,0.016479525715112686,0.003,-109.68733215332031
2991,37,80.83783783783784,1113,141.46884494594593,2,0.2515392601490021,8.551429724693298,57800,0.08154253661632538,0.003,-110.84780883789062
3130,38,82.36842105263158,1168,145.1451795526316,2,0.21716023981571198,9.498121881484986,60580,-0.613732099533081,0.003,-110.67794036865234
3279,39,84.07692307692308,1224,148.30386992307692,2,0.1698261946439743,7.220719909667968,63560,-0.4928404986858368,0.003,-102.21746826171875
4279,40,106.975,1608,169.45917645,2,0.10974877327680588,5.363627219200135,83560,-0.18058305978775024,0.003,-118.6074447631836
5279,41,128.7560975609756,1990,189.37561499999998,2,0.09867575019598007,4.870596396923065,103560,0.18997029960155487,0.003,-118.58415222167969
5341,42,127.16666666666667,2014,185.53909964285714,2,0.09488882124423981,6.071343863010407,104800,-0.5402422547340393,0.003,-122.25643920898438
6230,43,144.88372093023256,2355,204.66969690697675,2,0.1432560682296753,9.950704407691955,122580,0.09780126810073853,0.003,-124.5042495727539
