time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss
0,3.846126,83,20.0,1,20,,,,,,
0,1.789072,119,15.5,2,31,,,,,,
0,3.9691073333333335,200,19.333333333333332,3,58,,,,,,
0,4.54637375,247,19.0,4,76,,,,,,
0,4.270359,285,18.2,5,91,,,,,,
2,2.977616833333333,40,17.333333333333332,6,104,60,0.003,-1.0089085936546325,2.113240307569504,0.8672836869955063,-7.063181018829345
15,4.683918571428571,10,22.285714285714285,7,156,1100,0.003,-0.28173129111528394,0.04972222112119198,0.13272518590092658,-10.569645214080811
22,3.80490275,8,24.75,8,198,1940,0.003,0.22114607244729995,0.1078097928315401,0.12313653789460659,-14.77731876373291
33,-0.9326186666666669,8,30.0,9,270,3380,0.003,0.24153951071202756,0.27340152785182,0.16927887573838235,-22.85730113983154
59,1.1581687999999999,6,37.7,10,377,5520,0.003,0.16375780925154687,0.38208151906728743,0.24087187722325326,-34.847389793396
62,1.6631872727272727,6,36.27272727272727,11,399,5960,0.003,-0.20356588773429393,0.8124599546194077,0.2591884881258011,-38.84076499938965
92,23.139122666666665,5,46.0,12,552,9020,0.003,-0.03297011777758598,0.7814352720975876,0.3175281837582588,-59.152741050720216
121,16.640730384615384,5,52.46153846153846,13,682,11620,0.003,0.052972102724015716,1.0466386735439301,0.35480709820985795,-81.7632495880127
148,25.0860055,5,58.0,14,812,14220,0.003,-0.05602569431066513,1.8617447316646576,0.3952604874968529,-106.55593070983886
166,25.826110866666667,5,59.93333333333333,15,899,15960,0.003,-0.004037785623222589,3.5499206304550173,0.46557217836380005,-133.27007064819335
168,24.5027870625,5,57.1875,16,915,16280,0.003,-0.0595819647423923,6.257279753684998,0.49437486231327055,-138.92727355957032
172,23.160426823529413,5,54.76470588235294,17,931,16600,0.003,0.13992641158401967,7.726454877853394,0.52750723361969,-145.12222442626953
184,22.967235388888888,5,54.666666666666664,18,984,17660,0.003,0.004173135384917259,8.196668648719788,0.6858082264661789,-166.6516891479492
188,21.617885263157895,5,52.8421052631579,19,1004,18060,0.003,-0.030328203924000263,10.107876920700074,0.7171523332595825,-176.02279891967774
196,20.28105095,5,52.1,20,1042,18820,0.003,-0.001885402691550553,11.458969926834106,0.811617973446846,-191.45374145507813
215,21.439111142857143,5,53.333333333333336,21,1120,20380,0.003,-0.0011473740654764698,26.418736362457274,1.0217237234115601,-228.16895446777343
