time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
22,1,110,0,22.0,15.873148,,,,,,
58,2,271,0,29.0,19.550205,,,,,,
100,3,436,0,33.333333333333336,30.135225333333334,,,,,,
115,4,30,3,28.75,25.90191175,280,0.003,0.031009563617408274,0.4471702232956886,-2.325792706012726,-5.250140500068665
162,5,12,13,32.4,32.320592399999995,1220,0.003,0.05604127012193203,0.11397218629717827,0.4879811443388462,-11.95915446281433
171,6,11,15,28.5,28.275934166666662,1400,0.003,0.062112818285822866,0.13034445345401763,0.8095018077641726,-13.48752589225769
184,7,10,17,26.285714285714285,25.822354999999995,1660,0.003,0.07337361052632332,0.15428807735443115,0.20547430645674467,-15.250698804855347
306,8,7,43,38.25,51.98003775,4100,0.003,0.23182497173547745,0.3397868350148201,-0.0330400075763464,-35.9727897644043
318,9,6,46,35.333333333333336,47.04044666666667,4340,0.003,0.5771549016237258,0.3367960572242737,0.04001631801947951,-38.99009056091309
344,10,6,51,34.4,45.581420099999995,4860,0.003,0.3350002333521843,0.3791260033845901,-0.016195612400770186,-45.25487842559814
374,11,6,57,34.0,46.02432963636363,5460,0.003,0.585203155875206,0.4025278091430664,-0.04864752758294344,-50.67808532714844
487,12,5,81,40.583333333333336,59.66536558333333,7720,0.003,1.6212932109832763,0.4482802957296371,0.02778064776211977,-70.46203842163087
513,13,5,86,39.46153846153846,55.381358846153844,8240,0.003,1.4320960462093353,0.5852120339870452,-0.012307291361503303,-78.56755332946777
541,14,5,92,38.642857142857146,51.734875928571434,8800,0.003,3.384083569049835,0.7250952273607254,-0.004404657054692507,-86.89049911499023
571,15,5,98,38.06666666666667,48.67056146666667,9400,0.003,3.4269986033439634,0.7883844822645187,-0.0025051119038835166,-94.20822677612304
604,16,5,105,37.75,46.045428125,10060,0.003,3.7581994414329527,0.7868095904588699,-0.01892778624314815,-99.54874992370605
658,17,5,116,38.705882352941174,44.64153605882353,11140,0.003,3.361509454250336,0.784333935379982,0.0016995506128296256,-106.33362312316895
723,18,5,130,40.166666666666664,45.76343816666667,12440,0.003,7.708367800712585,1.0337127923965455,-0.0018346466327784582,-109.82083168029786
813,19,5,148,42.78947368421053,53.250742736842106,14240,0.003,7.551669239997864,1.1825326442718507,-0.002381604188121855,-120.08734321594238
971,20,5,181,48.55,57.6361129,17400,0.003,25.63708963394165,2.0228118896484375,-0.010229787230491639,-172.9973602294922
1046,21,5,197,49.80952380952381,57.66962428571429,18900,0.003,32.014249324798584,2.4325963497161864,-0.026636646874248982,-213.67679595947266
1074,22,5,203,48.81818181818182,57.17025881818183,19460,0.003,93.0444471359253,2.9746516942977905,-0.06730125490576029,-240.31938705444335
