time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
35,0,35.506717,35.0,128,1,,,,,,
50,0,22.4588,25.0,171,2,,,,,,
61,0,17.383108333333332,20.333333333333332,201,3,,,,,,
79,0,15.18589525,19.75,248,4,,,,,,
92,0,14.2224526,18.4,280,5,,,,,,
108,3,12.981268166666666,18.0,27,6,-4.760896849632263,-1.1813646852970123,0.003,140,0.6762919187545776,0.06298199091106653
194,23,31.044709285714283,27.714285714285715,8,7,-15.796317338943481,0.34089103192090986,0.003,1860,0.1136799018830061,0.058175455592572686
239,34,37.512539874999995,29.875,6,8,-23.209663677215577,0.4482894234359264,0.003,2760,0.14512234106659888,0.14544559121131898
261,38,37.53802744444444,29.0,6,9,-27.22240581512451,0.1906851552426815,0.003,3200,0.16561038866639138,0.19195723049342633
340,56,48.159042799999995,34.0,5,10,-39.55628337860107,0.05272276848554611,0.003,4780,0.24557907953858377,0.25872618407011033
389,68,51.361492818181816,35.36363636363637,5,11,-46.955207443237306,-0.022583612613379954,0.003,5760,0.2850306823849678,0.2870199277997017
464,86,59.7279935,38.666666666666664,5,12,-62.72333526611328,0.0285587502643466,0.003,7260,0.45634026676416395,0.844469228386879
519,98,62.46210769230769,39.92307692307692,5,13,-75.87930717468262,-0.05948650715872646,0.003,8360,0.5121080756187439,1.8070990979671477
531,101,58.55497835714285,37.92857142857143,5,14,-79.17727775573731,0.03918276140466333,0.003,8600,0.5157533377408982,1.918564009666443
544,104,55.33645746666666,36.266666666666666,5,15,-83.64514656066895,0.022822287678718568,0.003,8860,0.7646474182605744,4.026257705688477
569,109,52.551992125,35.5625,5,16,-93.83345680236816,0.0004229649077387876,0.003,9360,0.9892559498548508,4.1052040457725525
595,116,50.09357835294117,35.0,5,17,-101.38791732788086,-0.009562664432451129,0.003,9880,0.8661302506923676,4.289754390716553
684,134,54.311602388888886,38.0,5,18,-128.35581321716307,3.485343186184764e-05,0.003,11660,0.9600034713745117,3.637950837612152
751,149,57.8074302631579,39.526315789473685,5,19,-149.9059730529785,0.009055729163810611,0.003,13000,1.2599575102329255,7.796794152259826
921,187,72.79267675,46.05,4,20,-229.4878677368164,-0.012880342593416572,0.003,16400,2.0108221054077147,17.337500762939452
940,191,70.14974914285715,44.76190476190476,4,21,-245.76069259643555,-0.05729785114526749,0.003,16780,2.09981654882431,18.29550633430481
954,194,67.5104684090909,43.36363636363637,4,22,-254.8309555053711,-0.038397300709038976,0.003,17060,2.375933289527893,37.74060001373291
970,197,65.12411808695653,42.17391304347826,4,23,-264.2212303161621,-0.06360807493329049,0.003,17380,2.733566904067993,79.02756366729736
985,200,62.91521991666667,41.041666666666664,4,24,-274.5030685424805,0.08088746573776007,0.003,17680,2.8943771362304687,67.09695262908936
1002,204,61.01709812,40.08,4,25,-286.7871032714844,0.04145414773374796,0.003,18020,2.820388638973236,50.637191200256346
1128,234,66.2405943076923,43.38461538461539,4,26,-366.32378540039065,-0.05102988025173545,0.003,20540,3.2847102284431458,57.49503765106201
1171,244,66.27444144444445,43.370370370370374,4,27,-395.8075149536133,0.05172349475324154,0.003,21400,3.352914071083069,287.25915641784667
1418,297,77.415228,50.642857142857146,4,28,-998.1344787597657,-0.24605459906160831,0.003,26340,11.396818447113038,860.885775756836
1472,308,77.07269651724138,50.758620689655174,4,29,-1154.7875610351562,0.14266057759523393,0.003,27420,12.521513605117798,1185.958514404297
1691,352,87.36634383333333,56.36666666666667,4,30,-2063.6425231933595,-0.03977561667561531,0.003,31800,22.877035522460936,3460.8049194335936
1860,388,94.93370251612903,60.0,4,31,-2825.536242675781,0.16433695405721666,0.003,35180,31.430148220062257,6767.996484375
1891,395,93.63515215625,59.09375,4,32,-2983.960986328125,0.2798582162708044,0.003,35800,32.573798751831056,7080.661572265625
2030,427,99.54798142424242,61.515151515151516,4,33,-3915.734423828125,0.18775242418050767,0.003,38580,45.55936164855957,19997.851416015626
2170,458,105.95643120588235,63.8235294117647,4,34,-5800.0242919921875,-0.02363247275352478,0.003,41380,72.55074348449708,38545.19970703125
2323,492,111.98572411428572,66.37142857142857,4,35,-7872.29091796875,-0.2150688052177429,0.003,44440,83.53334350585938,51637.51640625
2490,529,117.8173253888889,69.16666666666667,4,36,-10039.415380859375,-0.3758005931973457,0.003,47780,95.35742568969727,72240.3595703125
2578,549,119.1397254864865,69.67567567567568,4,37,-11859.645947265624,0.08944840729236603,0.003,49540,123.81224975585937,94989.144921875
2666,568,120.39186518421054,70.15789473684211,4,38,-14392.646044921876,0.08881514184176922,0.003,51300,142.25265579223634,123193.3
2698,575,118.75243543589745,69.17948717948718,4,39,-15004.178759765626,0.22465438768267632,0.003,51940,137.90327072143555,133117.841796875
2785,596,119.80136387500002,69.625,4,40,-15420.250927734374,-0.32979397401213645,0.003,53680,120.30582580566406,194438.76640625
2967,636,125.24484743902441,72.36585365853658,4,41,-14075.087646484375,-0.13531717509031296,0.003,57320,110.26055335998535,137979.53203125
3348,717,134.3054745,79.71428571428571,4,42,-12199.4470703125,0.6124198123812675,0.003,64940,95.53355293273925,98917.75859375
3521,755,138.10268353488374,81.88372093023256,4,43,-11497.028662109375,0.38667009882628917,0.003,68400,98.36162872314453,81634.096875
3663,786,141.05340097727273,83.25,4,44,-10639.88271484375,0.03972223475575447,0.003,71240,75.89154891967773,84370.0353515625
3699,794,138.0990890888889,82.2,4,45,-10575.925341796876,-0.07688923440873623,0.003,71960,76.88573341369629,92945.834765625
3763,810,135.79579471739132,81.80434782608695,4,46,-10945.244873046875,0.09535137675702572,0.003,73240,78.01318893432617,87712.180078125
4015,866,137.60213644680852,85.42553191489361,4,47,-10468.768994140624,0.11452236734330654,0.003,78280,83.23175582885742,71495.0119140625
