time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
1,20.198028,137,22.0,0,22,,,,,,
2,19.388662500000002,308,28.5,0,57,,,,,,
3,15.721177666666668,360,23.333333333333332,0,70,,,,,,
4,16.43677775,445,23.5,0,94,,,,,,
5,15.696580800000001,41,22.0,2,110,-0.03506577014923096,0.9842122793197632,-5.9989728927612305,0.003,180,2.2012460708618162
6,18.933160166666667,24,23.0,5,138,-0.2845384478569031,0.9026566743850708,-12.751985549926758,0.003,740,0.25079858154058454
7,24.559924857142857,17,25.714285714285715,10,180,-0.5943682193756104,0.7944261431694031,-21.29050636291504,0.003,1580,0.6547434777021408
8,30.688680500000004,14,28.125,15,225,-0.7824428081512451,0.6997664570808411,-30.69759750366211,0.003,2480,0.6011839807033539
9,34.20422255555556,13,29.22222222222222,19,263,-0.9311904907226562,0.6333540081977844,-40.08882522583008,0.003,3240,0.6834789365530014
10,37.9170118,12,30.6,24,306,-1.1455734968185425,0.5690053105354309,-49.793704986572266,0.003,4100,1.8639093667268753
11,47.96339436363637,11,34.81818181818182,32,383,-0.7891925573348999,0.47802817821502686,-67.09310913085938,0.003,5640,0.5751646533608437
12,49.871598250000005,11,35.5,37,426,-0.9678715467453003,0.4354720711708069,-74.58285522460938,0.003,6500,0.8269554078578949
13,49.48117638461539,11,34.84615384615385,40,453,-1.3745677471160889,0.4104458689689636,-79.91725158691406,0.003,7040,1.5469325065612793
14,56.542691357142864,10,37.785714285714285,48,529,-1.3473154306411743,0.3486904203891754,-91.51475524902344,0.003,8560,4.140987354516983
15,55.704446600000004,10,37.0,51,555,-1.5458228588104248,0.32907161116600037,-95.12371826171875,0.003,9080,2.5654668390750883
16,63.5023165625,10,40.0,61,640,-1.909076452255249,0.2754426598548889,-106.14753723144531,0.003,10780,1.7400024637579918
17,62.45234388235294,10,39.23529411764706,64,667,-1.5696256160736084,0.2584627866744995,-109.17411804199219,0.003,11320,0.7412595719099044
18,61.340842111111115,10,38.44444444444444,67,692,-2.086193084716797,0.24554769694805145,-112.0191879272461,0.003,11820,5.047605788707733
