rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
13.0,59,0,13,1,10.114756,,,,,,
28.0,212,0,56,2,27.287263,,,,,,
25.666666666666668,269,0,77,3,20.276118,,,,,,
22.75,304,0,91,4,18.12616975,,,,,,
21.0,33,3,105,5,16.7962754,80,0.003,0.1357670970261097,0.8103288590908051,-4.887678599357605,-0.6359153032302857
19.166666666666668,21,5,115,6,15.254112166666665,280,0.003,0.06293094493448734,0.449401481449604,-4.942961502075195,-2.238454449176788
19.142857142857142,13,9,134,7,14.703323857142857,660,0.003,0.02924574017524719,0.18091775178909303,-6.419260191917419,-2.324137049913406
27.5,7,27,220,8,27.046213875,2380,0.003,0.043817303888499734,0.11765560507774353,-17.281876659393312,0.024371344596147537
31.22222222222222,7,39,281,9,36.878488999999995,3600,0.003,0.549796886742115,0.41882678121328354,-25.72123146057129,0.016755701415240763
34.9,6,55,349,10,46.88611469999999,4960,0.003,0.54240100979805,0.39555823504924775,-36.0785737991333,0.10715650320053101
43.81818181818182,5,84,482,11,65.12451081818182,7620,0.003,1.6324011981487274,0.5667880237102508,-52.42855644226074,0.03621140131726861
41.75,5,89,501,12,61.396516083333324,8000,0.003,1.692149966955185,0.6016025722026825,-55.007910346984865,-0.06911556543782353
47.0,5,113,611,13,68.88607923076923,10200,0.003,2.6232170462608337,0.5774269044399262,-69.37196502685546,-0.053746063355356456
48.857142857142854,5,129,684,14,74.5252407142857,11660,0.003,5.562275087833404,0.7699086278676986,-76.62459144592285,-0.001509168604388833
50.733333333333334,5,147,761,15,80.19041253333332,13200,0.003,3.9075971961021425,0.7724578469991684,-86.49170532226563,-0.025322498567402364
54.0,5,171,864,16,88.6585685,15260,0.003,3.7183570146560667,0.8269039928913117,-92.49142150878906,-0.004533506347797811
58.64705882352941,4,201,997,17,97.777935,17920,0.003,2.8885795712471007,0.6927967131137848,-96.80957298278808,-0.010017924173735083
64.05555555555556,4,236,1153,18,107.45684827777778,21040,0.003,2.572539806365967,0.5824554651975632,-98.63725357055664,-0.03681424362584949
66.3157894736842,4,261,1260,19,113.68791621052632,23180,0.003,2.4306527018547057,0.5067703872919083,-97.8011360168457,0.06782995443791151
63.65,4,264,1273,20,108.03375905,23440,0.003,4.585023963451386,0.7330117911100388,-103.13839073181153,0.01324879894964397
61.523809523809526,4,268,1292,21,102.85394980952381,23820,0.003,8.738778519630433,1.160441529750824,-111.32104110717773,-0.003624456434044987
59.18181818181818,4,270,1302,22,98.21052931818181,24020,0.003,10.693949556350708,1.1812033653259277,-117.30331192016601,-0.0008646793430671096
57.47826086956522,4,274,1322,23,93.95460382608695,24420,0.003,15.881871128082276,1.2631665825843812,-128.18526954650878,-0.0029694407247006895
55.916666666666664,4,278,1342,24,90.06021700000001,24820,0.003,12.699632787704468,1.1889092683792115,-134.81805038452148,0.004793143924325704
54.4,4,281,1360,25,86.73858908,25180,0.003,9.581378698348999,0.963233208656311,-137.72816696166993,-0.003474223965895362
53.26923076923077,4,287,1385,26,83.89040838461538,25680,0.003,7.804274797439575,0.8858930617570877,-138.4524803161621,0.008825853664893657
55.074074074074076,4,308,1487,27,83.75176322222222,27720,0.003,6.031910872459411,1.0059600949287415,-154.64107360839844,0.0009371189346666142
60.285714285714285,4,354,1688,28,89.19877707142857,31740,0.003,18.916192150115968,1.4814404606819154,-205.67671585083008,-0.015393347572535276
62.93103448275862,4,386,1825,29,95.04388044827586,34480,0.003,43.92307357788086,1.587933248281479,-222.24185028076172,-0.04280474632978439
76.43333333333334,4,489,2293,30,108.68267323333333,43840,0.003,21.148020887374877,1.2537725031375886,-250.75784759521486,0.0016137248370796443
83.48387096774194,4,555,2588,31,114.47706125806451,49740,0.003,16.08164510726929,0.981395223736763,-232.89356536865233,0.0010200254037044942
92.96875,4,638,2975,32,124.6656564375,57480,0.003,27.756683158874512,1.1403374373912811,-246.35321807861328,0.007421196880750358
96.63636363636364,4,684,3189,33,127.60432712121212,61760,0.003,132.50342140197753,2.041812562942505,-359.05071716308595,0.03547796262428164
96.52941176470588,4,703,3282,34,130.01703361764706,63620,0.003,310.550040435791,2.7089017987251283,-475.73341217041013,-0.09912038128823042
95.62857142857143,4,717,3347,35,129.8950758,64920,0.003,478.8744613647461,3.577131247520447,-582.4042114257812,-0.03781593879684806
95.30555555555556,4,736,3431,36,131.38643647222224,66600,0.003,1022.4750274658203,4.517234206199646,-688.4253723144532,-0.03440950363874436
95.24324324324324,4,757,3524,37,133.5304784054054,68460,0.003,1205.0807037353516,5.3284742593765255,-821.6837951660157,0.027103194408118723
95.36842105263158,4,777,3624,38,135.88368855263158,70460,0.003,1281.0333923339845,7.477184462547302,-993.7294158935547,-0.04114732444286347
95.41025641025641,4,799,3721,39,138.08960512820514,72400,0.003,1920.5564453125,8.711118936538696,-1164.4013549804688,0.022724628448486328
95.325,4,819,3813,40,139.883301975,74240,0.003,1538.518359375,9.802426195144653,-1324.1777465820312,0.23583599738776684
96.4390243902439,4,849,3954,41,144.45094707317074,77060,0.003,1002.110595703125,9.881269359588623,-1480.7289184570313,0.2265040861442685
96.19047619047619,4,865,4040,42,145.47658621428573,78780,0.003,950.8089630126954,8.98808741569519,-1545.1590942382813,0.012948999088257552
97.4186046511628,4,898,4189,43,148.3760211627907,81760,0.003,1301.8650451660155,9.52913303375244,-1728.366192626953,0.08876144029200077
97.5909090909091,4,920,4294,44,150.19652727272728,83860,0.003,1114.585516357422,6.58374171257019,-1705.7606262207032,-0.1299070358276367
97.62222222222222,4,942,4393,45,150.69640084444447,85840,0.003,1251.0105407714843,7.377633166313172,-1644.1227905273438,-0.39758153483271597
98.80434782608695,4,975,4545,46,153.6996631956522,88880,0.003,4421.46875,9.728211212158204,-1736.986346435547,-0.34902466237545016
98.72340425531915,4,996,4640,47,154.96096078723406,90780,0.003,6657.0242919921875,13.824212169647216,-1976.13896484375,0.09325184449553489
97.91666666666667,4,1010,4700,48,153.84721827083334,91980,0.003,7851.571948242187,18.60301923751831,-2397.444128417969,-0.2800089493393898
96.3061224489796,4,1014,4719,49,151.0268616734694,92360,0.003,9457.167651367188,19.667099952697754,-2516.5096923828123,-0.032691840827465055
94.72,4,1018,4736,50,148.27332366000002,92700,0.003,15032.554931640625,20.32148494720459,-2616.655480957031,-0.5047453083097935
93.15686274509804,4,1021,4751,51,145.59355841176472,93000,0.003,12970.629638671875,22.357887554168702,-2722.372412109375,0.08122932761907578
91.63461538461539,4,1024,4765,52,142.96997234615384,93280,0.003,14836.358056640625,23.31303005218506,-2864.3215087890626,0.07116685248911381
90.24528301886792,4,1028,4783,53,140.5784373018868,93640,0.003,12706.543017578126,24.846965503692626,-2985.4330444335938,0.04904517978429794
88.96296296296296,4,1032,4804,54,138.36375955555556,94060,0.003,15075.87724609375,25.925745296478272,-3146.9108276367188,0.15123009458184242
87.9090909090909,4,1039,4835,55,136.49850412727272,94680,0.003,15725.446044921875,26.805695152282716,-3420.911486816406,0.12091024145483971
87.03571428571429,4,1048,4874,56,135.01441676785714,95460,0.003,22316.054052734376,29.137262725830077,-3786.8091064453124,0.21476923301815987
88.70175438596492,4,1087,5056,57,138.13383868421053,99100,0.003,54501.026953125,45.746282958984374,-6212.1986328125,-0.6493532799184323
89.36206896551724,4,1113,5183,58,140.0404939137931,101640,0.003,88439.619140625,49.84389305114746,-7614.093798828125,-0.6125128328800201
89.79661016949153,4,1137,5298,59,141.5911031186441,103940,0.003,98883.04453125,59.04864845275879,-8676.0236328125,0.317214660346508
90.41666666666667,4,1164,5425,60,144.14805006666668,106480,0.003,128923.393359375,73.97759857177735,-10919.92216796875,-0.3884658046066761
91.04918032786885,4,1194,5554,61,146.7639202622951,109060,0.003,161986.06953125,92.68429641723633,-13351.81328125,0.3559847578406334
91.2258064516129,4,1218,5656,62,148.10915666129034,111100,0.003,258656.38671875,102.79269256591797,-15169.354638671875,-0.6519775204360485
91.34920634920636,4,1239,5755,63,149.29560436507938,113080,0.003,268801.9796875,111.89310874938965,-16702.3318359375,0.745254385471344
91.328125,4,1258,5845,64,150.170802421875,114880,0.003,268105.9046875,120.3827350616455,-17839.97529296875,0.07492663115262985
91.49230769230769,4,1283,5947,65,151.3007484,116920,0.003,290051.68828125,128.5442756652832,-19192.92158203125,0.11984758824110031
92.01515151515152,4,1309,6073,66,152.99403813636363,119440,0.003,315959.7796875,130.3743667602539,-20405.5845703125,0.19575287848711015
92.05970149253731,4,1330,6168,67,153.88669607462688,121340,0.003,317379.1171875,127.86070365905762,-20472.1037109375,-0.0462367981672287
92.79411764705883,4,1361,6310,68,156.47110555882352,124180,0.003,299033.24296875,120.69045524597168,-19712.92109375,0.2722123295068741
94.40579710144928,4,1407,6514,69,159.86464233333334,128260,0.003,249573.5828125,114.66550941467285,-19697.80234375,-0.3679506920278072
95.24285714285715,4,1442,6667,70,161.46777082857142,131320,0.003,225307.1125,107.8440097808838,-18459.78916015625,-0.5820959486067295
96.71830985915493,4,1484,6867,71,163.82776416901407,135320,0.003,203967.26328125,103.17581825256347,-17051.2525390625,0.16591002494096757
98.40277777777777,4,1532,7085,72,166.22022606944444,139680,0.003,161560.353125,91.43075408935547,-15429.054150390624,-0.5797023631632328
99.47945205479452,4,1572,7262,73,167.80834853424656,143220,0.003,146820.735546875,84.96131324768066,-13876.984130859375,0.02882160060107708
99.10810810810811,4,1588,7334,74,166.9986821216216,144660,0.003,138955.367578125,81.54385261535644,-13455.581103515626,-0.12045655250549317
99.08,4,1609,7431,75,166.86175083999998,146600,0.003,158798.805078125,75.94948692321778,-12561.748388671875,0.5818197801709175
98.88157894736842,4,1627,7515,76,166.79658014473685,148280,0.003,155160.063671875,66.0136589050293,-12057.4455078125,-0.4881898246705532
99.40259740259741,4,1658,7654,77,166.11441542857145,151060,0.003,195451.758984375,69.0207389831543,-11881.3140625,-0.21112431287765504
