time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
25,0,25.0,20.133877,1687,1,,,,,,
40,0,20.0,15.41499,1755,2,,,,,,
61,0,20.333333333333332,12.589683666666666,1870,3,,,,,,
100,0,25.0,16.11262025,1940,4,,,,,,
134,9,26.8,20.371799399999997,13,5,660,-11.479278564453125,0.1979753240942955,0.9191272854804993,-0.23600611090660095,0.003
207,31,34.5,36.19727016666666,6,6,2120,-28.487855911254883,0.28558494672179224,0.7429488301277161,-0.646799623966217,0.003
338,70,48.285714285714285,66.47454728571428,4,7,4740,-61.69185256958008,0.2791316032409668,0.5281718969345093,-1.2425179481506348,0.003
391,85,48.875,69.916156,4,8,5800,-73.16558837890625,0.42777109816670417,0.46166330575942993,-1.5825163125991821,0.003
539,131,59.888888888888886,93.49854111111111,4,9,8760,-100.69544219970703,0.5975898683071137,0.31526923179626465,-1.901996374130249,0.003
585,144,58.5,91.92639009999999,4,10,9680,-108.18594360351562,0.3757481314241886,0.2837897837162018,-2.3016748428344727,0.003
680,172,61.81818181818182,101.08520727272726,3,11,11580,-122.23112487792969,0.4781181275844574,0.2321513146162033,-2.281048536300659,0.003
706,181,58.833333333333336,96.45131558333333,3,12,12100,-125.62089538574219,1.4149740740656853,0.22161965072155,-2.074993371963501,0.003
732,188,56.30769230769231,92.44056923076923,3,13,12620,-129.3044891357422,1.4892094656825066,0.21311022341251373,-1.002241849899292,0.003
837,220,59.785714285714285,100.94091728571428,3,14,14720,-142.88746643066406,0.7076225206255913,0.17689000070095062,-2.336578845977783,0.003
937,252,62.46666666666667,106.9411258,3,15,16720,-154.54273986816406,1.2179684400558473,0.14672239124774933,-2.572967529296875,0.003
1029,279,64.3125,110.5967735625,3,16,18560,-163.91903686523438,4.79395563006401,0.1293802112340927,-2.0036442279815674,0.003
1111,305,65.3529411764706,113.00275935294118,3,17,20200,-171.7694549560547,0.6419529408216477,0.1205182671546936,-1.288170337677002,0.003
1199,330,66.61111111111111,116.44664188888889,3,18,21960,-178.75633239746094,0.9957902759313584,0.1128871738910675,-1.5303878784179688,0.003
1300,361,68.42105263157895,119.80716636842106,3,19,23980,-184.79302978515625,1.1886781096458434,0.1016523689031601,-0.9766623973846436,0.003
1390,387,69.5,122.86741375000001,3,20,25780,-190.51507568359375,4.149788057804107,0.0974167063832283,1.805687665939331,0.003
1405,391,66.9047619047619,117.99374871428574,3,21,26080,-190.74342346191406,5.131505346298217,0.09892214089632034,1.261910319328308,0.003
1496,418,68.0,121.88622768181821,3,22,27900,-196.05709838867188,9.76072280406952,0.10954463481903076,0.8107343912124634,0.003
1563,438,67.95652173913044,121.7199339130435,3,23,29240,-203.26193237304688,2.7048364639282227,0.1178765594959259,2.166146755218506,0.003
1665,469,69.375,125.41177041666667,3,24,31280,-209.56695556640625,14.253195548057557,0.11831951886415482,-0.7850767374038696,0.003
1772,499,70.88,129.71951292,3,25,33420,-217.25918579101562,3.0497641265392303,0.11145427078008652,0.6273481845855713,0.003
1859,526,71.5,131.85921619230768,3,26,35160,-221.0322265625,7.668899738788605,0.10733847320079803,-1.4312688112258911,0.003
1953,555,72.33333333333333,134.635557,3,27,37040,-226.382080078125,6.218595391511917,0.1061280146241188,-0.5162239670753479,0.003
2001,570,71.46428571428571,132.9650885,3,28,38000,-229.2596893310547,5.775440871715546,0.10531434416770935,-0.36011189222335815,0.003
2109,602,72.72413793103448,135.5612986551724,3,29,40160,-235.45053100585938,5.217991292476654,0.1125938892364502,0.8060809969902039,0.003
2209,633,73.63333333333334,137.45501563333335,3,30,42160,-240.44601440429688,5.7055745124816895,0.12895303964614868,0.5105699300765991,0.003
